,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitivity,Base Precision,Base Gain,Base Accuracy,Dataset,Trim Percent,Trim Effeciency
19,bfc_TRA.rep.seq_sim_rl_100_cov_1_1_18.corrected.fastq.gz,run.bfc.sh,18,983,739,3707,3,174,0,0,5606,2980,548938,8259,11,412,0,0,0,560600,Bfc,1,100L,0.2651481448527449,0.8785377358490566,0.22849007918853992,0.9845130217623974,TRA,0.0,
20,bfc_TRA.rep.seq_sim_rl_100_cov_2_1_18.corrected.fastq.gz,run.bfc.sh,18,1708,1631,8514,4,241,0,0,12098,4969,1185116,19064,17,634,0,0,0,1209800,Bfc,2,100L,0.20675737527566262,0.8868463323219704,0.18037698165023094,0.9837039180029757,TRA,0.0,
21,bfc_TRA.rep.seq_sim_rl_100_cov_4_1_18.corrected.fastq.gz,run.bfc.sh,18,2485,3096,18409,7,223,0,0,24220,6646,2372958,41901,15,480,0,0,0,2422000,Bfc,4,100L,0.13689826353842668,0.9326410328374964,0.12701093785403836,0.9824954582989265,TRA,0.0,
22,bfc_TRA.rep.seq_sim_rl_100_cov_1_1_19.corrected.fastq.gz,run.bfc.sh,19,1360,747,3384,3,112,0,0,5606,3590,549044,7649,11,306,0,0,0,560600,Bfc,1,100L,0.31942343624877656,0.9214579055441479,0.2921968146632263,0.9857902247591865,TRA,0.0,
23,bfc_TRA.rep.seq_sim_rl_100_cov_2_1_19.corrected.fastq.gz,run.bfc.sh,19,2296,1638,8039,2,123,0,0,12098,5888,1185457,18154,8,293,0,0,0,1209800,Bfc,2,100L,0.24490475002079695,0.9525966672059537,0.23271774394809083,0.9847454124648702,TRA,0.0,
24,bfc_TRA.rep.seq_sim_rl_100_cov_1_1_20.corrected.fastq.gz,run.bfc.sh,20,1257,737,3399,5,208,0,0,5606,3728,548867,7509,13,483,0,0,0,560600,Bfc,1,100L,0.33176114621340214,0.8853004037045832,0.28877814363264215,0.9857206564395291,TRA,0.0,
25,bfc_TRA.rep.seq_sim_rl_100_cov_4_1_19.corrected.fastq.gz,run.bfc.sh,19,2906,3098,18090,8,116,2,0,24220,7229,2373175,41319,14,261,4,0,0,2422002,Bfc,4,100L,0.14890417730905495,0.9646383773685615,0.14344566202521217,0.9828249522502459,TRA,0.0,
26,bfc_TRA.rep.seq_sim_rl_100_cov_2_1_20.corrected.fastq.gz,run.bfc.sh,20,2262,1628,7995,4,209,0,0,12098,6254,1185244,17780,16,506,0,0,0,1209800,Bfc,2,100L,0.2602146958475493,0.9251479289940828,0.23916118831655156,0.9848718796495288,TRA,0.0,
27,bfc_TRA.rep.seq_sim_rl_100_cov_8_1_18.corrected.fastq.gz,run.bfc.sh,18,2516,6422,39258,4,134,0,0,48334,6541,4736215,90318,7,319,0,0,0,4833400,Bfc,8,100L,0.0675311535324544,0.9534985422740525,0.06423770635666277,0.9812463276368601,TRA,0.0,
28,bfc_TRA.rep.seq_sim_rl_100_cov_4_1_20.corrected.fastq.gz,run.bfc.sh,20,3287,3091,17585,10,245,2,0,24220,8554,2372900,39991,17,536,4,0,0,2422002,Bfc,4,100L,0.17620764239365538,0.9406201891356939,0.1650839427335462,0.9832584779038167,TRA,0.0,
