,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitivity,Base Precision,Base Gain,Base Accuracy,Dataset,Trim Percent,Trim Effeciency
30,bfc_t1_wgsim_rl__cov_1.1_12.corrected.fastq.gz,run.bfc.sh,12,168,24846,16547,38,5101,0,0,46700,897,4634441,22474,160,12028,0,0,0,4670000,Bfc,1,100,0.03838089940524582,0.06940038684719536,-0.47627401480467246,0.9925777301927194,T1,0.0,
31,bfc_t1_wgsim_rl__cov_1.1_14.corrected.fastq.gz,run.bfc.sh,14,196,21280,14150,41,11033,0,0,46700,1241,4626921,22140,150,19548,0,0,0,4670000,Bfc,1,100,0.05307728497497968,0.05969503102602338,-0.7829861853641846,0.9910411134903641,T1,0.0,
37,bfc_t1_wgsim_rl__cov_2.1_16.corrected.fastq.gz,run.bfc.sh,16,261,18808,12274,61,15296,0,0,46700,1370,4623142,21799,156,23533,0,0,0,4670000,Bfc,2,100,0.05913073503388148,0.055013452194514714,-0.9565799128145367,0.9902595289079229,T1,0.0,
39,bfc_t1_wgsim_rl__cov_2.1_12.corrected.fastq.gz,run.bfc.sh,12,202,21045,13866,70,11517,0,0,46700,917,4619208,22106,302,27467,0,0,0,4670000,Bfc,2,100,0.03982973548190939,0.03230693348365276,-1.153194631455501,0.9893201284796573,T1,0.0,
40,bfc_t1_wgsim_rl__cov_1.1_16.corrected.fastq.gz,run.bfc.sh,16,184,21564,14293,42,10617,0,0,46700,1238,4628012,22174,119,18457,0,0,0,4670000,Bfc,1,100,0.05287886553903981,0.06285859355166286,-0.7354775328891167,0.9912740899357602,T1,0.0,
42,bfc_t1_wgsim_rl__cov_4.1_12.corrected.fastq.gz,run.bfc.sh,12,354,13392,7949,172,24833,0,0,46700,1177,4595595,21380,625,51223,0,0,0,4670000,Bfc,4,100,0.05217892450237177,0.022461832061068703,-2.218646096555393,0.9843194860813704,T1,0.0,
43,bfc_t1_wgsim_rl__cov_1.1_18.corrected.fastq.gz,run.bfc.sh,18,148,24883,16556,15,5098,0,0,46700,1042,4634461,22397,92,12008,0,0,0,4670000,Bfc,1,100,0.044455821494091045,0.07984674329501916,-0.46785272409232476,0.9926130620985011,T1,0.0,
44,bfc_t1_wgsim_rl__cov_4.1_16.corrected.fastq.gz,run.bfc.sh,16,624,19910,12238,47,13881,0,0,46700,1976,4624589,21046,160,22229,0,0,0,4670000,Bfc,4,100,0.08583094431413431,0.08163602561454245,-0.879723742507167,0.9906991434689507,T1,0.0,
46,bfc_t1_wgsim_rl__cov_2.1_18.corrected.fastq.gz,run.bfc.sh,18,220,24206,15855,21,6398,0,0,46700,1253,4633186,21980,92,13489,0,0,0,4670000,Bfc,2,100,0.05393190720096415,0.08499525166191833,-0.526664658029527,0.9923852248394004,T1,0.0,
47,bfc_t1_wgsim_rl__cov_1.1_19.corrected.fastq.gz,run.bfc.sh,19,165,25003,16684,14,4834,0,0,46700,1117,4634625,22320,94,11844,0,0,0,4670000,Bfc,1,100,0.04765968340657934,0.08618162178844226,-0.45769509749541326,0.9926642398286938,T1,0.0,
48,bfc_t1_wgsim_rl__cov_8.1_12.corrected.fastq.gz,run.bfc.sh,12,401,17905,9618,301,18475,0,0,46700,966,4617902,21574,600,28958,0,0,0,4670000,Bfc,8,100,0.04285714285714286,0.03228178051062692,-1.2418811002661934,0.9890509635974304,T1,0.0,
49,bfc_t1_wgsim_rl__cov_4.1_14.corrected.fastq.gz,run.bfc.sh,14,638,24255,15304,40,6463,0,0,46700,1959,4633158,21043,180,13660,0,0,0,4670000,Bfc,4,100,0.08516650726023824,0.12542416287854535,-0.5086948960959916,0.9925304068522484,T1,0.0,
53,bfc_t1_wgsim_rl__cov_4.1_18.corrected.fastq.gz,run.bfc.sh,18,579,22927,14533,22,8639,0,0,46700,1839,4630982,21236,107,15836,0,0,0,4670000,Bfc,4,100,0.07969664138678223,0.10404526166902404,-0.6065872156013001,0.9920387580299785,T1,0.0,
54,bfc_t1_wgsim_rl__cov_2.1_19.corrected.fastq.gz,run.bfc.sh,19,266,24729,16081,18,5606,0,0,46700,1343,4633825,21893,89,12850,0,0,0,4670000,Bfc,2,100,0.05779824410397659,0.0946241104769957,-0.49522292993630573,0.9925413276231263,T1,0.0,
58,bfc_t1_wgsim_rl__cov_8.1_14.corrected.fastq.gz,run.bfc.sh,14,1275,22705,13799,84,8837,0,0,46700,3057,4630016,19825,258,16844,0,0,0,4670000,Bfc,8,100,0.13359846167293069,0.15361037133812372,-0.6025260029717682,0.9920927194860814,T1,0.0,
