,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitivity,Base Precision,Base Gain,Base Accuracy,Dataset,Trim Percent,Trim Effeciency,Error
21,bfc_mix_1e-06_err_rate_1_24.corrected.fastq,bfc,24,11,199755,18,2,214,0,0,200000,11,41416101,19,2,218,0,0,0,41416351,Bfc,NA,100,0.366666667,0.048034934,-6.9,0.999994229,IGH,0,,1.00E-06
22,bfc_mix_3.3e-05_err_rate_1_24.corrected.fastq,bfc,24,202,198264,847,3,684,0,0,200000,207,41414839,880,3,691,0,0,0,41416620,Bfc,NA,100,0.190432383,0.230512249,-0.44526219,0.999961996,IGH,0,,3.30E-05
23,bfc_mix_3.3e-06_err_rate_1_24.corrected.fastq,bfc,24,41,199647,69,1,242,0,0,200000,40,41415996,75,1,249,0,0,0,41416361,Bfc,NA,100,0.347826087,0.138408304,-1.817391304,0.999992153,IGH,0,,3.30E-06
24,bfc_mix_0.0001_err_rate_1_26.corrected.fastq,bfc,26,402,196388,2759,22,423,6,1,200000,438,41413435,2881,25,430,6,0,1,41417216,Bfc,NA,100,0.13196746,0.501144165,0.000602591,0.999919309,IGH,2.41E-08,inf,0.0001
25,bfc_mix_0.00033_err_rate_1_26.corrected.fastq,bfc,26,783,189063,9187,56,905,6,1,200000,976,41407262,10048,72,913,8,0,1,41419280,Bfc,NA,100,0.088534107,0.514496574,0.004989115,0.999733433,IGH,2.41E-08,inf,0.00033
26,bfc_mix_0.001_err_rate_1_26.corrected.fastq,bfc,26,1247,172242,24726,158,1622,5,3,200000,1915,41390272,31229,181,1651,5,3,0,41425256,Bfc,NA,100,0.05777818,0.536264352,0.007814386,0.999201719,IGH,7.24E-08,0,0.001
27,bfc_mix_0.0033_err_rate_1_26.corrected.fastq,bfc,26,1365,135479,61182,412,1553,9,2,200000,3739,41333205,106279,479,1625,10,1,1,41445339,Bfc,NA,100,0.033985348,0.69575735,0.019124143,0.997384652,IGH,4.83E-08,1,0.0033
28,bfc_mix_1e-05_err_rate_1_26.corrected.fastq,bfc,26,81,199591,217,5,106,0,0,200000,81,41415990,229,5,117,0,0,0,41416422,Bfc,NA,100,0.261290323,0.409090909,-0.116129032,0.999991525,IGH,0,,1.00E-05
29,bfc_mix_1e-06_err_rate_1_26.corrected.fastq,bfc,26,13,199890,17,0,80,0,0,200000,13,41416234,19,0,85,0,0,0,41416351,Bfc,NA,100,0.40625,0.132653061,-2.25,0.999997489,IGH,0,,1.00E-06
30,bfc_mix_3.3e-05_err_rate_1_26.corrected.fastq,bfc,26,205,198780,841,5,168,1,0,200000,210,41415352,874,5,178,1,0,0,41416620,Bfc,NA,100,0.193726937,0.539845758,0.028597786,0.999974455,IGH,0,,3.30E-05
31,bfc_mix_3.3e-06_err_rate_1_26.corrected.fastq,bfc,26,46,199793,63,0,98,0,0,200000,45,41416138,71,0,107,0,0,0,41416361,Bfc,NA,100,0.387931034,0.296052632,-0.534482759,0.999995702,IGH,0,,3.30E-06
32,bfc_mix_0.0001_err_rate_1_28.corrected.fastq,bfc,28,413,196287,2748,24,523,5,1,200000,447,41413337,2861,27,538,5,0,1,41417216,Bfc,NA,100,0.135126965,0.451515152,-0.029020556,0.99991716,IGH,2.41E-08,inf,0.0001
33,bfc_mix_0.00033_err_rate_1_28.corrected.fastq,bfc,28,769,189015,9209,56,944,7,1,200000,949,41407222,10067,70,962,9,0,1,41419280,Bfc,NA,100,0.086147422,0.494270833,-0.001997095,0.999731816,IGH,2.41E-08,inf,0.00033
34,bfc_mix_0.001_err_rate_1_28.corrected.fastq,bfc,28,1290,172329,24762,161,1454,4,3,200000,1969,41390426,31165,189,1500,4,3,0,41425256,Bfc,NA,100,0.059425364,0.566945004,0.014033923,0.99920674,IGH,7.24E-08,0,0.001
35,bfc_mix_0.0033_err_rate_1_28.corrected.fastq,bfc,28,1416,135443,61085,419,1629,8,2,200000,3860,41333132,106130,507,1699,9,1,1,41445339,Bfc,NA,100,0.035094099,0.693247126,0.019565415,0.99738581,IGH,4.83E-08,1,0.0033
36,bfc_mix_1e-05_err_rate_1_28.corrected.fastq,bfc,28,81,199559,222,2,136,0,0,200000,82,41415957,230,2,151,0,0,0,41416422,Bfc,NA,100,0.262820513,0.35193133,-0.221153846,0.999990752,IGH,0,,1.00E-05
37,bfc_mix_1e-06_err_rate_1_28.corrected.fastq,bfc,28,10,199866,20,0,104,0,0,200000,10,41416205,22,0,114,0,0,0,41416351,Bfc,NA,100,0.3125,0.080645161,-3.25,0.999996716,IGH,0,,1.00E-06
38,bfc_mix_3.3e-05_err_rate_1_28.corrected.fastq,bfc,28,211,198761,835,7,185,1,0,200000,220,41415328,862,7,202,1,0,0,41416620,Bfc,NA,100,0.203327172,0.520094563,0.015711645,0.999974117,IGH,0,,3.30E-05
39,bfc_mix_3.3e-06_err_rate_1_28.corrected.fastq,bfc,28,49,199774,60,0,117,0,0,200000,48,41416114,68,0,131,0,0,0,41416361,Bfc,NA,100,0.413793103,0.268156425,-0.715517241,0.999995195,IGH,0,,3.30E-06
40,bfc_mix_0.0001_err_rate_1_30.corrected.fastq,bfc,30,393,196347,2766,23,466,5,1,200000,432,41413391,2877,28,482,5,0,1,41417216,Bfc,NA,100,0.130553037,0.47007617,-0.016621336,0.999918102,IGH,2.41E-08,inf,0.0001
41,bfc_mix_0.00033_err_rate_1_30.corrected.fastq,bfc,30,781,188603,9207,55,1347,7,1,200000,967,41406819,10053,70,1361,9,0,1,41419280,Bfc,NA,100,0.087749546,0.413778348,-0.036569873,0.999722521,IGH,2.41E-08,inf,0.00033
42,bfc_mix_0.001_err_rate_1_30.corrected.fastq,bfc,30,1331,171888,24695,173,1905,8,1,200000,2067,41389964,31054,202,1960,8,1,0,41425256,Bfc,NA,100,0.062407536,0.512267658,0.00298904,0.999197953,IGH,2.41E-08,0,0.001
43,bfc_mix_0.0033_err_rate_1_30.corrected.fastq,bfc,30,1545,135492,60935,411,1605,12,2,200000,4144,41333108,105879,477,1715,14,1,1,41445339,Bfc,NA,100,0.037664852,0.705601907,0.021949956,0.997392083,IGH,4.83E-08,1,0.0033
44,bfc_mix_1e-05_err_rate_1_30.corrected.fastq,bfc,30,79,199563,222,5,131,0,0,200000,79,41415966,230,5,142,0,0,0,41416422,Bfc,NA,100,0.25566343,0.357466063,-0.203883495,0.999990897,IGH,0,,1.00E-05
45,bfc_mix_1e-06_err_rate_1_30.corrected.fastq,bfc,30,11,199868,17,2,102,0,0,200000,11,41416205,19,2,114,0,0,0,41416351,Bfc,NA,100,0.366666667,0.088,-3.433333333,0.99999674,IGH,0,,1.00E-06
46,bfc_mix_3.3e-05_err_rate_1_30.corrected.fastq,bfc,30,200,198723,847,5,224,1,0,200000,206,41415290,878,5,240,1,0,0,41416620,Bfc,NA,100,0.1900369,0.460850112,-0.032287823,0.999972861,IGH,0,,3.30E-05
47,bfc_mix_3.3e-06_err_rate_1_30.corrected.fastq,bfc,30,46,199783,64,0,107,0,0,200000,45,41416126,71,0,119,0,0,0,41416361,Bfc,NA,100,0.387931034,0.274390244,-0.637931034,0.999995412,IGH,0,,3.30E-06
48,bless_mix_0.0001_err_rate_1_20.corrected.fastq,bless,20,371,196609,2977,9,31,3,162,200000,379,41405121,2835,8,47,94,11440,122,41420046,Bless,NA,100,0.117921593,0.728846154,0.074051027,0.999651762,IGH,0.00027914,0.010664336,0.0001
49,bless_mix_0.00033_err_rate_1_20.corrected.fastq,bless,20,661,189268,9983,14,60,14,460,200000,722,41379495,9972,23,103,243,31158,400,41422116,Bless,NA,100,0.067514494,0.676029963,0.035159903,0.998998134,IGH,0.000761864,0.012837794,0.00033
50,bless_mix_0.001_err_rate_1_20.corrected.fastq,bless,20,632,171675,27452,41,150,50,1162,200000,970,41313598,30927,55,277,1311,79537,1418,41428093,Bless,NA,100,0.030410383,0.379202502,-0.019374863,0.997293845,IGH,0.001954109,0.017828181,0.001
51,bless_mix_0.0033_err_rate_1_20.corrected.fastq,bless,20,888,132102,66659,72,118,161,3218,200000,3098,41118922,100533,189,255,5222,213007,6949,41448175,Bless,NA,100,0.02989453,0.361282799,-0.022956451,0.99229738,IGH,0.005306772,0.032623341,0.0033
52,bless_mix_1e-05_err_rate_1_20.corrected.fastq,bless,20,89,199669,226,6,10,0,16,200000,84,41417952,214,4,14,0,972,12,41419252,Bless,NA,100,0.281879195,0.857142857,0.234899329,0.999970931,IGH,2.38E-05,0.012345679,1.00E-05
53,bless_mix_1e-06_err_rate_1_20.corrected.fastq,bless,20,11,199969,16,0,4,0,7,200000,10,41418778,17,0,4,0,367,5,41419181,Bless,NA,100,0.37037037,0.714285714,0.222222222,0.999990632,IGH,8.98E-06,0.013623978,1.00E-06
54,bless_mix_3.3e-05_err_rate_1_20.corrected.fastq,bless,20,219,198884,867,4,22,4,78,200000,212,41413276,830,4,52,4,5033,41,41419452,Bless,NA,100,0.203454894,0.791044776,0.149712092,0.999856999,IGH,0.000122503,0.008146235,3.30E-05
55,bless_mix_3.3e-06_err_rate_1_20.corrected.fastq,bless,20,54,199882,51,1,12,0,7,200000,50,41418643,60,1,20,0,412,5,41419191,Bless,NA,100,0.454545455,0.714285714,0.272727273,0.999988097,IGH,1.01E-05,0.012135922,3.30E-06
56,bless_mix_0.0001_err_rate_1_22.corrected.fastq,bless,22,388,196603,2962,9,33,5,166,200000,400,41404857,2823,8,65,95,11686,112,41420046,Bless,NA,100,0.124107974,0.714285714,0.074464784,0.999645654,IGH,0.000284838,0.009584118,0.0001
57,bless_mix_0.00033_err_rate_1_22.corrected.fastq,bless,22,692,189260,9957,12,60,19,469,200000,760,41378308,9935,22,119,368,32206,399,41422117,Bless,NA,100,0.071061244,0.609462711,0.025525947,0.998970347,IGH,0.00078714,0.012388996,0.00033
58,bless_mix_0.001_err_rate_1_22.corrected.fastq,bless,22,694,171669,27379,40,163,55,1184,200000,1109,41313572,30816,50,291,1398,79471,1395,41428102,Bless,NA,100,0.034737666,0.396354539,-0.01816758,0.997295802,IGH,0.00195196,0.017553573,0.001
59,bless_mix_0.0033_err_rate_1_22.corrected.fastq,bless,22,376,131749,67292,83,309,191,2685,200000,1948,41148801,102465,283,620,6390,181629,6064,41448200,Bless,NA,100,0.018656681,0.217459254,-0.048480553,0.992968823,IGH,0.004528375,0.033386739,0.0033
60,bless_mix_1e-05_err_rate_1_22.corrected.fastq,bless,22,94,199668,222,6,10,0,14,200000,89,41418181,210,4,15,0,742,11,41419252,Bless,NA,100,0.297658863,0.855769231,0.247491639,0.999976557,IGH,1.82E-05,0.014824798,1.00E-05
61,bless_mix_1e-06_err_rate_1_22.corrected.fastq,bless,22,11,199971,14,0,4,0,7,200000,10,41418778,15,0,4,0,367,7,41419181,Bless,NA,100,0.4,0.714285714,0.24,0.999990681,IGH,9.03E-06,0.019073569,1.00E-06
62,bless_mix_3.3e-05_err_rate_1_22.corrected.fastq,bless,22,234,198886,849,4,23,4,76,200000,227,41413468,813,4,49,4,4845,43,41419453,Bless,NA,100,0.218269231,0.810714286,0.167307692,0.999862021,IGH,0.000118012,0.008875129,3.30E-05
63,bless_mix_3.3e-06_err_rate_1_22.corrected.fastq,bless,22,55,199882,48,1,14,0,6,200000,51,41418670,59,1,26,0,379,5,41419191,Bless,NA,100,0.463636364,0.662337662,0.227272727,0.999988773,IGH,9.27E-06,0.013192612,3.30E-06
64,bless_mix_0.0001_err_rate_1_24.corrected.fastq,bless,24,399,196606,2943,9,39,4,164,200000,405,41405420,2809,8,79,95,11107,123,41420046,Bless,NA,100,0.126011201,0.699481865,0.071873055,0.999659632,IGH,0.000271125,0.011074097,0.0001
65,bless_mix_0.00033_err_rate_1_24.corrected.fastq,bless,24,717,189256,9938,12,60,17,479,200000,779,41376469,9913,19,123,629,33781,403,41422116,Bless,NA,100,0.072858212,0.508817766,0.002525253,0.998926529,IGH,0.00082526,0.011929783,0.00033
66,bless_mix_0.001_err_rate_1_24.corrected.fastq,bless,24,770,171682,27287,40,167,54,1196,200000,1236,41311608,30672,54,319,1310,81487,1420,41428106,Bless,NA,100,0.038736367,0.431413613,-0.01231666,0.997251965,IGH,0.002001226,0.017426093,0.001
67,bless_mix_0.0033_err_rate_1_24.corrected.fastq,bless,24,420,131750,67240,88,314,188,2850,200000,2109,41138831,102180,270,606,6493,191496,6210,41448195,Bless,NA,100,0.020222651,0.229039965,-0.047847808,0.992735749,IGH,0.004769954,0.032428876,0.0033
68,bless_mix_1e-05_err_rate_1_24.corrected.fastq,bless,24,97,199670,218,6,9,0,18,200000,91,41417701,206,4,14,0,1223,13,41419252,Bless,NA,100,0.306397306,0.866666667,0.259259259,0.999965065,IGH,2.98E-05,0.010629599,1.00E-05
69,bless_mix_1e-06_err_rate_1_24.corrected.fastq,bless,24,11,199971,14,0,4,0,7,200000,10,41418776,15,0,6,0,367,7,41419181,Bless,NA,100,0.4,0.625,0.16,0.999990632,IGH,9.03E-06,0.019073569,1.00E-06
70,bless_mix_3.3e-05_err_rate_1_24.corrected.fastq,bless,24,243,198885,841,2,26,3,74,200000,237,41413451,806,1,51,3,4860,43,41419452,Bless,NA,100,0.227229147,0.81443299,0.175455417,0.999861876,IGH,0.000118374,0.008847737,3.30E-05
71,bless_mix_3.3e-06_err_rate_1_24.corrected.fastq,bless,24,61,199883,45,1,10,0,7,200000,57,41418665,52,1,21,0,389,6,41419191,Bless,NA,100,0.52293578,0.730769231,0.330275229,0.999988822,IGH,9.54E-06,0.015424165,3.30E-06
72,bless_mix_0.0001_err_rate_1_26.corrected.fastq,bless,26,408,196609,2934,9,37,3,170,200000,414,41405193,2796,8,79,94,11337,125,41420046,Bless,NA,100,0.128971963,0.70528109,0.075077882,0.999654417,IGH,0.000276726,0.011025845,0.0001
73,bless_mix_0.00033_err_rate_1_26.corrected.fastq,bless,26,741,189260,9908,12,63,16,495,200000,802,41375130,9886,18,143,461,35262,413,41422115,Bless,NA,100,0.075037425,0.570412518,0.018525449,0.998895024,IGH,0.000861255,0.011712325,0.00033
74,bless_mix_0.001_err_rate_1_26.corrected.fastq,bless,26,821,171682,27242,38,160,57,1251,200000,1323,41308108,30592,51,300,1253,85030,1434,41428091,Bless,NA,100,0.041453862,0.460013908,-0.007206643,0.997170276,IGH,0.002087086,0.016864636,0.001
75,bless_mix_0.0033_err_rate_1_26.corrected.fastq,bless,26,472,131787,67163,84,329,165,3007,200000,2182,41127832,101843,247,623,6163,202770,6521,41448181,Bless,NA,100,0.020975727,0.243309545,-0.044258592,0.992479886,IGH,0.005049462,0.03215959,0.0033
76,bless_mix_1e-05_err_rate_1_26.corrected.fastq,bless,26,100,199671,209,6,14,0,19,200000,93,41417568,203,4,26,0,1344,14,41419252,Bless,NA,100,0.314189189,0.781512605,0.226351351,0.999961926,IGH,3.28E-05,0.010416667,1.00E-05
77,bless_mix_1e-06_err_rate_1_26.corrected.fastq,bless,26,11,199971,14,0,4,0,7,200000,10,41418775,15,0,7,0,367,7,41419181,Bless,NA,100,0.4,0.588235294,0.12,0.999990608,IGH,9.03E-06,0.019073569,1.00E-06
78,bless_mix_3.3e-05_err_rate_1_26.corrected.fastq,bless,26,244,198882,837,4,29,4,81,200000,237,41413068,805,4,60,4,5234,41,41419453,Bless,NA,100,0.227447217,0.787375415,0.166026871,0.999852557,IGH,0.000127356,0.007833397,3.30E-05
79,bless_mix_3.3e-06_err_rate_1_26.corrected.fastq,bless,26,60,199882,44,1,13,0,8,200000,56,41418504,54,1,26,0,545,5,41419191,Bless,NA,100,0.509090909,0.682926829,0.272727273,0.999984886,IGH,1.33E-05,0.009174312,3.30E-06
80,bless_mix_0.0001_err_rate_1_28.corrected.fastq,bless,28,413,196608,2929,9,38,3,177,200000,419,41404780,2793,8,93,94,11736,123,41420046,Bless,NA,100,0.130448319,0.691419142,0.072229141,0.999644519,IGH,0.000286311,0.010480573,0.0001
81,bless_mix_0.00033_err_rate_1_28.corrected.fastq,bless,28,3286,129065,1179,403,49925,16142,3114,200000,6703,41116026,2923,1019,72859,35397,210799,527,41446253,Bless,NA,100,0.696343237,0.058307745,-10.54986495,0.992206748,IGH,0.005098796,0.002500012,0.00033
82,bless_mix_0.001_err_rate_1_28.corrected.fastq,bless,28,873,171693,27182,41,152,59,1290,200000,1395,41305891,30491,61,295,1399,87124,1450,41428106,Bless,NA,100,0.043749608,0.45160246,-0.009377156,0.997118522,IGH,0.002138017,0.016642946,0.001
83,bless_mix_0.0033_err_rate_1_28.corrected.fastq,bless,28,532,131805,67057,86,344,176,3142,200000,2345,41120146,101475,263,641,6038,210593,6687,41448188,Bless,NA,100,0.02258717,0.259862589,-0.041745328,0.992302161,IGH,0.005242207,0.031753192,0.0033
84,bless_mix_1e-05_err_rate_1_28.corrected.fastq,bless,28,100,199672,204,6,18,0,23,200000,94,41417351,201,4,32,0,1555,15,41419252,Bless,NA,100,0.318644068,0.746031746,0.210169492,0.999956735,IGH,3.79E-05,0.009646302,1.00E-05
85,bless_mix_1e-06_err_rate_1_28.corrected.fastq,bless,28,11,199971,14,0,4,0,7,200000,10,41418775,15,0,7,0,367,7,41419181,Bless,NA,100,0.4,0.588235294,0.12,0.999990608,IGH,9.03E-06,0.019073569,1.00E-06
86,bless_mix_3.3e-05_err_rate_1_28.corrected.fastq,bless,28,248,198886,832,4,28,2,88,200000,240,41412609,799,4,61,2,5693,44,41419452,Bless,NA,100,0.230991338,0.792079208,0.170356112,0.999841644,IGH,0.00013851,0.00772879,3.30E-05
87,bless_mix_3.3e-06_err_rate_1_28.corrected.fastq,bless,28,58,199884,42,1,15,0,9,200000,53,41418567,55,1,38,0,470,7,41419191,Bless,NA,100,0.490740741,0.582417582,0.138888889,0.999986383,IGH,1.15E-05,0.014893617,3.30E-06
88,bless_mix_0.0001_err_rate_1_30.corrected.fastq,bless,30,425,196610,2916,9,37,3,179,200000,431,41404810,2780,8,112,94,11685,126,41420046,Bless,NA,100,0.134226098,0.676609105,0.070071629,0.999645605,IGH,0.000285152,0.010783055,0.0001
89,bless_mix_0.00033_err_rate_1_30.corrected.fastq,bless,30,786,189257,9847,16,75,19,497,200000,856,41375086,9820,26,134,509,35258,424,41422113,Bless,NA,100,0.080179843,0.571047365,0.019951293,0.998895579,IGH,0.000861424,0.01202564,0.00033
90,bless_mix_0.001_err_rate_1_30.corrected.fastq,bless,30,918,171698,27130,42,159,53,1329,200000,1451,41303503,30433,55,308,1380,89510,1457,41428097,Bless,NA,100,0.045508719,0.462249124,-0.007433195,0.997062615,IGH,0.00219578,0.016277511,0.001
91,bless_mix_0.0033_err_rate_1_30.corrected.fastq,bless,30,574,131816,66962,81,388,179,3316,200000,2527,41109809,101135,261,692,5993,220909,6865,41448191,Bless,NA,100,0.024377303,0.274316109,-0.04011113,0.992061306,IGH,0.005495391,0.031076144,0.0033
92,bless_mix_1e-05_err_rate_1_30.corrected.fastq,bless,30,100,199676,203,6,15,0,29,200000,94,41417087,197,4,27,0,1824,19,41419252,Bless,NA,100,0.323024055,0.776859504,0.23024055,0.999950458,IGH,4.45E-05,0.010416667,1.00E-05
93,bless_mix_1e-06_err_rate_1_30.corrected.fastq,bless,30,14,199970,14,0,2,0,6,200000,12,41418826,14,0,4,0,319,6,41419181,Bless,NA,100,0.461538462,0.75,0.307692308,0.999991864,IGH,7.85E-06,0.018808777,1.00E-06
94,bless_mix_3.3e-05_err_rate_1_30.corrected.fastq,bless,30,253,198884,827,4,29,3,94,200000,245,41412429,797,4,67,4,5865,41,41419452,Bless,NA,100,0.23512476,0.775316456,0.166986564,0.999837347,IGH,0.00014259,0.006990622,3.30E-05
95,bless_mix_3.3e-06_err_rate_1_30.corrected.fastq,bless,30,60,199882,40,1,17,0,6,200000,55,41418702,55,1,42,0,331,5,41419191,Bless,NA,100,0.5,0.567010309,0.118181818,0.999989642,IGH,8.11E-06,0.01510574,3.30E-06
96,coral_mix_0.0001_err_rate_1_20.corrected.fastq,coral,20,0,196075,3612,0,302,11,0,200000,48,41413054,3284,0,827,16,0,0,41417229,Coral,NA,100,0.014405762,0.053872054,-0.238595438,0.999900355,IGH,0,,0.0001
97,coral_mix_0.00033_err_rate_1_20.corrected.fastq,coral,20,5,187796,10923,10,1183,83,2,200000,582,41404512,10485,13,3640,89,4,0,41419325,Coral,NA,100,0.052588777,0.135003479,-0.284358905,0.999656416,IGH,9.66E-08,0,0.00033
98,coral_mix_0.001_err_rate_1_20.corrected.fastq,coral,20,39,167713,27750,79,4170,249,8,200000,4020,41379168,29216,96,12701,225,8,0,41425434,Coral,NA,100,0.120953183,0.237224124,-0.26796245,0.998980192,IGH,1.93E-07,0,0.001
99,coral_mix_0.0033_err_rate_1_20.corrected.fastq,coral,20,193,122901,63399,308,12368,831,25,200000,17358,41297758,92634,520,36760,841,30,2,41445903,Coral,NA,100,0.157811477,0.315835441,-0.184040658,0.996844441,IGH,7.72E-07,0.066666667,0.0033
100,coral_mix_1e-05_err_rate_1_20.corrected.fastq,coral,20,0,199610,385,0,5,0,0,200000,0,41416092,314,0,16,0,0,0,41416422,Coral,NA,100,0,0,-0.050955414,0.999992032,IGH,0,,1.00E-05
101,coral_mix_1e-06_err_rate_1_20.corrected.fastq,coral,20,0,199957,43,0,0,0,0,200000,0,41416319,32,0,0,0,0,0,41416351,Coral,NA,100,0,,0,0.999999227,IGH,0,,1.00E-06
102,coral_mix_3.3e-05_err_rate_1_20.corrected.fastq,coral,20,0,198718,1240,0,41,1,0,200000,2,41415382,1087,0,147,2,0,0,41416620,Coral,NA,100,0.001836547,0.013245033,-0.134986226,0.999970157,IGH,0,,3.30E-05
