,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitivity,Base Precision,Base Gain,Base Accuracy,Dataset,Trim Percent,Trim Effeciency,Error
0,bfc_mix_0.0001_err_rate_1_20.corrected.fastq,bfc,20,360,196246,2814,17,558,5,1,200000,397,41413305,2916,20,572,5,0,1,41417216,Bfc,NA,100,0.119830969,0.407597536,-0.054331422,0.99991518,IGH,2.41E-08,inf,0.0001
1,bfc_mix_0.00033_err_rate_1_20.corrected.fastq,bfc,20,708,188605,9273,52,1352,10,0,200000,861,41406811,10171,57,1368,12,0,0,41419280,Bfc,NA,100,0.078045685,0.384203481,-0.04704496,0.999719744,IGH,0,,0.00033
2,bfc_mix_0.001_err_rate_1_20.corrected.fastq,bfc,20,1103,171800,24895,161,2032,9,2,200000,1734,41389825,31414,190,2086,9,2,0,41425260,Bfc,NA,100,0.052310848,0.452859755,-0.010890551,0.999186463,IGH,4.83E-08,0,0.001
3,bfc_mix_0.0033_err_rate_1_20.corrected.fastq,bfc,20,1164,135395,61369,408,1648,16,4,200000,3324,41333049,106712,500,1727,21,1,5,41445339,Bfc,NA,100,0.030208295,0.655362776,0.014322585,0.997370971,IGH,1.45E-07,5,0.0033
4,bfc_mix_1e-05_err_rate_1_20.corrected.fastq,bfc,20,67,199464,234,2,233,0,0,200000,68,41415859,245,2,248,0,0,0,41416422,Bfc,NA,100,0.217252396,0.215189873,-0.575079872,0.999988048,IGH,0,,1.00E-05
5,bfc_mix_1e-06_err_rate_1_20.corrected.fastq,bfc,20,9,199778,20,0,193,0,0,200000,9,41416112,23,0,207,0,0,0,41416351,Bfc,NA,100,0.28125,0.041666667,-6.1875,0.999994447,IGH,0,,1.00E-06
6,bfc_mix_3.3e-05_err_rate_1_20.corrected.fastq,bfc,20,190,198545,859,3,403,0,0,200000,195,41415109,892,3,421,0,0,0,41416620,Bfc,NA,100,0.179392824,0.316558442,-0.207911684,0.999968225,IGH,0,,3.30E-05
7,bfc_mix_3.3e-06_err_rate_1_20.corrected.fastq,bfc,20,40,199691,65,1,203,0,0,200000,39,41416025,76,1,220,0,0,0,41416361,Bfc,NA,100,0.339130435,0.150579151,-1.573913043,0.999992829,IGH,0,,3.30E-06
8,bfc_mix_0.0001_err_rate_1_22.corrected.fastq,bfc,22,376,196212,2810,22,575,5,1,200000,406,41413286,2906,25,587,5,0,1,41417216,Bfc,NA,100,0.122584541,0.406813627,-0.05615942,0.999914939,IGH,2.41E-08,inf,0.0001
9,bfc_mix_0.00033_err_rate_1_22.corrected.fastq,bfc,22,722,188446,9244,56,1522,10,1,200000,888,41406627,10142,63,1547,12,0,1,41419280,Bfc,NA,100,0.080507706,0.362893339,-0.060834089,0.999715978,IGH,2.41E-08,inf,0.00033
10,bfc_mix_0.001_err_rate_1_22.corrected.fastq,bfc,22,1125,172328,24952,143,1439,13,3,200000,1789,41390416,31369,167,1502,13,3,0,41425259,Bfc,NA,100,0.053953797,0.541464891,0.008263466,0.999202081,IGH,7.24E-08,0,0.001
11,bfc_mix_0.0033_err_rate_1_22.corrected.fastq,bfc,22,1215,135432,61308,451,1578,16,2,200000,3468,41333136,106515,542,1656,20,1,1,41445339,Bfc,NA,100,0.031532146,0.674183515,0.016293427,0.997376448,IGH,4.83E-08,1,0.0033
12,bfc_mix_1e-05_err_rate_1_22.corrected.fastq,bfc,22,61,199537,234,5,163,0,0,200000,63,41415933,246,5,175,0,0,0,41416422,Bfc,NA,100,0.203883495,0.264705882,-0.362459547,0.999989714,IGH,0,,1.00E-05
13,bfc_mix_1e-06_err_rate_1_22.corrected.fastq,bfc,22,14,199815,18,0,153,0,0,200000,14,41416157,18,0,162,0,0,0,41416351,Bfc,NA,100,0.4375,0.079545455,-4.625,0.999995654,IGH,0,,1.00E-06
14,bfc_mix_3.3e-05_err_rate_1_22.corrected.fastq,bfc,22,192,198633,858,3,314,0,0,200000,198,41415178,889,3,352,0,0,0,41416620,Bfc,NA,100,0.182152714,0.36,-0.141674333,0.999969964,IGH,0,,3.30E-05
15,bfc_mix_3.3e-06_err_rate_1_22.corrected.fastq,bfc,22,42,199719,69,0,170,0,0,200000,41,41416065,75,0,180,0,0,0,41416361,Bfc,NA,100,0.353448276,0.185520362,-1.198275862,0.999993843,IGH,0,,3.30E-06
16,bfc_mix_0.0001_err_rate_1_24.corrected.fastq,bfc,24,366,196341,2800,22,464,7,1,200000,409,41413400,2906,25,468,7,0,1,41417216,Bfc,NA,100,0.123378582,0.462669683,-0.019909502,0.999917764,IGH,2.41E-08,inf,0.0001
17,bfc_mix_0.00033_err_rate_1_24.corrected.fastq,bfc,24,764,188537,9218,59,1413,9,2,200000,941,41406757,10084,65,1420,11,0,2,41419280,Bfc,NA,100,0.085351474,0.396711636,-0.044444444,0.99972042,IGH,4.83E-08,inf,0.00033
18,bfc_mix_0.001_err_rate_1_24.corrected.fastq,bfc,24,1222,172001,24801,157,1810,9,1,200000,1890,41390065,31259,179,1854,9,1,0,41425257,Bfc,NA,100,0.057015295,0.503597122,0.000814504,0.999196094,IGH,2.41E-08,0,0.001
19,bfc_mix_0.0033_err_rate_1_24.corrected.fastq,bfc,24,1319,135329,61235,423,1684,10,2,200000,3643,41333061,106360,512,1750,11,1,1,41445339,Bfc,NA,100,0.033117279,0.674130274,0.017108624,0.997378861,IGH,4.83E-08,1,0.0033
20,bfc_mix_1e-05_err_rate_1_24.corrected.fastq,bfc,24,70,199437,229,5,259,0,0,200000,73,41415843,237,5,264,0,0,0,41416422,Bfc,NA,100,0.235483871,0.216617211,-0.616129032,0.999987783,IGH,0,,1.00E-05
