,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitivity,Base Precision,Base Gain,Base Accuracy,Dataset,Trim Percent,Trim Effeciency
0,bfc_wgsim_rl_100_cov_1_20.corrected.fastq,bfc,20,265,28574,18139,3,209,0,0,47190,410,4695222,23069,3,296,0,0,0,4719000,Bfc,1,100L,0.017462413220324546,0.5807365439093485,0.004855402700285362,0.9950481034117398,IGH,0.0,
1,bfc_wgsim_rl_100_cov_1_22.corrected.fastq,bfc,22,249,28596,18180,3,162,0,0,47190,398,4695293,23080,4,225,0,0,0,4719000,Bfc,1,100L,0.016952040207854163,0.6388443017656501,0.007368600391856206,0.9950606060606061,IGH,0.0,
2,bfc_wgsim_rl_100_cov_1_24.corrected.fastq,bfc,24,236,28605,18186,3,160,0,0,47190,369,4695299,23110,3,219,0,0,0,4719000,Bfc,1,100L,0.01571617189829209,0.6275510204081632,0.00638868776353337,0.9950557321466412,IGH,0.0,
3,bfc_wgsim_rl_100_cov_1_26.corrected.fastq,bfc,26,245,28630,18192,2,121,0,0,47190,390,4695362,23090,2,156,0,0,0,4719000,Bfc,1,100L,0.016609880749574105,0.7142857142857143,0.009965928449744463,0.995073532528078,IGH,0.0,
4,bfc_wgsim_rl_100_cov_1_28.corrected.fastq,bfc,28,223,28631,18219,2,115,0,0,47190,353,4695377,23127,2,141,0,0,0,4719000,Bfc,1,100L,0.015034071550255537,0.7145748987854251,0.009028960817717206,0.995068870523416,IGH,0.0,
5,bfc_wgsim_rl_100_cov_1_30.corrected.fastq,bfc,30,225,28634,18220,1,110,0,0,47190,338,4695387,23143,1,131,0,0,0,4719000,Bfc,1,100L,0.014394616924321792,0.720682302771855,0.008815638175546186,0.9950678109769019,IGH,0.0,
6,bfc_wgsim_rl_100_cov_16_20.corrected.fastq,bfc,20,265904,453943,27986,123,7086,0,0,755042,344757,75120350,31667,138,7288,0,0,0,75504200,Bfc,16,100L,0.9158741206724332,0.9792981010950305,0.896512974730623,0.9994822407230326,IGH,0.0,
7,bfc_wgsim_rl_100_cov_16_22.corrected.fastq,bfc,22,262422,453846,31428,113,7233,0,0,755042,340591,75120242,35843,128,7396,0,0,0,75504200,Bfc,16,100L,0.9047827773261714,0.9787463324779374,0.8851352428314126,0.9994256346004593,IGH,0.0,
8,bfc_wgsim_rl_100_cov_16_24.corrected.fastq,bfc,24,258535,453754,35259,106,7388,0,0,755042,335915,75120065,40530,117,7573,0,0,0,75504200,Bfc,16,100L,0.8923348696356705,0.9779526504564934,0.8722177210482275,0.999361360030303,IGH,0.0,
9,bfc_wgsim_rl_100_cov_16_26.corrected.fastq,bfc,26,254080,453753,39758,96,7355,0,0,755042,330560,75120098,45898,104,7540,0,0,0,75504200,Bfc,16,100L,0.878079360778626,0.9776989056492162,0.8580505660658029,0.9992908738851614,IGH,0.0,
10,bfc_wgsim_rl_100_cov_16_28.corrected.fastq,bfc,28,249575,453737,44283,100,7347,0,0,755042,325001,75120093,51454,107,7545,0,0,0,75504200,Bfc,16,100L,0.8633196530793853,0.9773114095493556,0.8432774169555458,0.9992171826203046,IGH,0.0,
11,bfc_wgsim_rl_100_cov_16_30.corrected.fastq,bfc,30,244507,453750,49212,83,7490,0,0,755042,318885,75119967,57586,91,7671,0,0,0,75504200,Bfc,16,100L,0.8470373548028932,0.9765093888950134,0.8266612833392214,0.9991345117225267,IGH,0.0,
12,bfc_wgsim_rl_100_cov_2_20.corrected.fastq,bfc,20,1855,56902,34881,4,738,0,0,94380,2758,9390140,44069,5,1028,0,0,0,9438000,Bfc,2,100L,0.05889764452132317,0.728473322768093,0.03694449783244709,0.9952212333121424,IGH,0.0,
13,bfc_wgsim_rl_100_cov_2_22.corrected.fastq,bfc,22,1733,57074,35065,4,504,0,0,94380,2583,9390475,44244,5,693,0,0,0,9438000,Bfc,2,100L,0.055160484335960026,0.7884615384615384,0.04036133000192197,0.9952381860563678,IGH,0.0,
14,bfc_wgsim_rl_100_cov_2_24.corrected.fastq,bfc,24,1725,57086,35109,4,456,0,0,94380,2543,9390531,44285,4,637,0,0,0,9438000,Bfc,2,100L,0.054305116596907836,0.799685534591195,0.040702144016400446,0.9952398813307904,IGH,0.0,
15,bfc_wgsim_rl_100_cov_2_26.corrected.fastq,bfc,26,1760,57148,35111,4,357,0,0,94380,2527,9390688,44301,4,480,0,0,0,9438000,Bfc,2,100L,0.05396344067651832,0.8403724642500832,0.043713163064833006,0.9952548209366391,IGH,0.0,
16,bfc_wgsim_rl_100_cov_2_28.corrected.fastq,bfc,28,1589,57158,35293,2,338,0,0,94380,2315,9390712,44514,3,456,0,0,0,9438000,Bfc,2,100L,0.04943517905571334,0.8354384698664742,0.039697623267633306,0.9952349014621742,IGH,0.0,
17,bfc_wgsim_rl_100_cov_2_30.corrected.fastq,bfc,30,1517,57162,35368,3,330,0,0,94380,2169,9390744,44660,3,424,0,0,0,9438000,Bfc,2,100L,0.04631745286040701,0.8364828384111068,0.03726323432061329,0.9952228226319135,IGH,0.0,
18,bfc_wgsim_rl_100_cov_32_20.corrected.fastq,bfc,20,589831,913557,2750,262,3684,0,0,1510084,750850,150250208,3347,266,3729,0,0,0,151008400,Bfc,32,100L,0.9955621674443149,0.9950581715102064,0.9906178359235054,0.999951380188122,IGH,0.0,
19,bfc_wgsim_rl_100_cov_32_22.corrected.fastq,bfc,22,589178,913217,3047,245,4397,0,0,1510084,750520,150249502,3695,248,4435,0,0,0,151008400,Bfc,32,100L,0.9951008664638067,0.9941254776774775,0.9892205803384977,0.9999445196426159,IGH,0.0,
20,bfc_wgsim_rl_100_cov_32_24.corrected.fastq,bfc,24,588339,912858,3484,233,5170,0,0,1510084,750050,150248720,4177,236,5217,0,0,0,151008400,Bfc,32,100L,0.9944618795137273,0.9930925090067486,0.9875448638142098,0.9999362287131047,IGH,0.0,
21,bfc_wgsim_rl_100_cov_32_26.corrected.fastq,bfc,26,587339,912520,4070,228,5927,0,0,1510084,749332,150247949,4900,231,5988,0,0,0,151008400,Bfc,32,100L,0.9935033252367972,0.9920722342848064,0.9855641235057648,0.9999263683344768,IGH,0.0,
22,bfc_wgsim_rl_100_cov_32_28.corrected.fastq,bfc,28,586168,912064,4929,217,6706,0,0,1510084,748333,150247164,5911,219,6773,0,0,0,151008400,Bfc,32,100L,0.9921630135605984,0.9910303983811545,0.9831831608869278,0.9999145544221381,IGH,0.0,
23,bfc_wgsim_rl_100_cov_32_30.corrected.fastq,bfc,30,584713,911756,5932,214,7469,0,0,1510084,747127,150246393,7118,218,7544,0,0,0,151008400,Bfc,32,100L,0.9905627481786422,0.9900035909687798,0.9805606931434746,0.9999014624352023,IGH,0.0,
24,bfc_wgsim_rl_100_cov_4_20.corrected.fastq,bfc,20,14388,113615,58930,11,1816,0,0,188760,20781,18779634,73084,17,2484,0,0,0,18876000,Bfc,4,100L,0.22139242529164224,0.893230174081238,0.1949288872316625,0.9959957088366179,IGH,0.0,
25,bfc_wgsim_rl_100_cov_4_22.corrected.fastq,bfc,22,13692,113799,59744,8,1517,0,0,188760,19724,18780044,74146,12,2074,0,0,0,18876000,Bfc,4,100L,0.21012037924789603,0.904853656298743,0.1880259933951209,0.9959614325068871,IGH,0.0,
26,bfc_wgsim_rl_100_cov_4_24.corrected.fastq,bfc,24,12754,113880,60753,7,1366,0,0,188760,18370,18780314,75498,14,1804,0,0,0,18876000,Bfc,4,100L,0.19570034516555163,0.910577971646674,0.17648186815528188,0.9959040050858232,IGH,0.0,
27,bfc_wgsim_rl_100_cov_4_26.corrected.fastq,bfc,26,12293,113951,61247,7,1262,0,0,188760,17752,18780440,76118,12,1678,0,0,0,18876000,Bfc,4,100L,0.18911260253542134,0.9136387030365414,0.17123681687440076,0.9958779402415766,IGH,0.0,
28,bfc_wgsim_rl_100_cov_4_28.corrected.fastq,bfc,28,11521,113966,62060,7,1206,0,0,188760,16650,18780547,77221,11,1571,0,0,0,18876000,Bfc,4,100L,0.17737107306835978,0.9137808023708908,0.16063533998785567,0.9958252278025005,IGH,0.0,
29,bfc_wgsim_rl_100_cov_4_30.corrected.fastq,bfc,30,10638,114040,62970,4,1108,0,0,188760,15297,18780676,78577,8,1442,0,0,0,18876000,Bfc,4,100L,0.16295246820205808,0.9138538741860326,0.14759145237232887,0.9957603835558381,IGH,0.0,
30,bfc_wgsim_rl_100_cov_8_20.corrected.fastq,bfc,20,82289,226179,64759,28,4265,0,0,377520,112033,37558346,76796,41,4784,0,0,0,37752000,Bfc,8,100L,0.5933039946194705,0.9590470565071865,0.5679689030816241,0.9978379688493325,IGH,0.0,
31,bfc_wgsim_rl_100_cov_8_22.corrected.fastq,bfc,22,78658,226284,68533,23,4022,0,0,377520,107156,37558674,81676,38,4456,0,0,0,37752000,Bfc,8,100L,0.5674673784104389,0.9600759774934595,0.5438696831045585,0.9977174719220174,IGH,0.0,
32,bfc_wgsim_rl_100_cov_8_24.corrected.fastq,bfc,24,75587,226490,71724,19,3700,0,0,377520,103047,37559011,85794,29,4119,0,0,0,37752000,Bfc,8,100L,0.5456812874322843,0.9615643021107441,0.5238692868603746,0.9976175566857385,IGH,0.0,
33,bfc_wgsim_rl_100_cov_8_26.corrected.fastq,bfc,26,72361,226572,75103,22,3462,0,0,377520,98675,37559288,90166,29,3842,0,0,0,37752000,Bfc,8,100L,0.5225295354292765,0.9625232888203907,0.5021843773333121,0.9975090856113583,IGH,0.0,
34,bfc_wgsim_rl_100_cov_8_28.corrected.fastq,bfc,28,69235,226604,78239,14,3428,0,0,377520,94306,37559317,94541,23,3813,0,0,0,37752000,Bfc,8,100L,0.49937780319517916,0.961139025061405,0.4791868549672486,0.9973941248145793,IGH,0.0,
