,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitivity,Base Precision,Base Gain,Base Accuracy,Dataset,Trim Percent,Trim Effeciency
832,reckoner_SRR1543967_raw_21.corrected.fastq.gz,run.reckoner.sh,21,1293,41751,3508,6,64,78,25,46700,2822,11101323,5585,53,3867,1774,134,4,11115562,Reckoner,NA,100,0.3356726537409302,0.33345149474181734,-0.33531580825502555,0.9989732409295152,RSR,1.2415026788569036e-05,0.029850746268656716
833,racer_SRR1543970_raw_405000.corrected.fastq.gz,run.racer.sh,19,5613,52308,648,1,266,636,63,59472,10483,14119035,1107,82,17810,11121,566,0,14160204,Racer,NA,50L,0.9044866264020708,0.26597148221444156,-1.5917169974115617,0.9978329408248638,RSR,3.997117555651034e-05,0.0
834,racer_SRR1543970_raw_405000.corrected.fastq.gz,run.racer.sh,14,5613,52308,648,1,266,636,63,59472,10483,14119035,1107,82,17810,11121,566,0,14160204,Racer,NA,50L,0.9044866264020708,0.26597148221444156,-1.5917169974115617,0.9978329408248638,RSR,3.997117555651034e-05,0.0
835,racer_SRR1543970_raw_405000.corrected.fastq.gz,run.racer.sh,18,5613,52308,648,1,266,636,63,59472,10483,14119035,1107,82,17810,11121,566,0,14160204,Racer,NA,50L,0.9044866264020708,0.26597148221444156,-1.5917169974115617,0.9978329408248638,RSR,3.997117555651034e-05,0.0
836,racer_SRR1543970_raw_405000.corrected.fastq.gz,run.racer.sh,28,5613,52308,648,1,266,636,63,59472,10483,14119035,1107,82,17810,11121,566,0,14160204,Racer,NA,50L,0.9044866264020708,0.26597148221444156,-1.5917169974115617,0.9978329408248638,RSR,3.997117555651034e-05,0.0
837,racer_SRR1543970_raw_405000.corrected.fastq.gz,run.racer.sh,22,5613,52308,648,1,266,636,63,59472,10483,14119035,1107,82,17810,11121,566,0,14160204,Racer,NA,50L,0.9044866264020708,0.26597148221444156,-1.5917169974115617,0.9978329408248638,RSR,3.997117555651034e-05,0.0
838,racer_SRR1543970_raw_405000.corrected.fastq.gz,run.racer.sh,16,5613,52308,648,1,266,636,63,59472,10483,14119035,1107,82,17810,11121,566,0,14160204,Racer,NA,50L,0.9044866264020708,0.26597148221444156,-1.5917169974115617,0.9978329408248638,RSR,3.997117555651034e-05,0.0
839,racer_SRR1543970_raw_405000.corrected.fastq.gz,run.racer.sh,21,5613,52308,648,1,266,636,63,59472,10483,14119035,1107,82,17810,11121,566,0,14160204,Racer,NA,50L,0.9044866264020708,0.26597148221444156,-1.5917169974115617,0.9978329408248638,RSR,3.997117555651034e-05,0.0
840,racer_SRR1543970_raw_405000.corrected.fastq.gz,run.racer.sh,26,5613,52308,648,1,266,636,63,59472,10483,14119035,1107,82,17810,11121,566,0,14160204,Racer,NA,50L,0.9044866264020708,0.26597148221444156,-1.5917169974115617,0.9978329408248638,RSR,3.997117555651034e-05,0.0
841,racer_SRR1543970_raw_405000.corrected.fastq.gz,run.racer.sh,23,5613,52308,648,1,266,636,63,59472,10483,14119035,1107,82,17810,11121,566,0,14160204,Racer,NA,50L,0.9044866264020708,0.26597148221444156,-1.5917169974115617,0.9978329408248638,RSR,3.997117555651034e-05,0.0
