,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitivity,Base Precision,Base Gain,Base Accuracy,Dataset,Trim Percent,Trim Effeciency,hap
42,bless_mix_3_err_rate_1_20.corrected.fastq,bless,20,1347,7289,413450,1989,4151,370,14365,428596,109919,85017424,4069431,3085,6774,5211,835494,84805,90132143,Bless,NA,100,0.026300501,0.901684932,0.02343283,0.945362127,IGH,0.010210553,0.101502823,3
43,bless_mix_3_err_rate_1_22.corrected.fastq,bless,22,1390,7304,413024,2061,4435,382,14843,428596,111110,84986508,4064496,3190,7416,5297,865705,88484,90132206,Bless,NA,100,0.026609311,0.897329252,0.023564723,0.945069974,IGH,0.010586549,0.102210337,3
44,bless_mix_3_err_rate_1_24.corrected.fastq,bless,24,1412,7304,412607,2102,4772,399,15132,428596,112044,84969250,4061564,3297,7827,5265,882600,90396,90132243,Bless,NA,100,0.026845837,0.895377829,0.023708983,0.94490836,IGH,0.010795205,0.102420122,3
45,bless_mix_3_err_rate_1_26.corrected.fastq,bless,26,1277,7304,413693,1910,4056,356,16378,428596,102654,84891631,4070208,2995,6409,4773,962123,91424,90132217,Bless,NA,100,0.024600382,0.901770969,0.021920687,0.943953092,IGH,0.011688906,0.095023194,3
46,bless_mix_3_err_rate_1_28.corrected.fastq,bless,28,1302,7292,413457,1961,4215,369,16810,428596,104209,84873514,4068138,3050,6671,4593,980149,91927,90132251,Bless,NA,100,0.024976111,0.902453387,0.022276431,0.943774069,IGH,0.011894477,0.093788801,3
47,bless_mix_3_err_rate_1_30.corrected.fastq,bless,30,1418,7321,412107,2164,5167,419,17144,428596,110224,84860062,4059657,3528,8464,5376,991064,93902,90132277,Bless,NA,100,0.026433368,0.888444674,0.023114329,0.943711901,IGH,0.012037486,0.094748674,3
48,bless_mix_4_err_rate_1_20.corrected.fastq,bless,20,1654,10462,610267,2350,4529,450,24488,629712,139184,125056155,5807868,3696,7425,7435,1458965,128994,132609722,Bless,NA,100,0.023403865,0.903534055,0.020905148,0.945007934,IGH,0.01197468,0.088414732,4
49,bless_mix_4_err_rate_1_22.corrected.fastq,bless,22,1676,10492,609900,2379,4793,472,25224,629712,139926,125006369,5805395,3780,7758,7111,1508809,130660,132609808,Bless,NA,100,0.023535483,0.903943926,0.021034524,0.944649002,IGH,0.012363105,0.086598105,4
50,bless_mix_4_err_rate_1_24.corrected.fastq,bless,24,1732,10486,609423,2461,5121,489,25000,629712,143573,125022341,5800220,3901,8324,7654,1491674,132121,132609808,Bless,NA,100,0.024155114,0.899856472,0.021466932,0.944807513,IGH,0.012244909,0.088572302,4
51,bless_mix_4_err_rate_1_26.corrected.fastq,bless,26,1545,10467,609895,2334,4569,512,26859,629322,127914,124826127,5807419,3727,7323,7229,1611073,137108,132527920,Bless,NA,100,0.021551276,0.897856331,0.019099518,0.943827137,IGH,0.013191039,0.08510353,4
52,bless_mix_4_err_rate_1_28.corrected.fastq,bless,28,1804,10467,608685,2603,5631,522,25439,629712,148186,125005499,5793820,4120,8936,7325,1508371,133701,132609958,Bless,NA,100,0.024938716,0.901117077,0.022202098,0.944725401,IGH,0.01238272,0.088639333,4
53,bless_mix_4_err_rate_1_30.corrected.fastq,bless,30,1863,10466,608060,2688,6071,564,25586,629712,150913,124996230,5792358,4304,9858,7943,1516145,132239,132609990,Bless,NA,100,0.025392246,0.894490084,0.022397094,0.944665365,IGH,0.012430315,0.087220549,4
54,bless_mix_5_err_rate_1_20.corrected.fastq,bless,20,6614,39647,652411,2291,4232,549,30257,705744,143362,141013867,5967171,3809,7281,9009,1807752,143659,149095910,Bless,NA,100,0.023461456,0.897965575,0.020795567,0.947667646,IGH,0.013088293,0.079468312,5
55,bless_mix_5_err_rate_1_22.corrected.fastq,bless,22,6845,39606,651718,2386,4600,589,30206,705744,147231,141009424,5962755,4033,7836,9116,1811610,143974,149095979,Bless,NA,100,0.024096782,0.896749359,0.021322307,0.947665357,IGH,0.013116276,0.079472955,5
56,bless_mix_5_err_rate_1_24.corrected.fastq,bless,24,8375,39575,648574,2782,5772,666,27716,705744,172652,141152824,5942294,4769,10036,10822,1664367,138383,149096147,Bless,NA,100,0.028234428,0.892212289,0.024823441,0.948762067,IGH,0.012091191,0.083144523,5
57,bless_mix_5_err_rate_1_26.corrected.fastq,bless,26,8199,39618,648913,2753,5662,599,28764,705744,169226,141088137,5944200,4485,9605,8865,1731489,140095,149096102,Bless,NA,100,0.027681042,0.901596198,0.024659822,0.948315988,IGH,0.01255287,0.08091013,5
58,bless_mix_5_err_rate_1_28.corrected.fastq,bless,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bless,NA,100,,,,,IGH,,,5
59,bless_mix_5_err_rate_1_30.corrected.fastq,bless,30,9787,39550,643958,3336,8388,725,27864,705744,191001,141198348,5925487,5448,14174,10064,1615691,136138,149096351,Bless,NA,100,0.031227234,0.887390296,0.027264502,0.949175261,IGH,0.011749644,0.084259923,5
60,coral_mix_1_err_rate_1_20.corrected.fastq,coral,20,224,2897,139046,854,13616,844,94,157481,53409,30555624,1614476,2835,27695,1236,82,10009,32265366,Coral,NA,100,0.032021992,0.648639786,0.014676072,0.948959672,IGH,0.00031275,122.0609756,1
61,coral_mix_1_err_rate_1_22.corrected.fastq,coral,22,239,2913,138431,1122,13851,925,71,157481,54854,30555101,1612740,3128,28284,1384,64,10009,32265564,Coral,NA,100,0.032894098,0.648990795,0.015103197,0.948982431,IGH,0.00031219,156.390625,1
62,coral_mix_1_err_rate_1_24.corrected.fastq,coral,24,358,2887,138421,1065,13653,1097,83,157481,54534,30554635,1613125,3056,28606,1626,75,10012,32265669,Coral,NA,100,0.03270093,0.643347569,0.014572524,0.948955062,IGH,0.000312623,133.4933333,1
63,coral_mix_1_err_rate_1_26.corrected.fastq,coral,26,263,2892,138131,1026,14144,1025,93,157481,55566,30553955,1612139,3016,29159,1648,80,10018,32265581,Coral,NA,100,0.033318842,0.643326039,0.014846151,0.948968741,IGH,0.000312965,125.225,1
64,coral_mix_1_err_rate_1_28.corrected.fastq,coral,28,198,2892,138145,935,14312,999,87,157481,55397,30553504,1612416,2906,29592,1525,74,10012,32265426,Coral,NA,100,0.033215354,0.640324109,0.014557987,0.948953903,IGH,0.000312595,135.2972973,1
65,coral_mix_1_err_rate_1_30.corrected.fastq,coral,30,308,2884,138007,1055,14364,863,90,157481,57274,30553861,1610363,3086,29324,1462,94,10007,32265471,Coral,NA,100,0.034344405,0.650397456,0.015883553,0.949021691,IGH,0.000313059,106.4574468,1
66,coral_mix_2_err_rate_1_20.corrected.fastq,coral,20,760,4673,212649,1202,18778,1259,101,239321,88955,47203970,2178023,4021,38516,1835,88,12257,49527665,Coral,NA,100,0.039239463,0.687941782,0.021439996,0.955115325,IGH,0.000249255,139.2840909,2
67,coral_mix_2_err_rate_1_22.corrected.fastq,coral,22,682,4651,211649,1281,19785,1273,106,239321,91421,47202527,2175749,3836,40025,1839,98,12253,49527748,Coral,NA,100,0.04032384,0.685906141,0.021858528,0.955134307,IGH,0.000249375,125.0306122,2
68,coral_mix_2_err_rate_1_24.corrected.fastq,coral,24,703,4625,209912,1286,21360,1435,92,239321,96959,47198916,2170062,4000,43600,2048,92,12250,49527927,Coral,NA,100,0.042769344,0.679903511,0.022633668,0.955169713,IGH,0.000249193,133.1521739,2
69,coral_mix_2_err_rate_1_26.corrected.fastq,coral,26,682,4561,209300,1561,21769,1448,99,239321,99112,47197990,2167401,4504,44505,2072,88,12255,49527927,Coral,NA,100,0.043728847,0.680298444,0.023178777,0.95519459,IGH,0.000249213,139.2613636,2
70,coral_mix_2_err_rate_1_28.corrected.fastq,coral,28,714,4546,208748,1600,22144,1569,113,239321,101498,47195801,2164841,4700,46666,2256,97,12261,49528120,Coral,NA,100,0.044785003,0.674763994,0.023198648,0.955194961,IGH,0.000249515,126.4020619,2
71,coral_mix_2_err_rate_1_30.corrected.fastq,coral,30,671,4525,208537,1457,22498,1633,98,239321,102526,47194648,2164159,4366,47806,2363,82,12261,49528211,Coral,NA,100,0.045231693,0.671443073,0.02309849,0.955190681,IGH,0.000249212,149.5243902,2
72,coral_mix_3_err_rate_1_20.corrected.fastq,coral,20,1096,6874,396903,2034,20348,1664,118,428919,122842,85832167,4111720,4608,40700,2102,92,27738,90141969,Coral,NA,100,0.029009376,0.741602473,0.018901601,0.953845004,IGH,0.000308735,301.5,3
73,coral_mix_3_err_rate_1_22.corrected.fastq,coral,22,1073,6831,395102,2141,22038,1734,114,428919,129757,85830318,4104615,4806,42534,2222,84,27740,90142076,Coral,NA,100,0.030643741,0.743537731,0.020074051,0.95390011,IGH,0.000308668,330.2380952,3
74,coral_mix_3_err_rate_1_24.corrected.fastq,coral,24,1093,6830,393893,2094,23065,1944,152,428919,135395,85827704,4098572,5204,45001,2747,95,27765,90142483,Coral,NA,100,0.031978284,0.739285695,0.020700917,0.953929623,IGH,0.000309066,292.2631579,3
75,coral_mix_3_err_rate_1_26.corrected.fastq,coral,26,1103,6790,392379,2132,24536,1979,138,428919,136531,85824201,4097217,5457,48600,2652,113,27744,90142515,Coral,NA,100,0.032248259,0.727067945,0.020142673,0.953902796,IGH,0.000309033,245.5221239,3
76,coral_mix_3_err_rate_1_28.corrected.fastq,coral,28,1188,6777,392144,2061,24770,1979,149,428919,139055,85823327,4094908,5226,49372,2842,128,27750,90142608,Coral,NA,100,0.032842753,0.727012741,0.020510571,0.953920185,IGH,0.000309266,216.796875,3
77,coral_mix_3_err_rate_1_30.corrected.fastq,coral,30,1203,6763,390398,2390,26031,2134,165,428919,144026,85820466,4089266,5907,52208,3004,151,27748,90142776,Coral,NA,100,0.034022222,0.722884189,0.02097989,0.9539418,IGH,0.000309498,183.7615894,3
78,coral_mix_4_err_rate_1_20.corrected.fastq,coral,20,2453,10054,587811,2625,24880,2320,191,630143,166338,126490690,5872934,6322,49177,2961,155,33673,132622250,Coral,NA,100,0.027542724,0.761355938,0.018909564,0.955263499,IGH,0.00025507,217.2451613,4
79,coral_mix_4_err_rate_1_22.corrected.fastq,coral,22,2242,10009,586568,2588,26254,2482,204,630143,171095,126487302,5867935,6567,52500,3257,157,33682,132622495,Coral,NA,100,0.028331537,0.754214201,0.019098763,0.955272124,IGH,0.000255153,214.5350318,4
80,coral_mix_4_err_rate_1_24.corrected.fastq,coral,24,2583,10010,585031,2885,26864,2770,229,630143,177146,126484996,5861315,7155,54631,3572,186,33693,132622694,Coral,NA,100,0.029336283,0.752694934,0.019697569,0.955299015,IGH,0.000255454,181.1451613,4
81,coral_mix_4_err_rate_1_26.corrected.fastq,coral,26,2554,9967,583925,2630,28206,2861,194,630143,182283,126480636,5856181,7170,59044,3782,147,33678,132622921,Coral,NA,100,0.030186981,0.743681383,0.01978268,0.955303131,IGH,0.000255046,229.1020408,4
82,coral_mix_4_err_rate_1_28.corrected.fastq,coral,28,2837,9962,581477,3061,29917,2889,220,630143,192006,126476877,5845696,7924,62575,3864,208,33688,132622838,Coral,NA,100,0.031801172,0.742927896,0.020797151,0.955348782,IGH,0.000255582,161.9615385,4
83,coral_mix_4_err_rate_1_30.corrected.fastq,coral,30,2906,9931,580203,2993,31204,2906,206,630143,195143,126474421,5842628,7856,65233,3901,180,33682,132623044,Coral,NA,100,0.032320371,0.738403266,0.020870119,0.955352391,IGH,0.000255325,187.1222222,4
84,coral_mix_5_err_rate_1_20.corrected.fastq,coral,20,2422,38732,630528,2551,29329,2620,206,706182,179435,142782218,6038225,6190,66271,3448,151,33683,149109621,Coral,NA,100,0.028858928,0.720177079,0.017645867,0.958985433,IGH,0.000226907,223.0662252,5
85,coral_mix_5_err_rate_1_22.corrected.fastq,coral,22,2778,38732,628620,2573,30490,2989,214,706182,185490,142778620,6031895,6472,69688,3910,165,33695,149109935,Coral,NA,100,0.029834086,0.715934354,0.017996634,0.958999972,IGH,0.000227081,204.2121212,5
86,coral_mix_5_err_rate_1_24.corrected.fastq,coral,24,2782,38732,627136,2678,31837,3017,226,706182,190917,142774870,6026114,6839,73466,3896,181,33696,149109979,Coral,NA,100,0.03070871,0.711636021,0.018265149,0.959010945,IGH,0.000227195,186.1657459,5
87,coral_mix_5_err_rate_1_26.corrected.fastq,coral,26,2806,38730,625945,2793,32815,3093,223,706182,196228,142772129,6020603,7061,76185,3963,172,33694,149110035,Coral,NA,100,0.031563991,0.710003763,0.018671892,0.959027811,IGH,0.000227121,195.8953488,5
88,coral_mix_5_err_rate_1_28.corrected.fastq,coral,28,3074,38731,623917,2840,34347,3273,236,706182,201400,142766489,6015064,7379,81643,4372,199,33696,149110242,Coral,NA,100,0.032397839,0.700728911,0.018561195,0.959023353,IGH,0.000227315,169.3266332,5
89,coral_mix_5_err_rate_1_30.corrected.fastq,coral,30,3237,38731,622148,2877,35922,3267,232,706182,204382,142761640,6011935,7560,86552,4447,185,33700,149110401,Coral,NA,100,0.03287831,0.691926698,0.018239578,0.959009832,IGH,0.000227248,182.1621622,5
90,fiona_mix_1_err_rate_1_9181.corrected.fastq,fiona,9181,501,2886,144413,1553,7581,547,134,157481,54849,30570721,1613526,2567,12567,1002,115,9817,32265164,Fiona,NA,100,0.032875702,0.801674998,0.024742639,0.949472656,IGH,0.000307824,85.36521739,1
91,fiona_mix_2_err_rate_1_9181.corrected.fastq,fiona,9181,934,4462,217195,2626,13476,628,260,239321,88159,47219094,2178953,3934,23174,1224,229,12260,49527027,Fiona,NA,100,0.038886037,0.783238715,0.028124327,0.955417058,IGH,0.000252165,53.5371179,2
92,fiona_mix_3_err_rate_1_9181.corrected.fastq,fiona,9181,1406,6882,400710,4345,14731,845,271,428919,141205,85848153,4092327,5717,23991,1774,232,27803,90141202,Fiona,NA,100,0.033353947,0.845690843,0.027268012,0.954234986,IGH,0.000311012,119.8405172,3
93,fiona_mix_4_err_rate_1_9181.corrected.fastq,fiona,9181,2014,10021,594965,5939,16223,981,316,630143,199082,126514420,5838947,7555,25055,1929,257,33845,132621090,Fiona,NA,100,0.032971355,0.880636628,0.028502347,0.955699034,IGH,0.000257139,131.692607,4
94,fiona_mix_5_err_rate_1_9181.corrected.fastq,fiona,9181,10580,38776,634826,6566,14632,802,334,706182,225914,142828214,5989675,8207,19964,1740,277,33848,149107839,Fiona,NA,100,0.036346354,0.91234886,0.032854489,0.959618288,IGH,0.000228861,122.1949458,5
95,lighter_mix_1_err_rate_1_20.corrected.fastq,lighter,20,738,2511,112038,1894,40283,17,63,157481,91784,30507294,1574099,5375,76152,27,38,9665,32264434,Lighter,NA,100,0.055096306,0.546453683,0.009367405,0.948668335,IGH,0.000300734,254.3421053,1
96,lighter_mix_1_err_rate_1_22.corrected.fastq,lighter,22,687,2557,114487,1865,37852,33,59,157481,91674,30510093,1573598,5999,73332,40,33,9665,32264434,Lighter,NA,100,0.055050466,0.555445149,0.010990397,0.948751702,IGH,0.000300579,292.8787879,1
97,lighter_mix_1_err_rate_1_24.corrected.fastq,lighter,24,837,2571,111310,1795,40958,10,65,157481,92895,30504334,1572065,6287,79128,13,49,9663,32264434,Lighter,NA,100,0.055794133,0.539974191,0.008260859,0.948610951,IGH,0.000301013,197.2040816,1
98,lighter_mix_1_err_rate_1_26.corrected.fastq,lighter,26,738,2613,112150,1855,40107,18,65,157481,91526,30506259,1573906,5445,77225,22,48,10003,32264434,Lighter,NA,100,0.054956312,0.542302382,0.008573751,0.948638189,IGH,0.000311519,208.3958333,1
99,lighter_mix_1_err_rate_1_28.corrected.fastq,lighter,28,731,2595,112699,1853,39595,8,65,157481,89386,30506704,1575359,6151,76772,11,49,10002,32264434,Lighter,NA,100,0.053693509,0.537922236,0.007570529,0.948585608,IGH,0.000311519,204.122449,1
100,lighter_mix_1_err_rate_1_30.corrected.fastq,lighter,30,729,2641,110731,2192,41179,9,65,157481,89705,30505233,1575073,6109,78252,12,49,10002,32264435,Lighter,NA,100,0.053884061,0.53405688,0.006872388,0.948549863,IGH,0.000311519,204.122449,1
