,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitivity,Base Precision,Base Gain,Base Accuracy,Trim Percent,Trim Efficiency
0,bfc_hiv.1.mix_raw_original_20_1.corrected.fastq,run.bfc.sh,20,2694,72773,1293189,18769,24885,54,1698,1412364,123878,280506009,17851669,22150,26113,57,30,1803760,300333666,Bfc,NA,100,0.006891473,0.825589145,0.005435606,0.940039444,0.006005953,60125.33333
1,bfc_hiv.1.mix_raw_original_22_1.corrected.fastq,run.bfc.sh,22,2787,72989,1293750,18683,24105,50,1705,1412364,128630,280506871,17851229,21941,25194,56,28,1799731,300333680,Bfc,NA,100,0.007154116,0.8359111,0.005749767,0.940045519,0.005992531,64276.10714
2,bfc_hiv.1.mix_raw_original_24_1.corrected.fastq,run.bfc.sh,24,3106,72999,1293614,18388,24198,59,1702,1412364,131578,280506710,17848932,21333,25401,65,31,1799627,300333677,Bfc,NA,100,0.007317812,0.837841624,0.005901501,0.940054536,0.005992195,58052.48387
3,bfc_hiv.1.mix_raw_original_26_1.corrected.fastq,run.bfc.sh,26,3227,72845,1293305,18110,24823,54,1713,1412364,135392,280506171,17840754,20917,25960,60,34,1804396,300333684,Bfc,NA,100,0.007531759,0.838797611,0.006084285,0.940080502,0.006008084,53070.47059
4,bfc_hiv.1.mix_raw_original_28_1.corrected.fastq,run.bfc.sh,28,3384,72837,1293492,17997,24589,65,1717,1412364,138284,280506374,17841537,20598,25772,69,38,1801018,300333690,Bfc,NA,100,0.007691067,0.842552932,0.006253844,0.940080213,0.00599685,47395.21053
5,bfc_hiv.1.mix_raw_original_30_1.corrected.fastq,run.bfc.sh,30,3559,72990,1293694,17963,24093,65,1712,1412364,140419,280506912,17835179,20425,25217,71,34,1805426,300333683,Bfc,NA,100,0.007811646,0.847393291,0.00640485,0.94010307,0.006011514,53100.76471
6,bless_hiv.1.mix_raw_original_20_1.corrected.fastq,run.bless.sh,20,19701,74816,1294130,8200,10558,1098,82727,1408503,549084,275484254,16895222,13379,17609,19770,4654212,2329038,299962568,Bless,NA,100,0.031476403,0.936263669,0.02933364,0.927426886,0.023280405,0.500415108
7,bless_hiv.1.mix_raw_original_22_1.corrected.fastq,run.bless.sh,22,18939,74846,1294082,8362,11020,1254,85000,1408503,536444,275370930,16899908,13482,17925,19432,4768134,2336650,299962905,Bless,NA,100,0.030765839,0.934895547,0.028623361,0.927026327,0.023685542,0.490055439
8,bless_hiv.1.mix_raw_original_24_1.corrected.fastq,run.bless.sh,24,16524,75054,1296520,8244,10820,1341,91581,1408503,476472,275028057,16951181,13224,17577,20986,5110026,2345380,299962903,Bless,NA,100,0.027339998,0.925125477,0.02512725,0.92569996,0.024854427,0.458976138
9,bless_hiv.1.mix_raw_original_26_1.corrected.fastq,run.bless.sh,26,16758,74982,1295718,8389,11398,1258,90642,1408503,485128,275084342,16937022,13495,18114,20758,5052955,2351015,299962829,Bless,NA,100,0.027845473,0.925816794,0.02561429,0.925935924,0.024682958,0.46527527
