,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitivity,Base Precision,Base Gain,Base Accuracy,Dataset,Trim Percent,Trim Effeciency,Error
0,bfc_mix_0.0001_err_rate_1_20.corrected.fastq,bfc,20,290,164039,2351,14,462,4,1,167160,321,34623763,2444,16,475,4,0,1,34627024,Bfc,NA,100,0.116094033,0.40125,-0.057142857,0.999915124,IGH,2.89E-08,inf,0.0001
1,bfc_mix_0.0001_err_rate_1_22.corrected.fastq,bfc,22,304,164009,2347,19,477,4,1,167160,329,34623748,2434,21,487,4,0,1,34627024,Bfc,NA,100,0.119073471,0.401219512,-0.058631922,0.999914922,IGH,2.89E-08,inf,0.0001
2,bfc_mix_0.0001_err_rate_1_24.corrected.fastq,bfc,24,296,164111,2341,18,388,6,1,167160,334,34623839,2433,20,391,6,0,1,34627024,Bfc,NA,100,0.120708348,0.456908345,-0.022768341,0.999917694,IGH,2.89E-08,inf,0.0001
3,bfc_mix_0.0001_err_rate_1_26.corrected.fastq,bfc,26,326,164159,2303,18,349,5,1,167160,357,34623873,2412,20,356,5,0,1,34627024,Bfc,NA,100,0.128927411,0.497214485,-0.001444565,0.99991934,IGH,2.89E-08,inf,0.0001
4,bfc_mix_0.0001_err_rate_1_28.corrected.fastq,bfc,28,332,164076,2298,20,430,4,1,167160,361,34623794,2399,22,443,4,0,1,34627024,Bfc,NA,100,0.130797101,0.446782178,-0.03115942,0.999917175,IGH,2.89E-08,inf,0.0001
5,bfc_mix_0.0001_err_rate_1_30.corrected.fastq,bfc,30,320,164120,2311,18,387,4,1,167160,354,34623835,2408,21,401,4,0,1,34627024,Bfc,NA,100,0.128167994,0.466403162,-0.018464881,0.999918156,IGH,2.89E-08,inf,0.0001
6,bfc_mix_0.00033_err_rate_1_20.corrected.fastq,bfc,20,589,157721,7671,41,1130,8,0,167160,717,34618361,8451,45,1144,9,0,0,34628727,Bfc,NA,100,0.078206806,0.38342246,-0.047556719,0.999721359,IGH,0,,0.00033
7,bfc_mix_0.00033_err_rate_1_22.corrected.fastq,bfc,22,600,157601,7650,44,1258,7,1,167160,740,34618222,8427,50,1279,8,0,1,34628727,Bfc,NA,100,0.080724337,0.365071534,-0.059670557,0.999718038,IGH,2.89E-08,inf,0.00033
8,bfc_mix_0.00033_err_rate_1_24.corrected.fastq,bfc,24,628,157659,7632,47,1188,6,2,167160,775,34618306,8387,52,1198,7,0,2,34628727,Bfc,NA,100,0.084588518,0.391414141,-0.046932984,0.999721503,IGH,5.78E-08,inf,0.00033
9,bfc_mix_0.00033_err_rate_1_26.corrected.fastq,bfc,26,642,158115,7610,45,745,3,1,167160,800,34618745,8363,56,758,4,0,1,34628727,Bfc,NA,100,0.08730765,0.512163892,0.004147113,0.999734873,IGH,2.89E-08,inf,0.00033
10,bfc_mix_0.00033_err_rate_1_28.corrected.fastq,bfc,28,632,158063,7629,47,785,4,1,167160,780,34618710,8373,57,801,5,0,1,34628727,Bfc,NA,100,0.085217961,0.491803279,-0.002840599,0.999733285,IGH,2.89E-08,inf,0.00033
11,bfc_mix_0.00033_err_rate_1_30.corrected.fastq,bfc,30,650,157716,7616,45,1129,4,1,167160,809,34618361,8349,56,1146,5,0,1,34628727,Bfc,NA,100,0.088338065,0.412755102,-0.037344398,0.999724044,IGH,2.89E-08,inf,0.00033
12,bfc_mix_0.001_err_rate_1_20.corrected.fastq,bfc,20,915,143604,20801,134,1697,9,2,167160,1456,34604086,26311,157,1745,9,2,0,34633766,Bfc,NA,100,0.052436345,0.453582555,-0.010732164,0.999185073,IGH,5.77E-08,0,0.001
13,bfc_mix_0.001_err_rate_1_22.corrected.fastq,bfc,22,937,144056,20865,120,1171,11,2,167160,1496,34604610,26280,140,1226,11,2,0,34633765,Bfc,NA,100,0.053859447,0.547383827,0.009324597,0.999201386,IGH,5.77E-08,0,0.001
