,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitivity,Base Precision,Base Gain,Base Accuracy,Dataset,Trim Percent,Trim Effeciency,Error
14,bfc_mix_0.001_err_rate_1_24.corrected.fastq,bfc,24,1021,143779,20733,133,1487,7,1,167160,1584,34604316,26180,152,1523,7,1,0,34633763,Bfc,NA,100,0.057052298,0.50867052,0.001944965,0.999195496,IGH,2.89E-08,0,0.001
15,bfc_mix_0.001_err_rate_1_26.corrected.fastq,bfc,26,1039,143978,20672,132,1335,4,2,167160,1603,34604474,26163,151,1365,4,2,0,34633762,Bfc,NA,100,0.057732479,0.539367429,0.008427573,0.999200635,IGH,5.77E-08,0,0.001
16,bfc_mix_0.001_err_rate_1_28.corrected.fastq,bfc,28,1068,144049,20703,137,1200,3,2,167160,1635,34604602,26119,160,1241,3,2,0,34633762,Bfc,NA,100,0.058910427,0.567905523,0.014088059,0.999205255,IGH,5.77E-08,0,0.001
17,bfc_mix_0.001_err_rate_1_30.corrected.fastq,bfc,30,1104,143667,20652,145,1586,6,1,167160,1709,34604205,26037,168,1636,6,1,0,34633762,Bfc,NA,100,0.061594464,0.509997016,0.002414762,0.999195929,IGH,2.89E-08,0,0.001
18,bfc_mix_0.0033_err_rate_1_20.corrected.fastq,bfc,20,970,113301,51141,353,1382,13,3,167160,2763,34556678,89204,428,1452,17,1,3,34650546,Bfc,NA,100,0.030043385,0.652882798,0.014070264,0.997370835,IGH,1.15E-07,3,0.0033
19,bfc_mix_0.0033_err_rate_1_22.corrected.fastq,bfc,22,1022,113330,51086,383,1326,13,2,167160,2898,34556738,89035,455,1401,17,1,1,34650546,Bfc,NA,100,0.031522957,0.671455051,0.016098681,0.997376405,IGH,5.77E-08,1,0.0033
20,bfc_mix_0.0033_err_rate_1_24.corrected.fastq,bfc,24,1119,113250,51021,366,1396,8,2,167160,3039,34556700,88902,437,1457,9,1,1,34650546,Bfc,NA,100,0.033053806,0.674583796,0.017108798,0.997379377,IGH,5.77E-08,1,0.0033
21,bfc_mix_0.0033_err_rate_1_26.corrected.fastq,bfc,26,1155,113376,50978,350,1293,8,2,167160,3129,34556813,88828,406,1359,9,1,1,34650546,Bfc,NA,100,0.034026773,0.695797198,0.019150255,0.997385236,IGH,5.77E-08,1,0.0033
22,bfc_mix_0.0033_err_rate_1_28.corrected.fastq,bfc,28,1195,113350,50909,359,1340,7,2,167160,3227,34556772,88710,427,1400,8,1,1,34650546,Bfc,NA,100,0.035100123,0.69622438,0.019785288,0.997386881,IGH,5.77E-08,1,0.0033
23,bfc_mix_0.0033_err_rate_1_30.corrected.fastq,bfc,30,1297,113381,50796,348,1328,10,2,167160,3462,34556750,88501,400,1419,12,1,1,34650546,Bfc,NA,100,0.037645575,0.707541386,0.022084969,0.997393028,IGH,5.77E-08,1,0.0033
24,bfc_mix_1e-05_err_rate_1_20.corrected.fastq,bfc,20,55,166717,194,2,192,0,0,167160,56,34625883,204,2,206,0,0,0,34626351,Bfc,NA,100,0.215384615,0.213740458,-0.576923077,0.999988102,IGH,0,,1.00E-05
25,bfc_mix_1e-05_err_rate_1_22.corrected.fastq,bfc,22,51,166780,194,4,131,0,0,167160,52,34625948,205,4,142,0,0,0,34626351,Bfc,NA,100,0.20233463,0.268041237,-0.350194553,0.999989863,IGH,0,,1.00E-05
26,bfc_mix_1e-05_err_rate_1_24.corrected.fastq,bfc,24,57,166693,191,4,215,0,0,167160,59,34625868,199,4,221,0,0,0,34626351,Bfc,NA,100,0.228682171,0.210714286,-0.627906977,0.999987755,IGH,0,,1.00E-05
27,bfc_mix_1e-05_err_rate_1_26.corrected.fastq,bfc,26,62,166823,184,4,87,0,0,167160,63,34625992,195,4,97,0,0,0,34626351,Bfc,NA,100,0.244186047,0.39375,-0.131782946,0.999991452,IGH,0,,1.00E-05
28,bfc_mix_1e-05_err_rate_1_28.corrected.fastq,bfc,28,66,166797,184,2,111,0,0,167160,67,34625967,192,2,123,0,0,0,34626351,Bfc,NA,100,0.258687259,0.352631579,-0.216216216,0.999990845,IGH,0,,1.00E-05
29,bfc_mix_1e-05_err_rate_1_30.corrected.fastq,bfc,30,65,166799,184,4,108,0,0,167160,65,34625971,192,4,119,0,0,0,34626351,Bfc,NA,100,0.252918288,0.35326087,-0.210116732,0.999990903,IGH,0,,1.00E-05
30,bfc_mix_1e-06_err_rate_1_20.corrected.fastq,bfc,20,8,166979,16,0,157,0,0,167160,8,34626095,18,0,170,0,0,0,34626291,Bfc,NA,100,0.307692308,0.04494382,-6.230769231,0.999994571,IGH,0,,1.00E-06
31,bfc_mix_1e-06_err_rate_1_22.corrected.fastq,bfc,22,12,167011,14,0,123,0,0,167160,12,34626135,14,0,130,0,0,0,34626291,Bfc,NA,100,0.461538462,0.084507042,-4.538461538,0.999995841,IGH,0,,1.00E-06
32,bfc_mix_1e-06_err_rate_1_24.corrected.fastq,bfc,24,9,166960,15,1,175,0,0,167160,9,34626086,16,1,179,0,0,0,34626291,Bfc,NA,100,0.36,0.04787234,-6.8,0.99999434,IGH,0,,1.00E-06
33,bfc_mix_1e-06_err_rate_1_26.corrected.fastq,bfc,26,12,167072,13,0,63,0,0,167160,12,34626197,14,0,68,0,0,0,34626291,Bfc,NA,100,0.461538462,0.15,-2.153846154,0.999997632,IGH,0,,1.00E-06
34,bfc_mix_1e-06_err_rate_1_28.corrected.fastq,bfc,28,9,167050,16,0,85,0,0,167160,9,34626171,17,0,94,0,0,0,34626291,Bfc,NA,100,0.346153846,0.087378641,-3.269230769,0.999996794,IGH,0,,1.00E-06
35,bfc_mix_1e-06_err_rate_1_30.corrected.fastq,bfc,30,10,167052,14,1,83,0,0,167160,10,34626171,15,1,94,0,0,0,34626291,Bfc,NA,100,0.4,0.096153846,-3.36,0.999996823,IGH,0,,1.00E-06
36,bfc_mix_3.3e-05_err_rate_1_20.corrected.fastq,bfc,20,156,165973,695,2,334,0,0,167160,161,34625275,719,2,349,0,0,0,34626506,Bfc,NA,100,0.182954545,0.315686275,-0.213636364,0.999969099,IGH,0,,3.30E-05
37,bfc_mix_3.3e-05_err_rate_1_22.corrected.fastq,bfc,22,158,166050,693,2,257,0,0,167160,163,34625336,717,2,288,0,0,0,34626506,Bfc,NA,100,0.185227273,0.361419069,-0.142045455,0.999970918,IGH,0,,3.30E-05
38,bfc_mix_3.3e-05_err_rate_1_24.corrected.fastq,bfc,24,166,165729,685,2,578,0,0,167160,170,34625038,710,2,586,0,0,0,34626506,Bfc,NA,100,0.193181818,0.224867725,-0.472727273,0.999962514,IGH,0,,3.30E-05
39,bfc_mix_3.3e-05_err_rate_1_26.corrected.fastq,bfc,26,168,166169,682,3,137,1,0,167160,172,34625478,706,3,146,1,0,0,34626506,Bfc,NA,100,0.195899772,0.539184953,0.028473804,0.999975279,IGH,0,,3.30E-05
40,bfc_mix_3.3e-05_err_rate_1_28.corrected.fastq,bfc,28,176,166151,674,5,153,1,0,167160,183,34625457,693,5,167,1,0,0,34626506,Bfc,NA,100,0.20890411,0.521367521,0.017123288,0.99997499,IGH,0,,3.30E-05
41,bfc_mix_3.3e-05_err_rate_1_30.corrected.fastq,bfc,30,166,166116,684,3,190,1,0,167160,170,34625421,708,3,203,1,0,0,34626506,Bfc,NA,100,0.193621868,0.454545455,-0.038724374,0.999973575,IGH,0,,3.30E-05
42,bfc_mix_3.3e-06_err_rate_1_20.corrected.fastq,bfc,20,30,166903,61,1,165,0,0,167160,30,34626023,69,1,181,0,0,0,34626304,Bfc,NA,100,0.303030303,0.142180095,-1.525252525,0.999992751,IGH,0,,3.30E-06
43,bfc_mix_3.3e-06_err_rate_1_22.corrected.fastq,bfc,22,34,166927,62,0,137,0,0,167160,34,34626059,66,0,145,0,0,0,34626304,Bfc,NA,100,0.34,0.189944134,-1.11,0.999993906,IGH,0,,3.30E-06
44,bfc_mix_3.3e-06_err_rate_1_24.corrected.fastq,bfc,24,33,166866,61,1,199,0,0,167160,33,34625998,66,1,206,0,0,0,34626304,Bfc,NA,100,0.333333333,0.138075314,-1.747474747,0.999992116,IGH,0,,3.30E-06
45,bfc_mix_3.3e-06_err_rate_1_26.corrected.fastq,bfc,26,36,166990,58,0,76,0,0,167160,36,34626121,64,0,83,0,0,0,34626304,Bfc,NA,100,0.36,0.302521008,-0.47,0.999995755,IGH,0,,3.30E-06
46,bfc_mix_3.3e-06_err_rate_1_28.corrected.fastq,bfc,28,39,166970,55,0,96,0,0,167160,39,34626097,61,0,107,0,0,0,34626304,Bfc,NA,100,0.39,0.267123288,-0.68,0.999995148,IGH,0,,3.30E-06
47,bfc_mix_3.3e-06_err_rate_1_30.corrected.fastq,bfc,30,35,166978,59,0,88,0,0,167160,35,34626105,65,0,99,0,0,0,34626304,Bfc,NA,100,0.35,0.26119403,-0.64,0.999995264,IGH,0,,3.30E-06
48,coral_mix_0.0001_err_rate_1_20.corrected.fastq,coral,20,0,164460,2488,0,203,9,0,167160,39,34623542,2740,0,700,15,0,0,34627036,Coral,NA,100,0.014033825,0.051724138,-0.243252969,0.999900222,IGH,0,,0.0001
49,coral_mix_0.0001_err_rate_1_22.corrected.fastq,coral,22,0,164460,2481,0,210,9,0,167160,42,34623502,2737,0,742,10,0,0,34627033,Coral,NA,100,0.01511335,0.052896725,-0.255487585,0.999899241,IGH,0,,0.0001
50,coral_mix_0.0001_err_rate_1_24.corrected.fastq,coral,24,0,164460,2469,0,223,8,0,167160,46,34623414,2733,0,830,9,0,0,34627032,Coral,NA,100,0.016552717,0.051977401,-0.285354444,0.999896844,IGH,0,,0.0001
51,coral_mix_0.0001_err_rate_1_26.corrected.fastq,coral,26,0,164460,2439,0,252,9,0,167160,44,34623296,2735,0,948,11,0,0,34627034,Coral,NA,100,0.015833033,0.043868395,-0.329255128,0.99989332,IGH,0,,0.0001
52,coral_mix_0.0001_err_rate_1_28.corrected.fastq,coral,28,0,164460,2448,1,239,12,0,167160,47,34623334,2730,1,911,13,0,0,34627036,Coral,NA,100,0.016924739,0.048403708,-0.315808426,0.999894447,IGH,0,,0.0001
53,coral_mix_0.0001_err_rate_1_30.corrected.fastq,coral,30,0,164460,2442,1,246,11,0,167160,46,34623308,2731,1,937,11,0,0,34627034,Coral,NA,100,0.016564638,0.046277666,-0.324810947,0.999893725,IGH,0,,0.0001
54,coral_mix_0.00033_err_rate_1_20.corrected.fastq,coral,20,4,158742,7539,7,806,62,2,167160,478,34616443,8716,11,3039,73,4,0,34628764,Coral,NA,100,0.051990429,0.133147632,-0.28649119,0.999658001,IGH,1.16E-07,0,0.00033
55,coral_mix_0.00033_err_rate_1_22.corrected.fastq,coral,22,5,158742,7469,10,872,62,1,167160,532,34616044,8660,14,3450,72,2,0,34628774,Coral,NA,100,0.057876414,0.131228416,-0.325282855,0.99964775,IGH,5.78E-08,0,0.00033
56,coral_mix_0.00033_err_rate_1_24.corrected.fastq,coral,24,4,158742,7472,9,868,65,2,167160,542,34615982,8649,13,3502,75,3,0,34628766,Coral,NA,100,0.058970732,0.131585336,-0.33021434,0.999646479,IGH,8.66E-08,0,0.00033
57,coral_mix_0.00033_err_rate_1_26.corrected.fastq,coral,26,5,158742,7405,9,931,68,3,167160,549,34615734,8642,16,3747,78,4,0,34628770,Coral,NA,100,0.059732347,0.125514403,-0.356435644,0.999639404,IGH,1.16E-07,0,0.00033
58,coral_mix_0.00033_err_rate_1_28.corrected.fastq,coral,28,8,158742,7350,10,1002,48,3,167160,560,34615632,8629,17,3866,58,4,0,34628766,Coral,NA,100,0.060942431,0.124888492,-0.36608989,0.999636891,IGH,1.16E-07,0,0.00033
59,coral_mix_0.00033_err_rate_1_30.corrected.fastq,coral,30,7,158742,7299,10,1032,70,1,167160,567,34615370,8622,16,4117,81,2,0,34628775,Coral,NA,100,0.061704212,0.118992655,-0.395146371,0.999629268,IGH,5.78E-08,0,0.00033
60,coral_mix_0.001_err_rate_1_20.corrected.fastq,coral,20,27,144910,19120,54,2872,177,7,167160,3387,34595126,24460,78,10665,194,7,0,34633917,Coral,NA,100,0.121628901,0.237750948,-0.268323338,0.998977765,IGH,2.02E-07,0,0.001
61,coral_mix_0.001_err_rate_1_22.corrected.fastq,coral,22,30,144910,18895,48,3103,174,15,167160,3464,34594226,24381,73,11574,194,15,0,34633927,Coral,NA,100,0.124402945,0.227415966,-0.298222302,0.998953714,IGH,4.33E-07,0,0.001
62,coral_mix_0.001_err_rate_1_24.corrected.fastq,coral,24,28,144910,18829,47,3157,189,5,167160,3626,34593778,24217,75,12040,209,5,0,34633950,Coral,NA,100,0.130230219,0.228409449,-0.309700822,0.998944793,IGH,1.44E-07,0,0.001
63,coral_mix_0.001_err_rate_1_26.corrected.fastq,coral,26,19,144910,18709,50,3258,214,2,167160,3694,34592982,24145,80,12821,247,3,0,34633972,Coral,NA,100,0.132691548,0.22037943,-0.336721865,0.998923138,IGH,8.66E-08,0,0.001
64,coral_mix_0.001_err_rate_1_28.corrected.fastq,coral,28,30,144910,18862,44,3114,200,12,167160,3891,34593415,23960,67,12373,230,13,0,34633949,Coral,NA,100,0.13970773,0.235903965,-0.31280744,0.998941992,IGH,3.75E-07,0,0.001
65,coral_mix_0.001_err_rate_1_30.corrected.fastq,coral,30,36,144910,18524,41,3444,205,4,167160,4006,34592401,23839,72,13371,243,6,0,34633938,Coral,NA,100,0.14386784,0.227355278,-0.345052972,0.998916352,IGH,1.73E-07,0,0.001
66,coral_mix_0.0033_err_rate_1_20.corrected.fastq,coral,20,131,113974,43734,212,8508,601,19,167160,14549,34527119,77387,440,30792,718,21,2,34651028,Coral,NA,100,0.158251392,0.315877462,-0.184487034,0.996844018,IGH,6.64E-07,0.095238095,0.0033
67,coral_mix_0.0033_err_rate_1_22.corrected.fastq,coral,22,141,113974,43131,333,9053,528,18,167160,15174,34525188,76614,588,32788,653,20,1,34651026,Coral,NA,100,0.165315728,0.312125887,-0.199012943,0.996806357,IGH,6.06E-07,0.05,0.0033
68,coral_mix_0.0033_err_rate_1_24.corrected.fastq,coral,24,154,113974,42995,298,9047,692,16,167160,15943,34524791,75871,579,33043,848,21,0,34651096,Coral,NA,100,0.173644542,0.319922142,-0.19548217,0.99681505,IGH,6.06E-07,0,0.0033
69,coral_mix_0.0033_err_rate_1_26.corrected.fastq,coral,26,163,113974,42969,323,9104,627,21,167160,16762,34524022,75030,606,33884,784,19,4,34651111,Coral,NA,100,0.182608506,0.325918724,-0.195071466,0.996816177,IGH,6.64E-07,0.210526316,0.0033
70,coral_mix_0.0033_err_rate_1_28.corrected.fastq,coral,28,147,113974,42284,335,9751,669,23,167160,18586,34521574,73239,592,36297,864,27,1,34651180,Coral,NA,100,0.202406752,0.333399107,-0.202286959,0.996796097,IGH,8.08E-07,0.037037037,0.0033
71,coral_mix_0.0033_err_rate_1_30.corrected.fastq,coral,30,153,113974,42141,345,9803,744,28,167160,19035,34521019,72830,589,36725,955,30,3,34651186,Coral,NA,100,0.207206227,0.335625496,-0.202960866,0.996792923,IGH,9.52E-07,0.1,0.0033
72,coral_mix_1e-05_err_rate_1_20.corrected.fastq,coral,20,0,166899,258,0,3,0,0,167160,0,34626074,261,0,16,0,0,0,34626351,Coral,NA,100,0,0,-0.061302682,0.999992,IGH,0,,1.00E-05
73,coral_mix_1e-05_err_rate_1_22.corrected.fastq,coral,22,0,166899,257,0,4,0,0,167160,0,34626073,261,0,17,0,0,0,34626351,Coral,NA,100,0,0,-0.0651341,0.999991971,IGH,0,,1.00E-05
74,coral_mix_1e-05_err_rate_1_24.corrected.fastq,coral,24,0,166899,257,0,4,0,0,167160,0,34626073,261,0,17,0,0,0,34626351,Coral,NA,100,0,0,-0.0651341,0.999991971,IGH,0,,1.00E-05
75,coral_mix_1e-05_err_rate_1_26.corrected.fastq,coral,26,0,166899,257,0,4,0,0,167160,0,34626073,261,0,17,0,0,0,34626351,Coral,NA,100,0,0,-0.0651341,0.999991971,IGH,0,,1.00E-05
76,coral_mix_1e-05_err_rate_1_28.corrected.fastq,coral,28,0,166899,257,0,4,0,0,167160,0,34626073,261,0,17,0,0,0,34626351,Coral,NA,100,0,0,-0.0651341,0.999991971,IGH,0,,1.00E-05
77,coral_mix_1e-05_err_rate_1_30.corrected.fastq,coral,30,0,166899,257,0,4,0,0,167160,0,34626073,261,0,17,0,0,0,34626351,Coral,NA,100,0,0,-0.0651341,0.999991971,IGH,0,,1.00E-05
78,coral_mix_1e-06_err_rate_1_20.corrected.fastq,coral,20,0,167134,26,0,0,0,0,167160,0,34626265,26,0,0,0,0,0,34626291,Coral,NA,100,0,,0,0.999999249,IGH,0,,1.00E-06
79,coral_mix_1e-06_err_rate_1_22.corrected.fastq,coral,22,0,167134,26,0,0,0,0,167160,0,34626265,26,0,0,0,0,0,34626291,Coral,NA,100,0,,0,0.999999249,IGH,0,,1.00E-06
80,coral_mix_1e-06_err_rate_1_24.corrected.fastq,coral,24,0,167134,26,0,0,0,0,167160,0,34626265,26,0,0,0,0,0,34626291,Coral,NA,100,0,,0,0.999999249,IGH,0,,1.00E-06
81,coral_mix_1e-06_err_rate_1_26.corrected.fastq,coral,26,0,167134,26,0,0,0,0,167160,0,34626265,26,0,0,0,0,0,34626291,Coral,NA,100,0,,0,0.999999249,IGH,0,,1.00E-06
82,coral_mix_1e-06_err_rate_1_28.corrected.fastq,coral,28,0,167134,26,0,0,0,0,167160,0,34626265,26,0,0,0,0,0,34626291,Coral,NA,100,0,,0,0.999999249,IGH,0,,1.00E-06
83,coral_mix_1e-06_err_rate_1_30.corrected.fastq,coral,30,0,167134,26,0,0,0,0,167160,0,34626265,26,0,0,0,0,0,34626291,Coral,NA,100,0,,0,0.999999249,IGH,0,,1.00E-06
84,coral_mix_3.3e-05_err_rate_1_20.corrected.fastq,coral,20,0,166285,848,0,27,0,0,167160,1,34625529,880,0,96,0,0,0,34626506,Coral,NA,100,0.001135074,0.010309278,-0.107832009,0.999971814,IGH,0,,3.30E-05
85,coral_mix_3.3e-05_err_rate_1_22.corrected.fastq,coral,22,0,166285,843,0,32,0,0,167160,1,34625524,880,0,101,0,0,0,34626506,Coral,NA,100,0.001135074,0.009803922,-0.113507378,0.999971669,IGH,0,,3.30E-05
86,coral_mix_3.3e-05_err_rate_1_24.corrected.fastq,coral,24,0,166285,842,0,33,0,0,167160,1,34625516,880,0,109,0,0,0,34626506,Coral,NA,100,0.001135074,0.009090909,-0.122587968,0.999971438,IGH,0,,3.30E-05
87,coral_mix_3.3e-05_err_rate_1_26.corrected.fastq,coral,26,0,166285,836,0,39,0,0,167160,1,34625485,880,0,140,0,0,0,34626506,Coral,NA,100,0.001135074,0.007092199,-0.157775255,0.999970543,IGH,0,,3.30E-05
88,coral_mix_3.3e-05_err_rate_1_28.corrected.fastq,coral,28,0,166285,833,0,41,1,0,167160,1,34625471,880,0,152,2,0,0,34626506,Coral,NA,100,0.001135074,0.006451613,-0.173666288,0.999970138,IGH,0,,3.30E-05
89,coral_mix_3.3e-05_err_rate_1_30.corrected.fastq,coral,30,0,166285,829,0,46,0,1,167160,2,34625453,879,0,171,0,1,0,34626506,Coral,NA,100,0.002270148,0.011560694,-0.191827469,0.999969648,IGH,2.89E-08,0,3.30E-05
90,coral_mix_3.3e-06_err_rate_1_20.corrected.fastq,coral,20,0,167060,100,0,0,0,0,167160,0,34626204,100,0,0,0,0,0,34626304,Coral,NA,100,0,,0,0.999997112,IGH,0,,3.30E-06
91,coral_mix_3.3e-06_err_rate_1_22.corrected.fastq,coral,22,0,167060,100,0,0,0,0,167160,0,34626204,100,0,0,0,0,0,34626304,Coral,NA,100,0,,0,0.999997112,IGH,0,,3.30E-06
92,coral_mix_3.3e-06_err_rate_1_24.corrected.fastq,coral,24,0,167060,100,0,0,0,0,167160,0,34626204,100,0,0,0,0,0,34626304,Coral,NA,100,0,,0,0.999997112,IGH,0,,3.30E-06
93,coral_mix_3.3e-06_err_rate_1_26.corrected.fastq,coral,26,0,167060,100,0,0,0,0,167160,0,34626204,100,0,0,0,0,0,34626304,Coral,NA,100,0,,0,0.999997112,IGH,0,,3.30E-06
94,coral_mix_3.3e-06_err_rate_1_28.corrected.fastq,coral,28,0,167060,99,0,1,0,0,167160,0,34626202,100,0,2,0,0,0,34626304,Coral,NA,100,0,0,-0.02,0.999997054,IGH,0,,3.30E-06
95,coral_mix_3.3e-06_err_rate_1_30.corrected.fastq,coral,30,0,167060,99,0,1,0,0,167160,0,34626202,100,0,2,0,0,0,34626304,Coral,NA,100,0,0,-0.02,0.999997054,IGH,0,,3.30E-06
96,fiona_mix_0.0001_err_rate_1_9181.corrected.fastq,fiona,9181,1181,164453,1106,32,373,15,1,167160,1277,34623629,1462,41,600,24,1,0,34627034,Fiona,NA,100,0.466228551,0.67175171,0.238408178,0.999938545,IGH,2.89E-08,0,0.0001
97,fiona_mix_0.001_err_rate_1_9181.corrected.fastq,fiona,9181,5752,144906,14741,109,1580,72,3,167160,9029,34603555,18734,152,2274,140,2,1,34633887,Fiona,NA,100,0.325217015,0.789041335,0.238266758,0.999384938,IGH,8.66E-08,0.5,0.001
98,lighter_mix_0.0001_err_rate_1_20.corrected.fastq,lighter,20,834,146829,1212,21,18255,9,2,167160,1036,34571855,1723,88,52312,9,1,1,34627025,Lighter,NA,100,0.375498369,0.019416384,-18.58825661,0.998436683,IGH,5.78E-08,1,0.0001
99,lighter_mix_0.0001_err_rate_1_22.corrected.fastq,lighter,22,895,146959,1311,34,17943,18,2,167160,1105,34569208,1705,54,54941,18,1,1,34627033,Lighter,NA,100,0.393238434,0.019709618,-19.16512456,0.998362002,IGH,5.78E-08,1,0.0001
100,lighter_mix_0.0001_err_rate_1_24.corrected.fastq,lighter,24,915,149009,1278,63,15882,13,2,167160,1132,34585002,1623,105,39149,14,1,1,34627027,Lighter,NA,100,0.410889292,0.028092815,-13.80435572,0.998819073,IGH,5.78E-08,1,0.0001
101,lighter_mix_0.0001_err_rate_1_26.corrected.fastq,lighter,26,930,149444,1153,24,15600,9,1,167160,1176,34571381,1523,195,52737,11,0,1,34627024,Lighter,NA,100,0.435716932,0.021808471,-19.10781771,0.998427067,IGH,2.89E-08,inf,0.0001
102,lighter_mix_0.0001_err_rate_1_28.corrected.fastq,lighter,28,1063,158596,1128,29,6329,15,2,167160,1201,34592894,1528,120,31265,16,1,1,34627026,Lighter,NA,100,0.440087944,0.036974324,-11.02235251,0.999049009,IGH,5.78E-08,1,0.0001
103,lighter_mix_0.0001_err_rate_1_30.corrected.fastq,lighter,30,1067,159058,1156,125,5745,9,1,167160,1283,34606920,1440,191,17181,9,0,1,34627025,Lighter,NA,100,0.471171502,0.069452715,-5.841718693,0.999456465,IGH,2.89E-08,inf,0.0001
104,lighter_mix_0.00033_err_rate_1_20.corrected.fastq,lighter,20,2424,140461,4243,135,19860,37,4,167160,3309,34569262,5893,229,50001,40,3,1,34628738,Lighter,NA,100,0.35959574,0.062024367,-5.078461204,0.998378052,IGH,1.16E-07,0.333333333,0.00033
105,lighter_mix_0.00033_err_rate_1_22.corrected.fastq,lighter,22,2813,148045,3776,130,12360,36,3,167160,3620,34576131,5267,638,43036,39,2,1,34628734,Lighter,NA,100,0.407336559,0.07752436,-4.439630922,0.99858551,IGH,8.66E-08,0.5,0.00033
