,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitivity,Base Precision,Base Gain,Base Accuracy,Dataset,Trim Percent,Trim Effeciency,Complexity
20,bless_wgsim_rl_100_cov_32.1_26.corrected.fastq,bless,26,25591,41649,526,0,149,8,815,67923,32422,6731158,725,4,455,41,26719,781,6792305,Bless,32,100L,0.978127734,0.984932256,0.963164087,0.99588546,IGH,0.004048699,0.029230136,low
21,bless_wgsim_rl_100_cov_32.1_26.corrected.fastq,bless,26,2102957,3341823,29469,58,8244,578,39051,5483129,2666141,544287429,40115,278,23047,3672,1260648,32678,548314008,Bless,32,100L,0.985176938,0.990077835,0.975303888,0.997578324,IGH,0.002358732,0.02592159,normal
22,bless_wgsim_rl_100_cov_32.1_30.corrected.fastq,bless,30,25977,41503,287,2,144,10,592,67923,32916,6738506,452,6,459,74,19337,558,6792308,Bless,32,100L,0.986454088,0.984065293,0.9704807,0.997006957,IGH,0.002929049,0.028856596,low
23,bless_wgsim_rl_100_cov_32.1_30.corrected.fastq,bless,30,2114460,3339908,19764,77,8370,550,34272,5483129,2680686,544451410,28803,293,22548,3132,1097724,29430,548314026,Bless,32,100L,0.989369582,0.990511261,0.97989178,0.997897989,IGH,0.002055672,0.026810018,normal
24,coral_wgsim_rl_100_cov_16.1_20.corrected.fastq,coral,20,11320,19617,1216,8,1020,483,10,33664,15072,3347852,1530,17,1808,684,14,0,3366977,Coral,16,100L,0.907842429,0.85811888,0.757740031,0.99879625,IGH,4.16E-06,0,low
25,coral_wgsim_rl_100_cov_16.1_20.corrected.fastq,coral,20,992531,1599646,42007,267,81420,27731,339,2743602,1317763,272863943,53649,567,121661,34676,322,47,274392628,Coral,16,100L,0.960880465,0.893944101,0.846883358,0.999231484,IGH,1.34E-06,0.145962733,normal
26,coral_wgsim_rl_100_cov_16.1_26.corrected.fastq,coral,26,12087,19502,364,7,1148,556,10,33664,16113,3347593,490,16,2098,812,11,0,3367133,Coral,16,100L,0.970487261,0.847027283,0.795217732,0.99898222,IGH,3.27E-06,0,low
27,coral_wgsim_rl_100_cov_16.1_26.corrected.fastq,coral,26,1011646,1596475,19936,276,86300,28969,345,2743602,1345064,272853574,26302,601,131701,36975,326,60,274394603,Coral,16,100L,0.980820583,0.888570032,0.857822055,0.999286046,IGH,1.41E-06,0.18404908,normal
28,coral_wgsim_rl_100_cov_16.1_30.corrected.fastq,coral,30,12228,19471,209,5,1210,541,10,33664,16290,3347480,316,12,2129,906,10,1,3367144,Coral,16,100L,0.980970733,0.842949547,0.798205468,0.998998261,IGH,3.27E-06,0.1,low
29,coral_wgsim_rl_100_cov_16.1_30.corrected.fastq,coral,30,1019175,1597097,12880,276,85302,28872,332,2743602,1352559,272856544,18831,580,128994,36473,330,56,274394367,Coral,16,100L,0.986268676,0.890998573,0.865612262,0.99932503,IGH,1.41E-06,0.16969697,normal
30,coral_wgsim_rl_100_cov_32.1_20.corrected.fastq,coral,20,23125,39118,2159,5,2155,1325,26,67887,31123,6750849,2771,20,3789,1949,46,1,6790548,Coral,32,100L,0.918245117,0.84433412,0.748952617,0.998737215,IGH,6.92E-06,0.02173913,low
31,coral_wgsim_rl_100_cov_32.1_20.corrected.fastq,coral,20,1976003,3180050,77870,595,168451,77108,966,5480077,2636376,545013624,99960,1239,250743,97094,961,107,548100104,Coral,32,100L,0.963469398,0.883440961,0.836351603,0.999178987,IGH,1.95E-06,0.111342352,normal
32,coral_wgsim_rl_100_cov_32.1_26.corrected.fastq,coral,26,24509,38862,612,6,2569,1365,27,67923,33074,6753427,837,20,4814,2119,42,1,6794334,Coral,32,100L,0.975317744,0.826705327,0.770870809,0.998847275,IGH,6.33E-06,0.023809524,low
33,coral_wgsim_rl_100_cov_32.1_26.corrected.fastq,coral,26,2015383,3174043,33932,591,178763,80417,935,5483129,2692300,545296148,45543,1272,272011,102778,975,98,548411125,Coral,32,100L,0.983365372,0.877803024,0.8464733,0.999229448,IGH,1.96E-06,0.100512821,normal
34,coral_wgsim_rl_100_cov_32.1_30.corrected.fastq,coral,30,24780,38881,369,4,2486,1403,39,67923,33336,6753825,574,18,4347,2108,48,4,6794260,Coral,32,100L,0.98307284,0.837777387,0.792716013,0.998955736,IGH,7.65E-06,0.083333333,low
35,coral_wgsim_rl_100_cov_32.1_30.corrected.fastq,coral,30,2027426,3173177,20872,592,179165,81897,893,5483129,2705846,545298097,31992,1282,270449,105829,926,96,548414517,Coral,32,100L,0.988314867,0.877916009,0.850878686,0.999251519,IGH,1.86E-06,0.103671706,normal
