,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitivity,Base Precision,Base Gain,Base Accuracy,Trim Percent,Trim Efficiency
0,bfc_hiv_20_1.corrected.fastq,run.bfc.sh,20,117069,2134460,76932,2151,151662,52,3036,2482326,235632,217700421,402574,2796,154658,53,8,15170,218511312,Bfc,NA,100,0.369209942,0.60365371,0.126794483,0.997436618,6.95E-05,1896.25
1,bfc_hiv_22_1.corrected.fastq,run.bfc.sh,22,118362,2134573,75435,2033,151867,56,3028,2482326,239501,217699437,398711,2716,155654,58,10,15239,218511326,Bfc,NA,100,0.375268719,0.606004863,0.131287096,0.997450073,6.98E-05,1523.9
2,bfc_hiv_24_1.corrected.fastq,run.bfc.sh,24,119644,2150912,75408,1899,134409,54,2745,2482326,240395,217718942,397792,2501,136747,56,12,14845,218511290,Bfc,NA,100,0.376684263,0.637317801,0.162322329,0.9975418,6.80E-05,1237.083333
3,bfc_hiv_26_1.corrected.fastq,run.bfc.sh,26,120521,2149334,74511,1717,136181,62,3023,2482326,242160,217716051,396396,2373,139052,64,12,15220,218511328,Bfc,NA,100,0.379230639,0.635130457,0.161370342,0.997538185,6.97E-05,1268.333333
4,bfc_hiv_28_1.corrected.fastq,run.bfc.sh,28,121539,2150870,73732,1569,134552,64,2745,2482326,241224,217718204,397161,2201,137465,66,10,14911,218511242,Bfc,NA,100,0.377866021,0.636886642,0.162430195,0.997542737,6.83E-05,1491.1
5,bfc_hiv_30_1.corrected.fastq,run.bfc.sh,30,120400,2091135,72702,1478,196553,58,3027,2482326,239385,217655317,399428,2100,199799,60,11,15178,218511278,Bfc,NA,100,0.374734077,0.544993216,0.061874132,0.997247557,6.95E-05,1379.818182
6,bless_hiv_20_1.corrected.fastq,run.bless.sh,20,105106,2286601,84576,595,4765,683,46487,2482326,197115,216934586,332832,2901,13692,4610,898987,126653,218511376,Bless,NA,100,0.37195229,0.915039203,0.337416761,0.994262318,0.00469376,0.140884128
7,bless_hiv_22_1.corrected.fastq,run.bless.sh,22,93025,2288210,96367,525,3621,578,51259,2482326,172275,216804354,349958,2548,10817,3576,1033188,134632,218511348,Bless,NA,100,0.32988149,0.922895194,0.302320995,0.993588662,0.005344436,0.130307359
8,bless_hiv_24_1.corrected.fastq,run.bless.sh,24,98597,2287696,90797,533,4029,674,50743,2482326,179428,216826951,344163,2453,12814,4136,1008229,133375,218511549,Bless,NA,100,0.342687327,0.913686869,0.31031473,0.99371826,0.005224456,0.132286415
9,bless_hiv_26_1.corrected.fastq,run.bless.sh,26,103751,2287222,85747,568,4346,692,49699,2482326,185772,216863764,339177,2402,14025,4124,970458,132066,218511788,Bless,NA,100,0.353885806,0.910999848,0.319312924,0.993908839,0.005045604,0.13608626
