,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitivity,Base Precision,Base Gain,Base Accuracy,Dataset,Trim Percent,Trim Effeciency,Sample
1,bfc_SRR1543964_raw_20.corrected.fastq.gz,run.bfc.sh,20,2355,39832,4238,131,144,0,0,46700,5170,11100931,8205,140,155,0,0,0,11114601,Bfc,NA,100,0.386542056,0.970892019,0.374953271,0.99923524,RSR,0,,SRR1543964
6,bfc_SRR1543965_raw_20.corrected.fastq.gz,run.bfc.sh,20,2465,39991,4021,149,74,0,0,46700,5115,11102813,6433,153,86,0,0,0,11114600,Bfc,NA,100,0.442933841,0.983464718,0.435486664,0.999399708,RSR,0,,SRR1543965
11,bfc_SRR1543966_raw_20.corrected.fastq.gz,run.bfc.sh,20,2069,41379,2796,85,371,0,0,46700,4009,11105671,4444,88,388,0,0,0,11114600,Bfc,NA,100,0.47426949,0.911758017,0.428368627,0.999557339,RSR,0,,SRR1543966
16,bfc_SRR1543967_raw_20.corrected.fastq.gz,run.bfc.sh,20,2114,40991,2611,96,888,0,0,46700,4223,11105220,4136,105,916,0,0,0,11114600,Bfc,NA,100,0.505203972,0.821755205,0.395621486,0.999536016,RSR,0,,SRR1543967
21,bfc_SRR1543968_raw_20.corrected.fastq.gz,run.bfc.sh,20,2360,41321,2868,90,61,0,0,46700,4795,11104715,4923,95,72,0,0,0,11114600,Bfc,NA,100,0.493414283,0.985206493,0.486005351,0.999542044,RSR,0,,SRR1543968
26,bfc_SRR1543969_raw_20.corrected.fastq.gz,run.bfc.sh,20,2788,40107,3471,117,217,0,0,46700,6280,11101054,6912,128,226,0,0,0,11114600,Bfc,NA,100,0.476046089,0.965262834,0.458914494,0.999346265,RSR,0,,SRR1543969
31,bfc_SRR1543970_raw_20.corrected.fastq.gz,run.bfc.sh,20,2421,52881,3871,172,127,0,0,59472,5008,14142498,6483,181,171,0,0,0,14154341,Bfc,NA,100,0.435819337,0.966982043,0.420938125,0.999517109,RSR,0,,SRR1543970
36,bfc_SRR1543971_raw_20.corrected.fastq.gz,run.bfc.sh,20,2698,41786,2151,29,36,0,0,46700,4839,11106336,3348,32,46,0,0,0,11114601,Bfc,NA,100,0.591058996,0.990583419,0.585440332,0.999691757,RSR,0,,SRR1543971
2,bfc_SRR1543964_raw_22.corrected.fastq.gz,run.bfc.sh,22,2552,39833,4016,142,157,0,0,46700,5451,11100920,7921,143,166,0,0,0,11114601,Bfc,NA,100,0.407642836,0.970446858,0.395228836,0.999259533,RSR,0,,SRR1543964
7,bfc_SRR1543965_raw_22.corrected.fastq.gz,run.bfc.sh,22,2535,39991,3978,127,69,0,0,46700,5141,11102813,6430,130,86,0,0,0,11114600,Bfc,NA,100,0.444300406,0.983546968,0.436868032,0.999402048,RSR,0,,SRR1543965
12,bfc_SRR1543966_raw_22.corrected.fastq.gz,run.bfc.sh,22,2267,41379,2605,78,371,0,0,46700,4286,11105678,4174,81,381,0,0,0,11114600,Bfc,NA,100,0.506619385,0.918362974,0.461583924,0.999582891,RSR,0,,SRR1543966
17,bfc_SRR1543967_raw_22.corrected.fastq.gz,run.bfc.sh,22,2251,40991,2483,91,884,0,0,46700,4335,11105220,4032,97,916,0,0,0,11114600,Bfc,NA,100,0.518106848,0.825557037,0.408629138,0.999546093,RSR,0,,SRR1543967
22,bfc_SRR1543968_raw_22.corrected.fastq.gz,run.bfc.sh,22,2397,41321,2849,83,50,0,0,46700,4879,11104728,4849,85,59,0,0,0,11114600,Bfc,NA,100,0.501541941,0.988051843,0.495476974,0.999550771,RSR,0,,SRR1543968
