,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitivity,Base Precision,Base Gain,Base Accuracy,Dataset,Trim Percent,Trim Effeciency,Sample
27,bfc_SRR1543969_raw_22.corrected.fastq.gz,run.bfc.sh,22,2958,40107,3315,107,213,0,0,46700,6460,11101054,6748,112,226,0,0,0,11114600,Bfc,NA,100,0.489097517,0.966198026,0.471986675,0.99936246,RSR,0,,SRR1543969
32,bfc_SRR1543970_raw_22.corrected.fastq.gz,run.bfc.sh,22,2634,52881,3669,171,117,0,0,59472,5252,14142507,6232,188,162,0,0,0,14154341,Bfc,NA,100,0.45733194,0.970077577,0.443225357,0.999534984,RSR,0,,SRR1543970
37,bfc_SRR1543971_raw_22.corrected.fastq.gz,run.bfc.sh,22,2867,41786,1990,21,36,0,0,46700,5001,11106330,3195,23,52,0,0,0,11114601,Bfc,NA,100,0.610175695,0.989709084,0.603831137,0.999705792,RSR,0,,SRR1543971
3,bfc_SRR1543964_raw_24.corrected.fastq.gz,run.bfc.sh,24,2540,39833,4038,129,160,0,0,46700,5476,11100915,7905,134,171,0,0,0,11114601,Bfc,NA,100,0.409236978,0.969718435,0.396457664,0.999261332,RSR,0,,SRR1543964
8,bfc_SRR1543965_raw_24.corrected.fastq.gz,run.bfc.sh,24,2595,39991,3910,133,71,0,0,46700,5232,11102814,6332,137,85,0,0,0,11114600,Bfc,NA,100,0.452438603,0.984013541,0.445088205,0.999410325,RSR,0,,SRR1543965
13,bfc_SRR1543966_raw_24.corrected.fastq.gz,run.bfc.sh,24,2331,41379,2531,86,373,0,0,46700,4328,11105674,4124,89,385,0,0,0,11114600,Bfc,NA,100,0.51206815,0.918311055,0.466516801,0.99958631,RSR,0,,SRR1543966
18,bfc_SRR1543967_raw_24.corrected.fastq.gz,run.bfc.sh,24,2317,41234,2435,82,632,0,0,46700,4387,11105483,3990,87,653,0,0,0,11114600,Bfc,NA,100,0.523695834,0.870436508,0.4457443,0.999574434,RSR,0,,SRR1543967
23,bfc_SRR1543968_raw_24.corrected.fastq.gz,run.bfc.sh,24,2459,41320,2777,72,72,0,0,46700,4909,11104697,4830,74,90,0,0,0,11114600,Bfc,NA,100,0.504055858,0.981996399,0.494814663,0.999550681,RSR,0,,SRR1543968
28,bfc_SRR1543969_raw_24.corrected.fastq.gz,run.bfc.sh,24,3014,40107,3232,100,247,0,0,46700,6502,11101010,6711,107,270,0,0,0,11114600,Bfc,NA,100,0.492091122,0.960129947,0.471656702,0.99936228,RSR,0,,SRR1543969
33,bfc_SRR1543970_raw_24.corrected.fastq.gz,run.bfc.sh,24,2616,52881,3722,142,111,0,0,59472,5229,14142506,6293,150,163,0,0,0,14154341,Bfc,NA,100,0.453827461,0.96977003,0.439680611,0.999533288,RSR,0,,SRR1543970
38,bfc_SRR1543971_raw_24.corrected.fastq.gz,run.bfc.sh,24,2859,41786,1997,20,38,0,0,46700,5050,11106337,3148,21,45,0,0,0,11114601,Bfc,NA,100,0.616003903,0.991167812,0.61051476,0.999710831,RSR,0,,SRR1543971
4,bfc_SRR1543964_raw_26.corrected.fastq.gz,run.bfc.sh,26,2553,39833,4005,134,175,0,0,46700,5512,11100903,7866,137,183,0,0,0,11114601,Bfc,NA,100,0.412019734,0.96786655,0.398340559,0.999263491,RSR,0,,SRR1543964
9,bfc_SRR1543965_raw_26.corrected.fastq.gz,run.bfc.sh,26,2671,39991,3876,100,62,0,0,46700,5325,11102825,6270,106,74,0,0,0,11114600,Bfc,NA,100,0.459249677,0.986293758,0.452867615,0.999419682,RSR,0,,SRR1543965
14,bfc_SRR1543966_raw_26.corrected.fastq.gz,run.bfc.sh,26,2299,41379,2564,91,367,0,0,46700,4386,11105681,4062,93,378,0,0,0,11114600,Bfc,NA,100,0.519176136,0.920654912,0.474431818,0.999592158,RSR,0,,SRR1543966
19,bfc_SRR1543967_raw_26.corrected.fastq.gz,run.bfc.sh,26,2342,41233,2420,78,627,0,0,46700,4476,11105492,3904,84,644,0,0,0,11114600,Bfc,NA,100,0.534128878,0.87421875,0.457279236,0.999583251,RSR,0,,SRR1543967
24,bfc_SRR1543968_raw_26.corrected.fastq.gz,run.bfc.sh,26,2465,41320,2774,74,67,0,0,46700,4958,11104706,4778,77,81,0,0,0,11114600,Bfc,NA,100,0.509244043,0.983925382,0.500924404,0.999555899,RSR,0,,SRR1543968
29,bfc_SRR1543969_raw_26.corrected.fastq.gz,run.bfc.sh,26,3005,40108,3276,89,222,0,0,46700,6585,11101041,6637,98,239,0,0,0,11114600,Bfc,NA,100,0.49803358,0.964976553,0.479957646,0.999372537,RSR,0,,SRR1543969
34,bfc_SRR1543970_raw_26.corrected.fastq.gz,run.bfc.sh,26,2648,52881,3677,145,121,0,0,59472,5285,14142489,6236,151,180,0,0,0,14154341,Bfc,NA,100,0.458727541,0.967063129,0.443103897,0.999536043,RSR,0,,SRR1543970
39,bfc_SRR1543971_raw_26.corrected.fastq.gz,run.bfc.sh,26,2826,41786,2021,21,46,0,0,46700,5034,11106325,3163,22,57,0,0,0,11114601,Bfc,NA,100,0.61412712,0.988803771,0.607173356,0.999708312,RSR,0,,SRR1543971
5,bfc_SRR1543964_raw_28.corrected.fastq.gz,run.bfc.sh,28,2633,39813,3909,140,205,0,0,46700,5628,11100876,7741,146,210,0,0,0,11114601,Bfc,NA,100,0.420973895,0.964028777,0.405265914,0.999271499,RSR,0,,SRR1543964
10,bfc_SRR1543965_raw_28.corrected.fastq.gz,run.bfc.sh,28,2745,39954,3754,116,131,0,0,46700,5454,11102747,6127,120,152,0,0,0,11114600,Bfc,NA,100,0.470943787,0.972886193,0.457818841,0.999424271,RSR,0,,SRR1543965
15,bfc_SRR1543966_raw_28.corrected.fastq.gz,run.bfc.sh,28,2401,41335,2437,78,449,0,0,46700,4499,11105599,3961,81,460,0,0,0,11114600,Bfc,NA,100,0.53179669,0.907239363,0.477423168,0.999594947,RSR,0,,SRR1543966
20,bfc_SRR1543967_raw_28.corrected.fastq.gz,run.bfc.sh,28,2401,41170,2307,74,748,0,0,46700,4603,11105368,3782,79,768,0,0,0,11114600,Bfc,NA,100,0.54895647,0.857009868,0.457364341,0.999583521,RSR,0,,SRR1543967
25,bfc_SRR1543968_raw_28.corrected.fastq.gz,run.bfc.sh,28,2542,41273,2672,73,140,0,0,46700,5030,11104630,4706,77,157,0,0,0,11114600,Bfc,NA,100,0.516639277,0.969732022,0.500513558,0.99955554,RSR,0,,SRR1543968
30,bfc_SRR1543969_raw_28.corrected.fastq.gz,run.bfc.sh,28,3097,40080,3143,99,281,0,0,46700,6720,11100989,6490,110,291,0,0,0,11114600,Bfc,NA,100,0.508705526,0.958493795,0.48667676,0.999380005,RSR,0,,SRR1543969
35,bfc_SRR1543970_raw_28.corrected.fastq.gz,run.bfc.sh,28,2758,52735,3513,141,325,0,0,59472,5392,14142302,6130,150,367,0,0,0,14154341,Bfc,NA,100,0.46797431,0.936273659,0.436122201,0.999530391,RSR,0,,SRR1543970
40,bfc_SRR1543971_raw_28.corrected.fastq.gz,run.bfc.sh,28,2940,41746,1897,18,99,0,0,46700,5207,11106275,2992,20,107,0,0,0,11114601,Bfc,NA,100,0.635077448,0.979864509,0.622027076,0.999719378,RSR,0,,SRR1543971
41,fiona_SRR1543964_raw_405000.corrected.fastq.gz,run.fiona.sh,0,4391,36708,1490,230,1192,2689,5,46700,10485,11091182,2759,270,7479,5686,7,0,11117868,Fiona,NA,50L,0.791679251,0.443340381,-0.202355784,0.998542796,RSR,6.30E-07,0,SRR1543964
42,fiona_SRR1543965_raw_405000.corrected.fastq.gz,run.fiona.sh,0,4835,37755,1205,158,859,1888,2,46700,9566,11096088,1944,191,5181,4061,2,0,11117033,Fiona,NA,50L,0.831103388,0.508613356,0.028149435,0.998976436,RSR,1.80E-07,0,SRR1543965
43,fiona_SRR1543966_raw_405000.corrected.fastq.gz,run.fiona.sh,0,3930,40381,704,124,537,1024,2,46700,7300,11101471,1090,150,3553,1944,2,0,11115510,Fiona,NA,50L,0.870083433,0.570446198,0.214898689,0.99939373,RSR,1.80E-07,0,SRR1543966
44,fiona_SRR1543967_raw_405000.corrected.fastq.gz,run.fiona.sh,0,3921,39174,543,97,810,2155,1,46700,7336,11098166,1000,127,5785,4198,1,0,11116613,Fiona,NA,50L,0.880038388,0.423581038,-0.317538388,0.999000505,RSR,9.00E-08,0,SRR1543967
45,fiona_SRR1543968_raw_405000.corrected.fastq.gz,run.fiona.sh,0,4170,39543,753,139,685,1410,0,46700,8288,11098783,1368,156,4442,2963,0,0,11116000,Fiona,NA,50L,0.858326429,0.528133563,0.091445733,0.999196743,RSR,0,,SRR1543968
46,fiona_SRR1543969_raw_405000.corrected.fastq.gz,run.fiona.sh,0,4636,37869,1111,200,1215,1669,6,46700,10723,11092989,2350,244,6573,3785,6,0,11116670,Fiona,NA,50L,0.82024019,0.508657085,0.027920141,0.998834363,RSR,5.40E-07,0,SRR1543969
47,fiona_SRR1543970_raw_405000.corrected.fastq.gz,run.fiona.sh,0,5103,50979,920,183,736,1551,8,59472,9659,14135814,1795,212,5170,3676,6,2,14156334,Fiona,NA,50L,0.843286188,0.521967036,0.07097957,0.999232923,RSR,5.65E-07,0.333333333,SRR1543970
48,fiona_SRR1543971_raw_405000.corrected.fastq.gz,run.fiona.sh,0,4100,40281,500,73,599,1147,2,46700,7125,11102134,1006,87,3404,2242,3,0,11116001,Fiona,NA,50L,0.876275981,0.557904628,0.181896446,0.999393487,RSR,2.70E-07,0,SRR1543971
49,lighter_SRR1543964_raw_20.corrected.fastq.gz,run.lighter.sh,20,1850,39825,4836,3,186,0,0,46700,5689,11100789,7819,7,297,0,0,0,11114601,Lighter,NA,100,0.421157832,0.95038423,0.399170862,0.99926916,RSR,0,,SRR1543964
54,lighter_SRR1543965_raw_20.corrected.fastq.gz,run.lighter.sh,20,2978,39955,3607,9,151,0,0,46700,6659,11102606,5023,19,293,0,0,0,11114600,Lighter,NA,100,0.570022256,0.957853855,0.544940935,0.999520001,RSR,0,,SRR1543965
59,lighter_SRR1543966_raw_20.corrected.fastq.gz,run.lighter.sh,20,1853,41329,3071,8,439,0,0,46700,4225,11105536,4307,9,523,0,0,0,11114600,Lighter,NA,100,0.495194562,0.889848357,0.433895921,0.999564627,RSR,0,,SRR1543966
64,lighter_SRR1543967_raw_20.corrected.fastq.gz,run.lighter.sh,20,2012,41231,2828,10,619,0,0,46700,4449,11105446,4005,10,690,0,0,0,11114600,Lighter,NA,100,0.526259759,0.865732633,0.44464159,0.999576683,RSR,0,,SRR1543967
69,lighter_SRR1543968_raw_20.corrected.fastq.gz,run.lighter.sh,20,1976,41283,3301,5,134,1,0,46700,4905,11104498,4899,9,289,1,0,0,11114601,Lighter,NA,100,0.500305998,0.944177093,0.470726234,0.999532327,RSR,0,,SRR1543968
74,lighter_SRR1543969_raw_20.corrected.fastq.gz,run.lighter.sh,20,1522,28059,2858,8,227,0,0,32674,4466,7766985,4649,11,301,0,0,0,7776412,Lighter,NA,100,0.489961602,0.936857562,0.456939111,0.999362045,RSR,0,,SRR1543969
78,lighter_SRR1543970_raw_20.corrected.fastq.gz,run.lighter.sh,20,2188,52881,4270,5,128,0,0,59472,5315,14142378,6350,8,290,0,0,0,14154341,Lighter,NA,100,0.45563652,0.948260482,0.430775825,0.999530321,RSR,0,,SRR1543970
83,lighter_SRR1543971_raw_20.corrected.fastq.gz,run.lighter.sh,20,2716,41689,2133,0,162,0,0,46700,5217,11106183,2997,5,199,0,0,0,11114601,Lighter,NA,100,0.635135135,0.963257016,0.610908206,0.999712,RSR,0,,SRR1543971
50,lighter_SRR1543964_raw_22.corrected.fastq.gz,run.lighter.sh,22,1970,39825,4693,10,202,0,0,46700,5966,11100757,7535,14,329,0,0,0,11114601,Lighter,NA,100,0.441893193,0.947736299,0.417524628,0.999291203,RSR,0,,SRR1543964
55,lighter_SRR1543965_raw_22.corrected.fastq.gz,run.lighter.sh,22,3104,39949,3501,5,141,0,0,46700,6723,11102623,4967,11,276,0,0,0,11114600,Lighter,NA,100,0.575106929,0.960565795,0.551497006,0.999527288,RSR,0,,SRR1543965
60,lighter_SRR1543966_raw_22.corrected.fastq.gz,run.lighter.sh,22,1853,41323,3078,6,440,0,0,46700,4250,11105547,4281,10,512,0,0,0,11114600,Lighter,NA,100,0.498183097,0.89248215,0.438166686,0.999567866,RSR,0,,SRR1543966
65,lighter_SRR1543967_raw_22.corrected.fastq.gz,run.lighter.sh,22,2101,41199,2723,10,667,0,0,46700,4617,11105390,3834,13,746,0,0,0,11114600,Lighter,NA,100,0.546325879,0.860898751,0.458052302,0.99958676,RSR,0,,SRR1543967
70,lighter_SRR1543968_raw_22.corrected.fastq.gz,run.lighter.sh,22,1975,41283,3308,6,128,0,0,46700,4894,11104535,4909,10,252,0,0,0,11114600,Lighter,NA,100,0.499234928,0.951029926,0.473528512,0.999534756,RSR,0,,SRR1543968
75,lighter_SRR1543969_raw_22.corrected.fastq.gz,run.lighter.sh,22,2149,40093,4191,19,248,0,0,46700,6368,11100937,6927,25,343,0,0,0,11114600,Lighter,NA,100,0.478977059,0.948889882,0.453177886,0.999343656,RSR,0,,SRR1543969
79,lighter_SRR1543970_raw_22.corrected.fastq.gz,run.lighter.sh,22,2312,52862,4165,3,130,0,0,59472,5606,14142370,6061,6,298,0,0,0,14154341,Lighter,NA,100,0.480500557,0.949525745,0.45495843,0.999550315,RSR,0,,SRR1543970
84,lighter_SRR1543971_raw_22.corrected.fastq.gz,run.lighter.sh,22,2818,41689,2042,0,151,0,0,46700,5388,11106197,2828,3,185,0,0,0,11114601,Lighter,NA,100,0.655793574,0.966804235,0.633276534,0.999728645,RSR,0,,SRR1543971
51,lighter_SRR1543964_raw_24.corrected.fastq.gz,run.lighter.sh,24,1997,39825,4673,6,199,0,0,46700,5934,11100801,7572,9,285,0,0,0,11114601,Lighter,NA,100,0.439360284,0.954172697,0.418258552,0.999292282,RSR,0,,SRR1543964
56,lighter_SRR1543965_raw_24.corrected.fastq.gz,run.lighter.sh,24,3103,39958,3502,10,127,0,0,46700,6680,11102630,5007,14,269,0,0,0,11114600,Lighter,NA,100,0.571575255,0.961289394,0.548558227,0.999524049,RSR,0,,SRR1543965
61,lighter_SRR1543966_raw_24.corrected.fastq.gz,run.lighter.sh,24,1996,41615,2955,6,128,0,0,46700,4398,11105841,4135,8,218,0,0,0,11114600,Lighter,NA,100,0.515410758,0.952772964,0.489862885,0.999607633,RSR,0,,SRR1543966
66,lighter_SRR1543967_raw_24.corrected.fastq.gz,run.lighter.sh,24,2105,41538,2751,10,296,0,0,46700,4584,11105789,3869,11,347,0,0,0,11114600,Lighter,NA,100,0.542292677,0.929628879,0.501242163,0.999619689,RSR,0,,SRR1543967
71,lighter_SRR1543968_raw_24.corrected.fastq.gz,run.lighter.sh,24,2091,41283,3197,8,121,0,0,46700,5064,11104547,4740,9,240,0,0,0,11114600,Lighter,NA,100,0.516523868,0.954751131,0.492044064,0.999551131,RSR,0,,SRR1543968
76,lighter_SRR1543969_raw_24.corrected.fastq.gz,run.lighter.sh,24,2242,40077,4112,11,258,0,0,46700,6485,11100910,6818,17,370,0,0,0,11114600,Lighter,NA,100,0.487484026,0.946024799,0.459670751,0.999351754,RSR,0,,SRR1543969
80,lighter_SRR1543970_raw_24.corrected.fastq.gz,run.lighter.sh,24,2318,52882,4145,5,122,0,0,59472,5568,14142424,6096,9,244,0,0,0,14154341,Lighter,NA,100,0.477366255,0.958017894,0.456447188,0.999551445,RSR,0,,SRR1543970
85,lighter_SRR1543971_raw_24.corrected.fastq.gz,run.lighter.sh,24,2890,41689,1962,1,158,0,0,46700,5435,11106193,2779,5,189,0,0,0,11114601,Lighter,NA,100,0.661675189,0.966394026,0.638665693,0.999732514,RSR,0,,SRR1543971
52,lighter_SRR1543964_raw_26.corrected.fastq.gz,run.lighter.sh,26,2124,39826,4552,4,194,0,0,46700,6092,11100792,7416,7,294,0,0,0,11114601,Lighter,NA,100,0.450992005,0.953961791,0.429227125,0.999305688,RSR,0,,SRR1543964
57,lighter_SRR1543965_raw_26.corrected.fastq.gz,run.lighter.sh,26,3184,39960,3437,4,115,0,0,46700,6786,11102654,4908,7,245,0,0,0,11114600,Lighter,NA,100,0.580297589,0.965154317,0.559346674,0.999535746,RSR,0,,SRR1543965
62,lighter_SRR1543966_raw_26.corrected.fastq.gz,run.lighter.sh,26,1954,41353,2969,11,413,0,0,46700,4341,11105572,4188,12,487,0,0,0,11114600,Lighter,NA,100,0.508969399,0.899130075,0.45187009,0.999578302,RSR,0,,SRR1543966
67,lighter_SRR1543967_raw_26.corrected.fastq.gz,run.lighter.sh,26,2204,41538,2660,7,291,0,0,46700,4722,11105790,3734,8,346,0,0,0,11114600,Lighter,NA,100,0.558420057,0.931728493,0.517502365,0.999632195,RSR,0,,SRR1543967
72,lighter_SRR1543968_raw_26.corrected.fastq.gz,run.lighter.sh,26,2202,41283,3077,9,129,0,0,46700,5227,11104524,4574,12,263,0,0,0,11114600,Lighter,NA,100,0.533312927,0.952094718,0.506478931,0.999563727,RSR,0,,SRR1543968
81,lighter_SRR1543970_raw_26.corrected.fastq.gz,run.lighter.sh,26,2481,52770,3974,5,242,0,0,59472,5758,14142273,5908,6,396,0,0,0,14154341,Lighter,NA,100,0.493571061,0.935651609,0.459626264,0.9995542,RSR,0,,SRR1543970
86,lighter_SRR1543971_raw_26.corrected.fastq.gz,run.lighter.sh,26,2937,41689,1904,0,170,0,0,46700,5513,11106158,2703,3,224,0,0,0,11114601,Lighter,NA,100,0.67100779,0.960955203,0.643743914,0.999736383,RSR,0,,SRR1543971
53,lighter_SRR1543964_raw_28.corrected.fastq.gz,run.lighter.sh,28,2151,39833,4508,13,195,0,0,46700,6180,11100767,7321,14,319,0,0,0,11114601,Lighter,NA,100,0.457743871,0.950915525,0.434115991,0.999311356,RSR,0,,SRR1543964
58,lighter_SRR1543965_raw_28.corrected.fastq.gz,run.lighter.sh,28,3286,39960,3333,3,118,0,0,46700,6908,11102659,4788,5,240,0,0,0,11114600,Lighter,NA,100,0.590629275,0.966424175,0.570109439,0.999547172,RSR,0,,SRR1543965
63,lighter_SRR1543966_raw_28.corrected.fastq.gz,run.lighter.sh,28,2072,41341,2854,6,426,1,1,46700,4541,11105542,3993,7,516,1,1,0,11114601,Lighter,NA,100,0.532106867,0.897785686,0.471525662,0.999593508,RSR,9.00E-08,0,SRR1543966
68,lighter_SRR1543967_raw_28.corrected.fastq.gz,run.lighter.sh,28,2207,41510,2651,9,323,0,0,46700,4702,11105759,3751,11,377,0,0,0,11114600,Lighter,NA,100,0.556252218,0.92577279,0.511652668,0.999627607,RSR,0,,SRR1543967
73,lighter_SRR1543968_raw_28.corrected.fastq.gz,run.lighter.sh,28,2213,41283,3072,7,125,0,0,46700,5170,11104545,4635,8,242,0,0,0,11114600,Lighter,NA,100,0.527281999,0.955284553,0.502600714,0.999560488,RSR,0,,SRR1543968
77,lighter_SRR1543969_raw_28.corrected.fastq.gz,run.lighter.sh,28,2404,40088,3945,9,254,0,0,46700,6734,11100923,6575,11,357,0,0,0,11114600,Lighter,NA,100,0.505973401,0.949654492,0.479149448,0.999375326,RSR,0,,SRR1543969
82,lighter_SRR1543970_raw_28.corrected.fastq.gz,run.lighter.sh,28,2474,52886,3985,10,117,0,0,59472,5722,14142452,5938,13,216,0,0,0,14154341,Lighter,NA,100,0.490737564,0.963624116,0.472212693,0.999564303,RSR,0,,SRR1543970
87,lighter_SRR1543971_raw_28.corrected.fastq.gz,run.lighter.sh,28,2976,41685,1870,1,168,0,0,46700,5535,11106178,2680,4,204,0,0,0,11114601,Lighter,NA,100,0.673767498,0.964453738,0.648934875,0.999740162,RSR,0,,SRR1543971
88,musket_SRR1543964_raw_20.corrected.fastq.gz,run.musket.sh,20,0,39889,6811,0,0,0,0,46700,0,11101086,13515,0,0,0,0,0,11114601,Musket,NA,100,0,,0,0.998784032,RSR,0,,SRR1543964
93,musket_SRR1543965_raw_20.corrected.fastq.gz,run.musket.sh,20,0,39992,6708,0,0,0,0,46700,0,11102899,11701,0,0,0,0,0,11114600,Musket,NA,100,0,,0,0.998947241,RSR,0,,SRR1543965
98,musket_SRR1543966_raw_20.corrected.fastq.gz,run.musket.sh,20,0,41674,5026,0,0,0,0,46700,0,11106059,8541,0,0,0,0,0,11114600,Musket,NA,100,0,,0,0.999231551,RSR,0,,SRR1543966
103,musket_SRR1543967_raw_20.corrected.fastq.gz,run.musket.sh,20,0,41752,4948,0,0,0,0,46700,0,11106136,8464,0,0,0,0,0,11114600,Musket,NA,100,0,,0,0.999238479,RSR,0,,SRR1543967
108,musket_SRR1543968_raw_20.corrected.fastq.gz,run.musket.sh,20,0,41322,5378,0,0,0,0,46700,0,11104787,9813,0,0,0,0,0,11114600,Musket,NA,100,0,,0,0.999117107,RSR,0,,SRR1543968
113,musket_SRR1543969_raw_20.corrected.fastq.gz,run.musket.sh,20,0,40227,6473,0,0,0,0,46700,0,11101280,13320,0,0,0,0,0,11114600,Musket,NA,100,0,,0,0.998801576,RSR,0,,SRR1543969
118,musket_SRR1543970_raw_20.corrected.fastq.gz,run.musket.sh,20,0,52898,6574,0,0,0,0,59472,0,14142671,11670,0,0,0,0,0,14154341,Musket,NA,100,0,,0,0.999175518,RSR,0,,SRR1543970
123,musket_SRR1543971_raw_20.corrected.fastq.gz,run.musket.sh,20,0,41792,4908,0,0,0,0,46700,0,11106382,8219,0,0,0,0,0,11114601,Musket,NA,100,0,,0,0.999260522,RSR,0,,SRR1543971
89,musket_SRR1543964_raw_22.corrected.fastq.gz,run.musket.sh,22,0,39889,6811,0,0,0,0,46700,0,11101086,13515,0,0,0,0,0,11114601,Musket,NA,100,0,,0,0.998784032,RSR,0,,SRR1543964
94,musket_SRR1543965_raw_22.corrected.fastq.gz,run.musket.sh,22,0,39992,6708,0,0,0,0,46700,0,11102899,11701,0,0,0,0,0,11114600,Musket,NA,100,0,,0,0.998947241,RSR,0,,SRR1543965
99,musket_SRR1543966_raw_22.corrected.fastq.gz,run.musket.sh,22,0,41674,5026,0,0,0,0,46700,0,11106059,8541,0,0,0,0,0,11114600,Musket,NA,100,0,,0,0.999231551,RSR,0,,SRR1543966
104,musket_SRR1543967_raw_22.corrected.fastq.gz,run.musket.sh,22,0,41752,4948,0,0,0,0,46700,0,11106136,8464,0,0,0,0,0,11114600,Musket,NA,100,0,,0,0.999238479,RSR,0,,SRR1543967
109,musket_SRR1543968_raw_22.corrected.fastq.gz,run.musket.sh,22,0,41322,5378,0,0,0,0,46700,0,11104787,9813,0,0,0,0,0,11114600,Musket,NA,100,0,,0,0.999117107,RSR,0,,SRR1543968
114,musket_SRR1543969_raw_22.corrected.fastq.gz,run.musket.sh,22,0,40227,6473,0,0,0,0,46700,0,11101280,13320,0,0,0,0,0,11114600,Musket,NA,100,0,,0,0.998801576,RSR,0,,SRR1543969
119,musket_SRR1543970_raw_22.corrected.fastq.gz,run.musket.sh,22,0,52898,6574,0,0,0,0,59472,0,14142671,11670,0,0,0,0,0,14154341,Musket,NA,100,0,,0,0.999175518,RSR,0,,SRR1543970
124,musket_SRR1543971_raw_22.corrected.fastq.gz,run.musket.sh,22,0,41792,4908,0,0,0,0,46700,0,11106382,8219,0,0,0,0,0,11114601,Musket,NA,100,0,,0,0.999260522,RSR,0,,SRR1543971
90,musket_SRR1543964_raw_24.corrected.fastq.gz,run.musket.sh,24,0,39889,6811,0,0,0,0,46700,0,11101086,13515,0,0,0,0,0,11114601,Musket,NA,100,0,,0,0.998784032,RSR,0,,SRR1543964
