,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitivity,Base Precision,Base Gain,Base Accuracy,Trim Percent,Trim Efficiency,Sample,Total Reads,Tool,Kmer Size
20,bless_sample_SRR1543964_1_28.corrected.fastq,run.bless.sh,28,52008,683863,72598,380,3562,2601,60072,815012,119712,189252114,597542,7850,64645,94836,3788870,142740,194068309,Bless,NA,100,0.166903217,0.428778658,-0.055446188,0.976518089,0.020258898,0.037673502,SRR1543964,815012,Bless,28
21,bless_sample_SRR1543964_1_30.corrected.fastq,run.bless.sh,30,60185,684952,62777,402,3999,2697,67817,815012,138722,188576966,572597,7722,66207,106389,4452224,148830,194069657,Bless,NA,100,0.195020799,0.445595822,-0.047621391,0.973158432,0.023708261,0.033428237,SRR1543964,815012,Bless,30
64,coral_sample_SRR1543964_1_20.corrected.fastq,run.coral.sh,20,10674,668318,131957,49,2464,1550,1902,815012,31283,193190441,818701,314,6757,3731,480,10726,194062433,Coral,NA,100,0.036804222,0.748916713,0.024465166,0.995722877,5.77E-05,22.34583333,SRR1543964,815012,Coral,20
65,coral_sample_SRR1543964_1_22.corrected.fastq,run.coral.sh,22,13176,668299,129441,61,2163,1872,1974,815012,36605,193188035,813405,350,6962,6377,514,10713,194062961,Coral,NA,100,0.043064199,0.732920871,0.027371443,0.995735128,5.79E-05,20.84241245,SRR1543964,815012,Coral,22
66,coral_sample_SRR1543964_1_24.corrected.fastq,run.coral.sh,24,15196,668273,127404,66,2170,1903,1936,815012,40750,193188053,809262,369,7072,6435,456,10703,194063100,Coral,NA,100,0.0479405,0.751055163,0.032050136,0.995755816,5.75E-05,23.47149123,SRR1543964,815012,Coral,24
67,coral_sample_SRR1543964_1_26.corrected.fastq,run.coral.sh,26,17139,661517,123782,70,2261,1885,1931,806654,44890,191207206,796363,374,7383,5824,464,10652,192073156,Coral,NA,100,0.05336088,0.772673288,0.037661678,0.995780499,5.79E-05,22.95689655,SRR1543964,806654,Coral,26
68,coral_sample_SRR1543964_1_28.corrected.fastq,run.coral.sh,28,19051,641559,116513,79,2500,1878,2020,781580,48064,185268921,759920,387,8024,5971,646,10274,186102207,Coral,NA,100,0.059486326,0.774488793,0.042165439,0.995835671,5.87E-05,15.90402477,SRR1543964,781580,Coral,28
69,coral_sample_SRR1543964_1_30.corrected.fastq,run.coral.sh,30,20568,628476,111295,83,2410,2032,1882,764864,51226,181309437,735620,425,7594,7144,527,10091,182122064,Coral,NA,100,0.065102955,0.776575102,0.046372479,0.995874461,5.83E-05,19.14800759,SRR1543964,764864,Coral,30
0,fiona_sample_SRR1543964_1_0.corrected.fastq,run.fiona.sh,0,535,2985,304,73,148,241,16,4286,2067,1012778,4738,112,725,511,5,84,1021020,Fiona,NA,100,0.303747245,0.625794732,0.122116091,0.994033906,8.72E-05,16.8,SRR1543964,4286,Fiona,0
112,lighter_sample_SRR1543964_1_20.corrected.fastq,run.lighter.sh,20,55590,593445,66279,659,15289,170,1368,731432,177933,173372694,569321,1889,26562,228,0,9722,174158349,Lighter,NA,100,0.238115821,0.869140253,0.202264558,0.996566152,5.58E-05,inf,SRR1543964,731432,Lighter,20
113,lighter_sample_SRR1543964_1_22.corrected.fastq,run.lighter.sh,22,54383,559381,59977,543,15200,158,1302,689642,168419,163465873,535006,1635,27894,215,0,9247,164208289,Lighter,NA,100,0.239427089,0.856972035,0.199466894,0.996560577,5.63E-05,inf,SRR1543964,689642,Lighter,22
114,lighter_sample_SRR1543964_1_24.corrected.fastq,run.lighter.sh,24,54676,540404,56268,535,12522,163,1250,664568,164573,157526751,512426,1519,23311,208,0,8892,158237680,Lighter,NA,100,0.24309194,0.874960126,0.208351859,0.996603248,5.62E-05,inf,SRR1543964,664568,Lighter,24
115,lighter_sample_SRR1543964_1_26.corrected.fastq,run.lighter.sh,26,50221,473041,46215,502,10870,139,1101,580988,143740,137717001,447914,1400,19414,142,0,7857,138337468,Lighter,NA,100,0.242946046,0.880242015,0.209892944,0.996610487,5.68E-05,inf,SRR1543964,580988,Lighter,26
116,lighter_sample_SRR1543964_1_28.corrected.fastq,run.lighter.sh,28,42986,390215,37764,409,9244,74,925,480692,121722,113938138,371518,1182,17072,76,0,6625,114456333,Lighter,NA,100,0.246780472,0.876517606,0.212014435,0.996593718,5.79E-05,inf,SRR1543964,480692,Lighter,28
117,lighter_sample_SRR1543964_1_30.corrected.fastq,run.lighter.sh,30,36311,330206,31397,344,7118,94,782,405470,101457,96111842,312306,956,12819,115,0,5527,96545022,Lighter,NA,100,0.245205589,0.886931664,0.213946148,0.996621113,5.72E-05,inf,SRR1543964,405470,Lighter,30
160,musket_sample_SRR1543964_1_20.corrected.fastq,run.musket.sh,20,0,286111,60853,0,0,0,671,346964,0,82250892,359073,0,0,0,0,4844,82614809,Musket,NA,100,0,inf,0,0.995653394,5.86E-05,inf,SRR1543964,346964,Musket,20
161,musket_sample_SRR1543964_1_22.corrected.fastq,run.musket.sh,22,0,237268,51190,0,0,0,565,288458,0,68377015,303330,0,0,0,0,4057,68684402,Musket,NA,100,0,inf,0,0.995583453,5.91E-05,inf,SRR1543964,288458,Musket,22
162,musket_sample_SRR1543964_1_24.corrected.fastq,run.musket.sh,24,0,175129,38107,0,0,0,420,213236,0,50544222,226458,0,0,0,0,2983,50773663,Musket,NA,100,0,inf,0,0.995539591,5.88E-05,inf,SRR1543964,213236,Musket,24
163,musket_sample_SRR1543964_1_26.corrected.fastq,run.musket.sh,26,0,100468,20830,0,0,0,247,121298,0,28751568,129374,0,0,0,0,1651,28882593,Musket,NA,100,0,inf,0,0.995520437,5.72E-05,inf,SRR1543964,121298,Musket,26
164,musket_sample_SRR1543964_1_28.corrected.fastq,run.musket.sh,28,0,43976,10458,0,0,0,129,54434,0,12892460,69354,0,0,0,0,857,12962671,Musket,NA,100,0,inf,0,0.99464936,6.61E-05,inf,SRR1543964,54434,Musket,28
165,musket_sample_SRR1543964_1_30.corrected.fastq,run.musket.sh,30,0,30575,7143,0,0,0,93,37718,0,8933291,48034,0,0,0,0,658,8981983,Musket,NA,100,0,inf,0,0.994651791,7.33E-05,inf,SRR1543964,37718,Musket,30
352,pollux_sample_SRR1543964_1_20.corrected.fastq,run.pollux.sh,20,24297,600030,101526,401,22965,64311,1476,813530,100857,192641786,675624,3539,127312,164331,31,10169,193723649,Pollux,NA,100,0.129889849,0.25696051,-0.245705948,0.994988284,5.27E-05,328.0322581,SRR1543964,813530,Pollux,20
353,pollux_sample_SRR1543964_1_22.corrected.fastq,run.pollux.sh,22,25511,596667,99041,422,24900,66719,1468,813260,105592,192566768,664260,3797,144123,170205,30,10094,193664869,Pollux,NA,100,0.137158831,0.25145742,-0.271137829,0.994926978,5.23E-05,336.4666667,SRR1543964,813260,Pollux,22
354,pollux_sample_SRR1543964_1_24.corrected.fastq,run.pollux.sh,24,26481,594925,97353,405,25096,68706,1454,812966,109370,192493216,653093,3779,149211,175596,28,9949,193594242,Pollux,NA,100,0.143443026,0.251901874,-0.282554039,0.994928788,5.15E-05,355.3214286,SRR1543964,812966,Pollux,24
355,pollux_sample_SRR1543964_1_26.corrected.fastq,run.pollux.sh,26,33260,578930,86472,484,27625,86012,1460,812783,133575,192382435,624587,4276,186201,214720,36,9929,193555759,Pollux,NA,100,0.176182663,0.249908325,-0.352623846,0.994679193,5.15E-05,275.8055556,SRR1543964,812783,Pollux,26
356,pollux_sample_SRR1543964_1_28.corrected.fastq,run.pollux.sh,28,35965,574686,82291,531,30597,88519,1452,812589,143984,192333519,608346,4459,192934,216671,35,9863,193509811,Pollux,NA,100,0.1913841,0.260091873,-0.35306448,0.994716045,5.11E-05,281.8,SRR1543964,812589,Pollux,28
357,pollux_sample_SRR1543964_1_30.corrected.fastq,run.pollux.sh,30,41201,564276,74509,581,33751,98109,1445,812427,161839,192270758,587084,4750,212377,229775,38,9850,193476471,Pollux,NA,100,0.216095647,0.267949357,-0.374288144,0.994655285,5.11E-05,259.2105263,SRR1543964,812427,Pollux,30
8,racer_sample_SRR1543964_1_0.corrected.fastq,run.racer.sh,0,479,2442,233,2,366,764,105,4286,2351,990157,4419,197,17544,11402,628,85,1026783,Racer,NA,100,0.347267356,0.075119021,-3.928360414,0.966699068,0.000694402,0.135350318,SRR1543964,4286,Racer,0
208,reckoner_sample_SRR1543964_1_20.corrected.fastq,run.reckoner.sh,20,472,16746,3705,15,35,29,65,21002,2491,4972078,25334,104,850,300,34,336,5001527,Reckoner,NA,100,0.08952381,0.684152705,0.04819407,0.994676868,7.40E-05,9.882352941,SRR1543964,21002,Reckoner,20
209,reckoner_sample_SRR1543964_1_22.corrected.fastq,run.reckoner.sh,22,119,3250,899,7,4,7,14,4286,608,1013460,6276,20,204,148,16,85,1020817,Reckoner,NA,100,0.088320744,0.633333333,0.037187682,0.993471352,9.89E-05,5.3125,SRR1543964,4286,Reckoner,22
210,reckoner_sample_SRR1543964_1_24.corrected.fastq,run.reckoner.sh,24,121,3250,900,5,4,6,14,4286,614,1013539,6274,13,151,83,26,86,1020786,Reckoner,NA,100,0.089140534,0.724056604,0.055168409,0.993585774,0.000109719,3.307692308,SRR1543964,4286,Reckoner,24
211,reckoner_sample_SRR1543964_1_26.corrected.fastq,run.reckoner.sh,26,127,3250,893,4,6,6,15,4286,627,1013451,6265,9,206,164,7,85,1020814,Reckoner,NA,100,0.090975044,0.62888666,0.037289611,0.993484069,9.01E-05,12.14285714,SRR1543964,4286,Reckoner,26
212,reckoner_sample_SRR1543964_1_28.corrected.fastq,run.reckoner.sh,28,130,3250,881,8,5,12,18,4286,693,1013213,6192,15,386,235,47,86,1020867,Reckoner,NA,100,0.100653595,0.52739726,0.010457516,0.993264961,0.000130281,1.829787234,SRR1543964,4286,Reckoner,28
213,reckoner_sample_SRR1543964_1_30.corrected.fastq,run.reckoner.sh,30,133,3250,882,4,4,13,18,4286,635,1013243,6257,9,362,232,36,85,1020859,Reckoner,NA,100,0.09213581,0.516680228,0.005948926,0.993244342,0.000118528,2.361111111,SRR1543964,4286,Reckoner,30
256,sga_sample_SRR1543964_1_20.corrected.fastq,run.sga.sh,20,40,3250,979,4,13,0,13,4286,341,1013706,6557,15,30,0,0,85,1020734,Sga,NA,100,0.049434619,0.919137466,0.045085532,0.993531567,8.33E-05,inf,SRR1543964,4286,Sga,20
257,sga_sample_SRR1543964_1_22.corrected.fastq,run.sga.sh,22,42,3250,975,3,16,0,13,4286,377,1013700,6508,15,39,0,0,85,1020724,Sga,NA,100,0.054756718,0.90625,0.049092229,0.993570694,8.33E-05,inf,SRR1543964,4286,Sga,22
258,sga_sample_SRR1543964_1_24.corrected.fastq,run.sga.sh,24,43,3250,973,3,17,0,13,4286,412,1013692,6478,15,48,0,0,85,1020730,Sga,NA,100,0.059796807,0.895652174,0.052830189,0.993591307,8.33E-05,inf,SRR1543964,4286,Sga,24
259,sga_sample_SRR1543964_1_26.corrected.fastq,run.sga.sh,26,47,3250,972,2,15,0,13,4286,405,1013702,6489,7,40,0,0,85,1020728,Sga,NA,100,0.058746736,0.91011236,0.052944589,0.993596194,8.33E-05,inf,SRR1543964,4286,Sga,26
260,sga_sample_SRR1543964_1_28.corrected.fastq,run.sga.sh,28,47,3250,969,3,17,0,13,4286,416,1013686,6474,10,55,0,0,85,1020726,Sga,NA,100,0.060377358,0.883227176,0.052394775,0.993593242,8.33E-05,inf,SRR1543964,4286,Sga,28
261,sga_sample_SRR1543964_1_30.corrected.fastq,run.sga.sh,30,54,3250,963,4,15,0,13,4286,460,1013694,6427,13,47,0,0,85,1020726,Sga,NA,100,0.066792508,0.90729783,0.059968056,0.99364419,8.33E-05,inf,SRR1543964,4286,Sga,30
310,bfc_sample_SRR1543965_1_20.corrected.fastq,run.bfc.sh,20,14551,598979,99892,3485,1188,8,273,718103,50464,170629266,229318,3541,1235,10,0,591,170914425,Bfc,NA,100,0.180369002,0.975922953,0.175919108,0.998630281,3.46E-06,inf,SRR1543965,718103,Bfc,20
311,bfc_sample_SRR1543965_1_22.corrected.fastq,run.bfc.sh,22,14832,598986,99643,3440,1191,11,273,718103,51478,170629236,228340,3506,1260,13,0,591,170914424,Bfc,NA,100,0.18396958,0.975867756,0.179420195,0.998636044,3.46E-06,inf,SRR1543965,718103,Bfc,22
312,bfc_sample_SRR1543965_1_24.corrected.fastq,run.bfc.sh,24,16257,598844,98530,3142,1319,11,276,718103,54041,170629136,226049,3198,1383,13,0,594,170914414,Bfc,NA,100,0.192941555,0.974818262,0.187957442,0.99865053,3.48E-06,inf,SRR1543965,718103,Bfc,24
313,bfc_sample_SRR1543965_1_26.corrected.fastq,run.bfc.sh,26,16216,598942,98596,3120,1215,14,276,718103,54343,170629241,225790,3163,1267,18,0,594,170914416,Bfc,NA,100,0.193989998,0.976900122,0.189402891,0.9986529,3.48E-06,inf,SRR1543965,718103,Bfc,26
314,bfc_sample_SRR1543965_1_28.corrected.fastq,run.bfc.sh,28,17294,598696,97536,2974,1594,9,277,718103,56403,170628859,223877,3023,1659,10,1,597,170914429,Bfc,NA,100,0.201238048,0.971259815,0.195283288,0.998662659,3.50E-06,597,SRR1543965,718103,Bfc,28
315,bfc_sample_SRR1543965_1_30.corrected.fastq,run.bfc.sh,30,17680,598913,97269,2903,1327,11,276,718103,57540,170629115,222823,2942,1389,12,0,594,170914415,Bfc,NA,100,0.205233929,0.976230468,0.200236836,0.998670874,3.48E-06,inf,SRR1543965,718103,Bfc,30
22,bless_sample_SRR1543965_1_20.corrected.fastq,run.bless.sh,20,56231,607020,50032,56,2549,2215,42832,718103,110092,167431234,127638,914,49247,110114,3045325,45671,170920235,Bless,NA,100,0.46309679,0.408575893,-0.207247718,0.980493071,0.018084436,0.014997086,SRR1543965,718103,Bless,20
23,bless_sample_SRR1543965_1_22.corrected.fastq,run.bless.sh,22,58022,607883,47505,68,2634,1991,43649,718103,113601,167377531,121419,1062,49878,102095,3105485,48198,170919269,Bless,NA,100,0.483367373,0.427756482,-0.163271211,0.980219361,0.018451302,0.015520281,SRR1543965,718103,Bless,22
24,bless_sample_SRR1543965_1_24.corrected.fastq,run.bless.sh,24,58419,608502,46434,68,2777,1903,44867,718103,113544,167275060,118839,1184,52131,87846,3220229,50775,170919608,Bless,NA,100,0.48860717,0.447868224,-0.113747563,0.97963216,0.019137676,0.015767512,SRR1543965,718103,Bless,24
25,bless_sample_SRR1543965_1_26.corrected.fastq,run.bless.sh,26,58846,610000,44614,66,2696,1881,46414,718103,114572,167246056,116585,1236,52098,88231,3248831,51893,170919502,Bless,NA,100,0.495645816,0.449476463,-0.111426433,0.979475449,0.01931157,0.015972822,SRR1543965,718103,Bless,26
