,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitivity,Base Precision,Base Gain,Base Accuracy,Trim Percent,Trim Efficiency,Sample,Total Reads,Tool,Kmer Size
215,reckoner_sample_SRR1543965_1_22.corrected.fastq,run.reckoner.sh,22,23985,599277,93069,223,910,639,685,718103,65188,170604605,216927,853,19091,11492,2361,933,170921450,Reckoner,NA,100,0.23106889,0.680665337,0.122662744,0.998533096,1.93E-05,0.395171537,SRR1543965,718103,Reckoner,22
216,reckoner_sample_SRR1543965_1_24.corrected.fastq,run.reckoner.sh,24,24891,599280,92246,213,775,698,671,718103,65669,170600806,216476,863,21910,13474,2305,887,170922390,Reckoner,NA,100,0.232749118,0.64984711,0.107338425,0.998507923,1.87E-05,0.384815618,SRR1543965,718103,Reckoner,24
217,reckoner_sample_SRR1543965_1_26.corrected.fastq,run.reckoner.sh,26,25526,599280,91620,213,733,731,741,718103,66441,170602059,215671,877,20816,12546,2960,909,170922279,Reckoner,NA,100,0.235512846,0.665721471,0.117254849,0.998520548,2.26E-05,0.307094595,SRR1543965,718103,Reckoner,26
218,reckoner_sample_SRR1543965_1_28.corrected.fastq,run.reckoner.sh,28,25653,592297,90095,216,662,822,718,709745,65957,168615283,212775,1001,21032,13880,2788,908,168933624,Reckoner,NA,100,0.236632321,0.653887716,0.11137939,0.998511384,2.19E-05,0.325681492,SRR1543965,709745,Reckoner,28
219,reckoner_sample_SRR1543965_1_30.corrected.fastq,run.reckoner.sh,30,25730,585217,88815,228,608,789,725,701387,65112,166629679,210918,939,20418,13570,2584,891,166944111,Reckoner,NA,100,0.235887404,0.6570333,0.11275586,0.998511895,2.08E-05,0.344814241,SRR1543965,701387,Reckoner,30
262,sga_sample_SRR1543965_1_20.corrected.fastq,run.sga.sh,20,8955,571538,103213,65,866,34,288,684671,35115,162684702,233764,256,2864,119,14,585,162957419,Sga,NA,100,0.130597778,0.921701927,0.119503569,0.998545523,3.68E-06,41.78571429,SRR1543965,684671,Sga,20
263,sga_sample_SRR1543965_1_22.corrected.fastq,run.sga.sh,22,9231,558347,99472,61,804,40,286,667955,35400,158715706,224084,220,2677,137,14,579,158978817,Sga,NA,100,0.136424597,0.926362066,0.125579997,0.998571301,3.73E-06,41.35714286,SRR1543965,667955,Sga,22
264,sga_sample_SRR1543965_1_24.corrected.fastq,run.sga.sh,24,8713,502208,89284,56,793,37,261,601091,33112,142827374,200554,206,2703,133,13,530,143064625,Sga,NA,100,0.141706538,0.921108267,0.129569557,0.998576799,3.80E-06,40.76923077,SRR1543965,601091,Sga,24
265,sga_sample_SRR1543965_1_26.corrected.fastq,run.sga.sh,26,8306,460623,81158,55,767,34,238,550943,31208,130912763,181640,190,2544,161,15,491,131129012,Sga,NA,100,0.146621063,0.920237077,0.133912463,0.998592602,3.86E-06,32.73333333,SRR1543965,550943,Sga,26
266,sga_sample_SRR1543965_1_28.corrected.fastq,run.sga.sh,28,7823,404241,71246,41,687,41,211,484079,28847,115022339,160709,162,2339,158,19,447,115215020,Sga,NA,100,0.152181941,0.92033563,0.139009053,0.998581889,4.04E-06,23.52631579,SRR1543965,484079,Sga,28
267,sga_sample_SRR1543965_1_30.corrected.fastq,run.sga.sh,30,7258,355522,62746,35,659,38,196,426258,26406,101281458,142407,132,2197,148,23,417,101453188,Sga,NA,100,0.156421603,0.91843762,0.142530492,0.99857168,4.34E-06,18.13043478,SRR1543965,426258,Sga,30
316,bfc_sample_SRR1543966_1_20.corrected.fastq,run.bfc.sh,20,12983,793485,104268,3567,4652,7,228,918962,51962,218405194,252883,3679,4742,7,0,762,218719229,Bfc,NA,100,0.170453837,0.916259632,0.154875428,0.998805263,3.48E-06,inf,SRR1543966,918962,Bfc,20
317,bfc_sample_SRR1543966_1_22.corrected.fastq,run.bfc.sh,22,13300,794566,104133,3519,3437,7,228,918962,53535,218406418,251392,3603,3515,7,0,742,218719212,Bfc,NA,100,0.175566611,0.938272254,0.164016306,0.998818038,3.39E-06,inf,SRR1543966,918962,Bfc,22
318,bfc_sample_SRR1543966_1_24.corrected.fastq,run.bfc.sh,24,14657,792639,102854,3243,5558,11,228,918962,55778,218404272,249431,3319,5659,11,0,742,218719212,Bfc,NA,100,0.182753457,0.907726858,0.164176024,0.998818481,3.39E-06,inf,SRR1543966,918962,Bfc,24
319,bfc_sample_SRR1543966_1_26.corrected.fastq,run.bfc.sh,26,14686,794177,102923,3172,3992,12,232,918962,56640,218405845,248645,3235,4089,12,0,746,218719212,Bfc,NA,100,0.185531552,0.932483825,0.172098203,0.998829632,3.41E-06,inf,SRR1543966,918962,Bfc,26
320,bfc_sample_SRR1543966_1_28.corrected.fastq,run.bfc.sh,28,15785,788329,101257,3045,10532,14,234,918962,58508,218399291,246883,3126,10643,15,2,746,218719214,Bfc,NA,100,0.191583904,0.845906949,0.156684382,0.998808198,3.42E-06,373,SRR1543966,918962,Bfc,28
321,bfc_sample_SRR1543966_1_30.corrected.fastq,run.bfc.sh,30,16140,791250,101414,2898,7248,12,232,918962,59458,218402588,246096,2962,7344,13,0,746,218719207,Bfc,NA,100,0.194590809,0.889889995,0.170513232,0.998827648,3.41E-06,inf,SRR1543966,918962,Bfc,30
28,bless_sample_SRR1543966_1_20.corrected.fastq,run.bless.sh,20,61329,803666,49148,75,2408,2336,41122,918962,121806,215331102,135554,1039,55231,115212,2913275,52205,218725424,Bless,NA,100,0.473290333,0.416788424,-0.188984302,0.985273409,0.013558003,0.017919695,SRR1543966,918962,Bless,20
29,bless_sample_SRR1543966_1_22.corrected.fastq,run.bless.sh,22,64134,804078,46437,87,2242,1984,41063,918962,127407,215342674,128984,1060,47031,89038,2935343,53109,218724646,Bless,NA,100,0.496924619,0.48356207,-0.033784337,0.985359521,0.013663078,0.018092945,SRR1543966,918962,Bless,22
30,bless_sample_SRR1543966_1_24.corrected.fastq,run.bless.sh,24,65050,804674,45696,89,2028,1425,39700,918962,129016,215473827,126805,1194,38320,66101,2834640,53520,218723423,Bless,NA,100,0.504321381,0.552680166,0.096141443,0.985974019,0.013204621,0.018880704,SRR1543966,918962,Bless,24
31,bless_sample_SRR1543966_1_26.corrected.fastq,run.bless.sh,26,67079,804149,43503,86,2366,1779,41423,918962,132071,215395753,122864,1313,46367,78636,2893085,54281,218724370,Bless,NA,100,0.518057544,0.513747014,0.027724714,0.985630111,0.013475252,0.018762325,SRR1543966,918962,Bless,26
32,bless_sample_SRR1543966_1_28.corrected.fastq,run.bless.sh,28,63576,805892,45485,121,2402,1486,41186,918962,125981,215522787,126201,1348,43904,67137,2779244,57044,218723646,Bless,NA,100,0.499563807,0.531516062,0.059242928,0.986198926,0.01296745,0.020525006,SRR1543966,918962,Bless,28
33,bless_sample_SRR1543966_1_30.corrected.fastq,run.bless.sh,30,65133,808618,41422,118,2278,1393,45841,918962,131975,215251399,116866,1412,40788,55351,3065931,60286,218724008,Bless,NA,100,0.530358743,0.578548445,0.144011638,0.984998207,0.014292976,0.019663195,SRR1543966,918962,Bless,30
76,coral_sample_SRR1543966_1_20.corrected.fastq,run.coral.sh,20,18585,794832,102547,16,1216,1766,468,918962,42199,218398933,266127,84,5820,6667,587,761,218721178,Coral,NA,100,0.136864877,0.771660023,0.096365535,0.998723096,6.16E-06,1.296422487,SRR1543966,918962,Coral,20
77,coral_sample_SRR1543966_1_22.corrected.fastq,run.coral.sh,22,21822,794496,99195,18,1617,1814,507,918962,48545,218397991,259782,77,6348,8048,624,763,218722178,Coral,NA,100,0.157446477,0.771277863,0.110755788,0.998743246,6.34E-06,1.22275641,SRR1543966,918962,Coral,22
78,coral_sample_SRR1543966_1_24.corrected.fastq,run.coral.sh,24,25733,794554,95267,19,1546,1843,522,918962,55910,218398032,252401,86,6244,8015,647,765,218722100,Coral,NA,100,0.181342865,0.796790606,0.13509411,0.998777472,6.46E-06,1.182380216,SRR1543966,918962,Coral,24
79,coral_sample_SRR1543966_1_26.corrected.fastq,run.coral.sh,26,28748,794212,92191,21,1594,2196,501,918962,61209,218395718,247078,87,7989,8830,617,768,218722296,Coral,NA,100,0.198545511,0.784449172,0.143989205,0.998790238,6.33E-06,1.244732577,SRR1543966,918962,Coral,26
80,coral_sample_SRR1543966_1_28.corrected.fastq,run.coral.sh,28,31299,794181,89607,24,1584,2267,497,918962,65354,218394743,242925,92,8680,9211,608,770,218722383,Coral,NA,100,0.211996276,0.785080185,0.153961185,0.998804343,6.30E-06,1.266447368,SRR1543966,918962,Coral,28
81,coral_sample_SRR1543966_1_30.corrected.fastq,run.coral.sh,30,33765,794011,87189,25,1587,2385,410,918962,69411,218394551,238870,95,8694,9543,448,769,218722381,Coral,NA,100,0.225154972,0.79192908,0.165997905,0.998822019,5.56E-06,1.716517857,SRR1543966,918962,Coral,30
2,fiona_sample_SRR1543966_1_0.corrected.fastq,run.fiona.sh,0,32585,251995,9793,1903,4245,8307,346,308828,84964,73343377,37753,2246,26478,17383,276,291,73512768,Fiona,NA,100,0.692357212,0.659530371,0.334941369,0.998855487,7.71E-06,1.054347826,SRR1543966,308828,Fiona,0
124,lighter_sample_SRR1543966_1_20.corrected.fastq,run.lighter.sh,20,71639,774570,46134,149,26262,208,239,918962,179321,218374806,129007,232,34843,278,6,762,218719255,Lighter,NA,100,0.581591682,0.836221449,0.467683765,0.999248504,3.51E-06,127,SRR1543966,918962,Lighter,20
125,lighter_sample_SRR1543966_1_22.corrected.fastq,run.lighter.sh,22,74339,774458,43323,214,26451,177,235,918962,181711,218372836,126581,330,36789,208,6,743,218719204,Lighter,NA,100,0.589411986,0.830838378,0.469405628,0.999250571,3.42E-06,123.8333333,SRR1543966,918962,Lighter,22
126,lighter_sample_SRR1543966_1_24.corrected.fastq,run.lighter.sh,24,77120,771067,40383,156,30057,179,233,918962,184489,218371195,123876,239,38435,211,4,743,218719192,Lighter,NA,100,0.598281258,0.826804401,0.47295575,0.999255824,3.42E-06,185.75,SRR1543966,918962,Lighter,24
127,lighter_sample_SRR1543966_1_26.corrected.fastq,run.lighter.sh,26,78257,777832,40152,234,22318,169,228,918962,183952,218379428,124362,302,30227,181,2,740,218719194,Lighter,NA,100,0.596638492,0.858145176,0.498011767,0.999290988,3.39E-06,370,SRR1543966,918962,Lighter,26
128,lighter_sample_SRR1543966_1_28.corrected.fastq,run.lighter.sh,28,80831,784381,38487,246,14849,168,227,918962,185168,218387372,123095,316,22320,185,2,739,218719197,Lighter,NA,100,0.600681885,0.891632518,0.527676043,0.99933285,3.39E-06,369.5,SRR1543966,918962,Lighter,28
129,lighter_sample_SRR1543966_1_30.corrected.fastq,run.lighter.sh,30,80986,786302,38523,154,12861,136,225,918962,184496,218389288,123827,256,20431,152,1,738,218719189,Lighter,NA,100,0.598385459,0.8996338,0.531627546,0.99933857,3.38E-06,738,SRR1543966,918962,Lighter,30
172,musket_sample_SRR1543966_1_20.corrected.fastq,run.musket.sh,20,0,782233,120013,0,0,0,221,902246,0,214436694,303284,0,0,0,0,723,214740701,Musket,NA,100,0,inf,0,0.998587669,3.37E-06,inf,SRR1543966,902246,Musket,20
173,musket_sample_SRR1543966_1_22.corrected.fastq,run.musket.sh,22,0,774566,119322,0,0,0,219,893888,0,212449131,301589,0,0,0,0,711,212751431,Musket,NA,100,0,inf,0,0.99858243,3.34E-06,inf,SRR1543966,893888,Musket,22
174,musket_sample_SRR1543966_1_24.corrected.fastq,run.musket.sh,24,0,774566,119322,0,0,0,219,893888,0,212449131,301589,0,0,0,0,711,212751431,Musket,NA,100,0,inf,0,0.99858243,3.34E-06,inf,SRR1543966,893888,Musket,24
175,musket_sample_SRR1543966_1_26.corrected.fastq,run.musket.sh,26,0,774566,119322,0,0,0,219,893888,0,212449131,301589,0,0,0,0,711,212751431,Musket,NA,100,0,inf,0,0.99858243,3.34E-06,inf,SRR1543966,893888,Musket,26
176,musket_sample_SRR1543966_1_28.corrected.fastq,run.musket.sh,28,0,767134,118396,0,0,0,213,885530,0,210462002,299472,0,0,0,0,705,210762179,Musket,NA,100,0,inf,0,0.998579095,3.35E-06,inf,SRR1543966,885530,Musket,28
177,musket_sample_SRR1543966_1_30.corrected.fastq,run.musket.sh,30,0,752878,115936,0,0,0,205,868814,0,206489346,293612,0,0,0,0,677,206783635,Musket,NA,100,0,inf,0,0.998580096,3.27E-06,inf,SRR1543966,868814,Musket,30
364,pollux_sample_SRR1543966_1_20.corrected.fastq,run.pollux.sh,20,18889,731115,91115,176,20761,55994,264,918050,64998,217988197,211674,1156,117345,133753,67,692,218517882,Pollux,NA,100,0.234928001,0.205627404,-0.672637636,0.99787662,3.47E-06,10.32835821,SRR1543966,918050,Pollux,20
365,pollux_sample_SRR1543966_1_22.corrected.fastq,run.pollux.sh,22,19082,729593,90721,138,20008,58315,261,917857,65062,217946097,208361,1056,115288,136266,65,690,218472885,Pollux,NA,100,0.237953647,0.205491826,-0.682064055,0.997889727,3.46E-06,10.61538462,SRR1543966,917857,Pollux,22
366,pollux_sample_SRR1543966_1_24.corrected.fastq,run.pollux.sh,24,20620,726430,88180,163,21846,60475,261,917714,71174,217906790,199798,1163,121077,140142,63,677,218440884,Pollux,NA,100,0.262661825,0.21412605,-0.701345526,0.997883892,3.39E-06,10.74603175,SRR1543966,917714,Pollux,24
367,pollux_sample_SRR1543966_1_26.corrected.fastq,run.pollux.sh,26,29047,705184,76164,179,28668,78373,279,917615,95081,217808394,174569,1364,158271,185290,87,682,218423738,Pollux,NA,100,0.352608938,0.216762189,-0.921490821,0.997621217,3.52E-06,7.83908046,SRR1543966,917615,Pollux,26
368,pollux_sample_SRR1543966_1_28.corrected.fastq,run.pollux.sh,28,30886,703258,73368,176,31107,78655,271,917450,100819,217768984,166444,1387,164533,180755,75,680,218383677,Pollux,NA,100,0.377227675,0.22599735,-0.914713223,0.997650028,3.46E-06,9.066666667,SRR1543966,917450,Pollux,28
369,pollux_sample_SRR1543966_1_30.corrected.fastq,run.pollux.sh,30,37107,692358,65446,223,35076,87122,279,917332,117334,217670841,149065,1512,227279,196967,87,683,218363768,Pollux,NA,100,0.440444596,0.21665128,-1.152076397,0.997367183,3.53E-06,7.850574713,SRR1543966,917332,Pollux,30
10,racer_sample_SRR1543966_1_0.corrected.fastq,run.racer.sh,0,25481,191615,7071,29,6570,19556,3488,250322,75215,58801359,28520,1618,514845,290043,23182,247,59735029,Racer,NA,100,0.725068685,0.085461588,-7.034009736,0.985633027,0.000392215,0.010654818,SRR1543966,250322,Racer,0
220,reckoner_sample_SRR1543966_1_20.corrected.fastq,run.reckoner.sh,20,20110,752878,94134,253,801,638,502,868814,59514,206461651,232927,998,20935,11922,1721,887,206790555,Reckoner,NA,100,0.203507716,0.644293122,0.091153429,0.998701565,1.26E-05,0.515398024,SRR1543966,868814,Reckoner,20
221,reckoner_sample_SRR1543966_1_22.corrected.fastq,run.reckoner.sh,22,20940,745244,92549,251,785,687,537,860456,60630,204473286,229967,984,22067,11291,1867,923,204801015,Reckoner,NA,100,0.208639456,0.645082351,0.093848182,0.998700313,1.36E-05,0.494376004,SRR1543966,860456,Reckoner,22
222,reckoner_sample_SRR1543966_1_24.corrected.fastq,run.reckoner.sh,24,21270,723422,88978,253,711,748,508,835382,60677,198513644,221898,1059,21465,12380,1669,894,198833686,Reckoner,NA,100,0.214728833,0.641935211,0.094955322,0.998700058,1.29E-05,0.53565009,SRR1543966,835382,Reckoner,24
223,reckoner_sample_SRR1543966_1_26.corrected.fastq,run.reckoner.sh,26,20323,649196,80831,245,597,610,475,751802,57716,178646070,202599,1191,19450,10598,1468,823,178939915,Reckoner,NA,100,0.221715998,0.657627273,0.106286614,0.998684994,1.28E-05,0.560626703,SRR1543966,751802,Reckoner,26
224,reckoner_sample_SRR1543966_1_28.corrected.fastq,run.reckoner.sh,28,19011,591035,73400,244,554,694,429,684938,53585,162754836,184890,909,19026,10224,1366,723,163025559,Reckoner,NA,100,0.224698606,0.646888393,0.102044239,0.998672503,1.28E-05,0.529282577,SRR1543966,684938,Reckoner,28
225,reckoner_sample_SRR1543966_1_30.corrected.fastq,run.reckoner.sh,30,17571,533455,65632,207,509,700,469,618074,48712,146862555,165166,919,20677,11796,1816,637,147112278,Reckoner,NA,100,0.22775601,0.600012318,0.075926463,0.998637946,1.67E-05,0.350770925,SRR1543966,618074,Reckoner,30
268,sga_sample_SRR1543966_1_20.corrected.fastq,run.sga.sh,20,4386,496710,74337,59,763,29,160,576284,22861,136953480,179919,198,2250,102,23,458,137159291,Sga,NA,100,0.112737943,0.90671479,0.101139166,0.998669484,3.51E-06,19.91304348,SRR1543966,576284,Sga,20
269,sga_sample_SRR1543966_1_22.corrected.fastq,run.sga.sh,22,4205,437809,66616,50,718,22,145,509420,22171,121058971,161314,174,2108,85,18,426,121245267,Sga,NA,100,0.120832766,0.909990149,0.108880835,0.998649848,3.66E-06,23.66666667,SRR1543966,509420,Sga,22
270,sga_sample_SRR1543966_1_24.corrected.fastq,run.sga.sh,24,4155,408413,62665,41,694,20,134,475988,21983,113111634,151942,170,2013,72,15,404,113288233,Sga,NA,100,0.12639356,0.91337045,0.114405635,0.998638759,3.70E-06,26.93333333,SRR1543966,475988,Sga,24
271,sga_sample_SRR1543966_1_26.corrected.fastq,run.sga.sh,26,4051,372182,57242,38,662,23,134,434198,20924,103178925,139558,146,1912,82,24,388,103341959,Sga,NA,100,0.130382224,0.912994153,0.117957154,0.998628606,3.99E-06,16.16666667,SRR1543966,434198,Sga,26
272,sga_sample_SRR1543966_1_28.corrected.fastq,run.sga.sh,28,3980,327762,51604,42,640,22,116,384050,20281,91257558,126083,150,1898,77,23,325,91406395,Sga,NA,100,0.138565494,0.911259885,0.125071739,0.998597128,3.81E-06,14.13043478,SRR1543966,384050,Sga,28
273,sga_sample_SRR1543966_1_30.corrected.fastq,run.sga.sh,30,4194,312723,49668,43,683,23,119,367334,20778,87282596,122027,143,1980,71,23,325,87427943,Sga,NA,100,0.145499107,0.910158132,0.131136865,0.998578893,3.98E-06,14.13043478,SRR1543966,367334,Sga,30
322,bfc_sample_SRR1543967_1_20.corrected.fastq,run.bfc.sh,20,14767,902094,119085,3706,4245,9,426,1043906,60940,248076082,313745,3804,4352,10,0,1200,248460133,Bfc,NA,100,0.162643287,0.933202658,0.151001508,0.998704369,4.83E-06,inf,SRR1543967,1043906,Bfc,20
323,bfc_sample_SRR1543967_1_22.corrected.fastq,run.bfc.sh,22,15410,903085,118500,3772,3128,11,426,1043906,62707,248077203,311936,3870,3236,12,0,1203,248460167,Bfc,NA,100,0.167378011,0.950754302,0.158708424,0.998715868,4.84E-06,inf,SRR1543967,1043906,Bfc,22
324,bfc_sample_SRR1543967_1_24.corrected.fastq,run.bfc.sh,24,16631,901270,117299,3537,5155,14,426,1043906,64907,248075148,309978,3628,5285,15,0,1196,248460157,Bfc,NA,100,0.173138429,0.924508952,0.15900076,0.998716464,4.81E-06,inf,SRR1543967,1043906,Bfc,24
325,bfc_sample_SRR1543967_1_26.corrected.fastq,run.bfc.sh,26,16829,903100,117294,3450,3221,12,429,1043906,66085,248077098,308895,3531,3340,13,0,1207,248460169,Bfc,NA,100,0.176236066,0.951712319,0.167294256,0.99872905,4.86E-06,inf,SRR1543967,1043906,Bfc,26
326,bfc_sample_SRR1543967_1_28.corrected.fastq,run.bfc.sh,28,17978,901917,116120,3349,4530,12,428,1043906,68229,248075791,306858,3419,4656,13,0,1205,248460171,Bfc,NA,100,0.181901799,0.935951604,0.16945402,0.998732402,4.85E-06,inf,SRR1543967,1043906,Bfc,28
327,bfc_sample_SRR1543967_1_30.corrected.fastq,run.bfc.sh,30,18244,902129,115843,3348,4329,13,427,1043906,68851,248075999,306265,3416,4452,14,0,1190,248460187,Bfc,NA,100,0.18354589,0.939086433,0.171640239,0.998735618,4.79E-06,inf,SRR1543967,1043906,Bfc,30
34,bless_sample_SRR1543967_1_20.corrected.fastq,run.bless.sh,20,62259,913993,62405,93,2868,2288,45520,1043906,124142,244770593,191826,1293,56786,115824,3141695,63148,248465307,Bless,NA,100,0.392894217,0.418335849,-0.153395281,0.985880058,0.012898553,0.020099978,SRR1543967,1043906,Bless,20
35,bless_sample_SRR1543967_1_22.corrected.fastq,run.bless.sh,22,64782,914341,59754,96,2863,2070,46019,1043906,128326,244752430,186520,1488,53603,97989,3180293,63995,248464644,Bless,NA,100,0.40758339,0.458441401,-0.073896445,0.985829775,0.013057343,0.02012236,SRR1543967,1043906,Bless,22
36,bless_sample_SRR1543967_1_24.corrected.fastq,run.bless.sh,24,66682,914344,57818,100,2856,2106,46232,1043906,131461,244724947,183115,1280,53563,98882,3206753,64473,248464474,Bless,NA,100,0.417899013,0.463044106,-0.066705661,0.985734328,0.01316577,0.020105384,SRR1543967,1043906,Bless,24
37,bless_sample_SRR1543967_1_26.corrected.fastq,run.bless.sh,26,68676,914720,55389,109,3033,1979,48040,1043906,134998,244673611,176863,1468,53139,92949,3264559,67003,248464590,Bless,NA,100,0.43287875,0.480272941,-0.035560715,0.985551478,0.013408599,0.020524365,SRR1543967,1043906,Bless,26
38,bless_sample_SRR1543967_1_28.corrected.fastq,run.bless.sh,28,67613,916713,54295,135,2991,2159,50674,1043906,134446,244573010,174191,1655,54457,96159,3360562,70190,248464670,Bless,NA,100,0.435612062,0.471637749,-0.052391645,0.985156578,0.013807806,0.020886387,SRR1543967,1043906,Bless,28
39,bless_sample_SRR1543967_1_30.corrected.fastq,run.bless.sh,30,67687,918300,52719,146,3074,1980,53024,1043906,135315,244499625,170302,1615,54137,90521,3439984,73183,248464682,Bless,NA,100,0.442760056,0.483314462,-0.030570943,0.984876459,0.014139503,0.021274227,SRR1543967,1043906,Bless,30
82,coral_sample_SRR1543967_1_20.corrected.fastq,run.coral.sh,20,18257,903183,119782,25,1270,1389,664,1043906,43731,248072097,334590,89,6626,3400,259,1236,248462028,Coral,NA,100,0.115592314,0.813494057,0.08909101,0.998611596,6.02E-06,4.772200772,SRR1543967,1043906,Coral,20
83,coral_sample_SRR1543967_1_22.corrected.fastq,run.coral.sh,22,21572,902863,116366,28,1444,1633,716,1043906,50943,248070612,327344,116,7245,4460,413,1239,248462372,Coral,NA,100,0.134667594,0.813162431,0.103725478,0.998633275,6.65E-06,3,SRR1543967,1043906,Coral,22
84,coral_sample_SRR1543967_1_24.corrected.fastq,run.coral.sh,24,23998,902590,113879,27,1833,1579,773,1043906,55634,248068671,322667,100,8635,4913,486,1241,248462347,Coral,NA,100,0.147062789,0.804168714,0.111250036,0.998644452,6.95E-06,2.553497942,SRR1543967,1043906,Coral,24
85,coral_sample_SRR1543967_1_26.corrected.fastq,run.coral.sh,26,26510,902529,111270,33,1768,1796,806,1043906,60305,248068762,317989,123,8215,5756,532,1229,248462911,Coral,NA,100,0.159413049,0.811904249,0.122481456,0.998661303,7.09E-06,2.310150376,SRR1543967,1043906,Coral,26
86,coral_sample_SRR1543967_1_28.corrected.fastq,run.coral.sh,28,29101,902119,108599,30,1822,2235,802,1043906,64948,248067325,313320,138,9183,6625,372,1231,248463142,Coral,NA,100,0.171698373,0.804249839,0.129907896,0.998673286,6.45E-06,3.309139785,SRR1543967,1043906,Coral,28
87,coral_sample_SRR1543967_1_30.corrected.fastq,run.coral.sh,30,31967,902011,105746,28,1857,2297,683,1043906,69983,248067742,308294,115,9095,6116,373,1242,248462960,Coral,NA,100,0.185004639,0.821454563,0.144793366,0.998696004,6.50E-06,3.329758713,SRR1543967,1043906,Coral,30
3,fiona_sample_SRR1543967_1_0.corrected.fastq,run.fiona.sh,0,50313,506940,14163,2124,12250,24344,580,610134,114874,144927257,70192,2808,79605,51625,302,721,145247384,Fiona,NA,100,0.620719095,0.466770146,-0.088379281,0.99859183,7.04E-06,2.387417219,SRR1543967,610134,Fiona,0
130,lighter_sample_SRR1543967_1_20.corrected.fastq,run.lighter.sh,20,85052,885553,49461,231,23456,153,432,1043906,208813,248038294,169438,459,41780,163,5,1218,248460170,Lighter,NA,100,0.552048772,0.832733813,0.441162085,0.999147364,4.92E-06,243.6,SRR1543967,1043906,Lighter,20
131,lighter_sample_SRR1543967_1_22.corrected.fastq,run.lighter.sh,22,86924,889764,48602,204,18244,168,420,1043906,209421,248047918,168951,338,32018,199,0,1203,248460048,Lighter,NA,100,0.553479116,0.86667246,0.468332752,0.999188976,4.84E-06,inf,SRR1543967,1043906,Lighter,22
132,lighter_sample_SRR1543967_1_24.corrected.fastq,run.lighter.sh,24,88896,889815,46413,344,18214,224,425,1043906,209729,248048530,168540,547,31327,278,0,1209,248460160,Lighter,NA,100,0.55444406,0.869040417,0.470892407,0.999192253,4.87E-06,inf,SRR1543967,1043906,Lighter,24
133,lighter_sample_SRR1543967_1_26.corrected.fastq,run.lighter.sh,26,90555,889849,44670,437,18191,204,428,1043906,210623,248048064,167366,681,31986,246,2,1205,248460173,Lighter,NA,100,0.557219919,0.867278829,0.471947596,0.999193907,4.86E-06,602.5,SRR1543967,1043906,Lighter,26
134,lighter_sample_SRR1543967_1_28.corrected.fastq,run.lighter.sh,28,92442,890491,43122,255,17308,288,424,1043906,212013,248047852,166262,369,32074,384,0,1209,248460163,Lighter,NA,100,0.560473201,0.867231696,0.4746679,0.999198705,4.87E-06,inf,SRR1543967,1043906,Lighter,28
135,lighter_sample_SRR1543967_1_30.corrected.fastq,run.lighter.sh,30,91387,890429,44028,236,17626,200,428,1043906,209063,248048395,169208,426,31610,258,2,1211,248460173,Lighter,NA,100,0.552680486,0.867729765,0.468434006,0.999188985,4.88E-06,605.5,SRR1543967,1043906,Lighter,30
178,musket_sample_SRR1543967_1_20.corrected.fastq,run.musket.sh,20,0,905008,138898,0,0,0,423,1043906,0,248080530,378459,0,0,0,0,1183,248460172,Musket,NA,100,0,inf,0,0.998476775,4.76E-06,inf,SRR1543967,1043906,Musket,20
179,musket_sample_SRR1543967_1_22.corrected.fastq,run.musket.sh,22,0,905008,138898,0,0,0,423,1043906,0,248080530,378459,0,0,0,0,1183,248460172,Musket,NA,100,0,inf,0,0.998476775,4.76E-06,inf,SRR1543967,1043906,Musket,22
180,musket_sample_SRR1543967_1_24.corrected.fastq,run.musket.sh,24,0,897945,137603,0,0,0,420,1035548,0,246094906,374841,0,0,0,0,1176,246470923,Musket,NA,100,0,inf,0,0.99847916,4.77E-06,inf,SRR1543967,1035548,Musket,24
181,musket_sample_SRR1543967_1_26.corrected.fastq,run.musket.sh,26,0,897945,137603,0,0,0,420,1035548,0,246094906,374841,0,0,0,0,1176,246470923,Musket,NA,100,0,inf,0,0.99847916,4.77E-06,inf,SRR1543967,1035548,Musket,26
182,musket_sample_SRR1543967_1_28.corrected.fastq,run.musket.sh,28,0,870383,131733,0,0,0,403,1002116,0,238155629,357029,0,0,0,0,1115,238513773,Musket,NA,100,0,inf,0,0.998503103,4.67E-06,inf,SRR1543967,1002116,Musket,28
183,musket_sample_SRR1543967_1_30.corrected.fastq,run.musket.sh,30,0,870383,131733,0,0,0,403,1002116,0,238155629,357029,0,0,0,0,1115,238513773,Musket,NA,100,0,inf,0,0.998503103,4.67E-06,inf,SRR1543967,1002116,Musket,30
370,pollux_sample_SRR1543967_1_20.corrected.fastq,run.pollux.sh,20,22939,822990,101335,231,21861,73374,473,1042730,79744,247540893,259926,1485,149160,174141,62,1178,248206589,Pollux,NA,100,0.234769041,0.197853838,-0.717040068,0.997643992,5.00E-06,19,SRR1543967,1042730,Pollux,20
