Tool,Kmer,Ram,Cpu
Bfc,20,2.82,2
Bfc,22,2.76,2
Bfc,24,2.76,2.1
Bfc,26,2.7,2
Bfc,28,2.7,1.7
Bfc,30,2.7,2
Bless,20,4.73,1.1
Bless,22,2.54,1.2
Bless,24,4.26,2
Bless,26,2.58,1.1
Bless,28,7.07,1.9
Bless,30,4.63,2
Coral,20,9.04,8.8
Coral,22,9.12,6.6
Coral,24,9.18,5.8
Coral,26,9.23,5.8
Coral,28,9.27,5.3
Coral,30,9.3,5.1
Fiona,0,3.05,10.6
Lighter,20,0.43,1.1
Lighter,22,0.43,1.4
Lighter,24,0.43,1.1
Lighter,26,0.43,1.2
Lighter,28,0.43,1.3
Lighter,30,0.43,1.3
Musket,20,0.64,3
Musket,22,0.7,2.8
Musket,24,0.7,3.1
Musket,26,0.7,3.1
Musket,28,0.7,3
Musket,30,0.7,3.2
Pollux,20,4.55,80.5
Pollux,22,4.64,54.3
Pollux,24,4.73,23.7
Pollux,26,7.78,30.8
Pollux,28,7.74,23
Pollux,30,7.77,18
Racer,0,3.87,2.4
Reckoner,20,4.26,0.9
Reckoner,22,4.26,0.8
Reckoner,24,4.26,1
Reckoner,26,4.26,0.9
Reckoner,28,4.26,1
Reckoner,30,4.26,1.1
Sga,20,0.39,4.5
Sga,22,0.39,4.3
Sga,24,0.39,5.2
Sga,26,0.39,5.7
Sga,28,0.39,14.1
Sga,30,0.39,5.7
