,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitivity,Base Precision,Base Gain,Base Accuracy,Trim Percent,Trim Efficiency
10,bfc_human.wgsim_raw_rl_100_cov_2_1_28.corrected.fastq,run.bfc.sh,28,30733,519857,310125,346,73137,0,0,934198,58707,92802835,406070,1483,150705,0,0,0,93419800,Bfc,2,100,0.126312188,0.280342101,-0.197940087,0.9940242,0,inf
11,bfc_human.wgsim_raw_rl_100_cov_2_1_30.corrected.fastq,run.bfc.sh,30,29055,524375,314676,288,65804,0,0,934198,55020,92816772,409875,1365,136768,0,0,0,93419800,Bfc,2,100,0.118349305,0.286879263,-0.175841857,0.99413392,0,inf
12,bfc_human.wgsim_raw_rl_100_cov_4_1_20.corrected.fastq,run.bfc.sh,20,222801,1023774,436105,2133,183585,0,0,1868398,350185,185603508,579000,5632,301475,0,0,0,186839800,Bfc,4,100,0.376873281,0.537373784,0.052422284,0.995257397,0,inf
13,bfc_human.wgsim_raw_rl_100_cov_4_1_22.corrected.fastq,run.bfc.sh,22,210735,1033618,456929,1730,165386,0,0,1868398,330792,185627600,599179,4846,277383,0,0,0,186839800,Bfc,4,100,0.355701414,0.543909237,0.057430823,0.995282547,0,inf
14,bfc_human.wgsim_raw_rl_100_cov_4_1_24.corrected.fastq,run.bfc.sh,24,201878,1041081,472353,1479,151607,0,0,1868398,316017,185647496,614521,4279,257487,0,0,0,186839800,Bfc,4,100,0.339606765,0.551028415,0.062899097,0.995309955,0,inf
15,bfc_human.wgsim_raw_rl_100_cov_4_1_26.corrected.fastq,run.bfc.sh,26,194096,1048254,485734,1271,139043,0,0,1868398,302273,185666614,628732,3812,238369,0,0,0,186839800,Bfc,4,100,0.324673874,0.559100107,0.068639803,0.995338718,0,inf
16,bfc_human.wgsim_raw_rl_100_cov_4_1_28.corrected.fastq,run.bfc.sh,28,184483,1054307,500769,1053,127786,0,0,1868398,286592,185683840,644931,3294,221143,0,0,0,186839800,Bfc,4,100,0.307659607,0.564451929,0.070260208,0.995346987,0,inf
17,bfc_human.wgsim_raw_rl_100_cov_4_1_30.corrected.fastq,run.bfc.sh,30,175500,1060510,515130,892,116366,0,0,1868398,271208,185701758,660722,2887,203225,0,0,0,186839800,Bfc,4,100,0.291017566,0.571646576,0.072948612,0.99536055,0,inf
18,bfc_human.wgsim_raw_rl_100_cov_8_1_20.corrected.fastq,run.bfc.sh,20,953824,2166099,417304,5965,193606,0,0,3736798,1327697,371563380,531541,9976,247206,0,0,0,373679800,Bfc,8,100,0.714108145,0.843034142,0.581147223,0.997889308,0,inf
19,bfc_human.wgsim_raw_rl_100_cov_8_1_22.corrected.fastq,run.bfc.sh,22,930703,2170104,447937,5103,182951,0,0,3736798,1295384,371574116,564929,8901,236470,0,0,0,373679800,Bfc,8,100,0.696325833,0.845631503,0.569212815,0.997831566,0,inf
20,bfc_human.wgsim_raw_rl_100_cov_8_1_24.corrected.fastq,run.bfc.sh,24,912369,2172866,471787,4392,175383,1,1,3736798,1268955,371581477,592335,7924,229107,2,2,0,373679802,Bfc,8,100,0.681761037,0.847063276,0.558669525,0.997780533,5.35E-09,0
21,bfc_human.wgsim_raw_rl_100_cov_8_1_26.corrected.fastq,run.bfc.sh,26,890533,2176085,499050,3640,167489,1,1,3736798,1237911,371589708,624361,6942,220876,2,2,0,373679802,Bfc,8,100,0.664731575,0.84858811,0.546124841,0.997719483,5.35E-09,0
22,bfc_human.wgsim_raw_rl_100_cov_8_1_28.corrected.fastq,run.bfc.sh,28,867840,2178909,526978,3182,159889,0,0,3736798,1205315,371597405,657669,6230,213181,0,0,0,373679800,Bfc,8,100,0.646980865,0.849713358,0.532551004,0.997652857,0,inf
23,bfc_human.wgsim_raw_rl_100_cov_8_1_30.corrected.fastq,run.bfc.sh,30,843223,2182365,556738,2732,151740,0,0,3736798,1169841,371606251,693867,5506,204335,0,0,0,373679800,Bfc,8,100,0.627695433,0.851303618,0.518056477,0.997581598,0,inf
24,bfc_human.wgsim_raw_rl_100_cov_16_1_20.corrected.fastq,run.bfc.sh,20,2582864,4485648,266895,12183,126006,0,0,7473596,3365809,743481199,354895,14186,143511,0,0,0,747359600,Bfc,16,100,0.904616169,0.959105753,0.866045243,0.999314129,0,inf
25,bfc_human.wgsim_raw_rl_100_cov_16_1_22.corrected.fastq,run.bfc.sh,22,2592109,4482544,261322,10719,126902,0,0,7473596,3379365,743479048,342833,12692,145662,0,0,0,747359600,Bfc,16,100,0.907895013,0.958677763,0.868761683,0.99932939,0,inf
26,bfc_human.wgsim_raw_rl_100_cov_16_1_24.corrected.fastq,run.bfc.sh,24,2597700,4478846,257705,9399,129946,0,0,7473596,3388241,743474834,335249,11400,149876,0,0,0,747359600,Bfc,16,100,0.909963771,0.957639615,0.869712286,0.999335628,0,inf
27,bfc_human.wgsim_raw_rl_100_cov_16_1_26.corrected.fastq,run.bfc.sh,26,2595906,4476080,262146,8236,131228,0,0,7473596,3387565,743472501,337141,10184,152209,0,0,0,747359600,Bfc,16,100,0.909485205,0.957000362,0.868620503,0.999331602,0,inf
28,bfc_human.wgsim_raw_rl_100_cov_16_1_28.corrected.fastq,run.bfc.sh,28,2587824,4472861,271570,7407,133934,0,0,7473596,3378953,743468709,346560,9377,156001,0,0,0,747359600,Bfc,16,100,0.906976569,0.955869016,0.865102873,0.999315004,0,inf
29,bfc_human.wgsim_raw_rl_100_cov_16_1_30.corrected.fastq,run.bfc.sh,30,2574834,4471230,287119,6560,133853,0,0,7473596,3363596,743468438,362828,8466,156272,0,0,0,747359600,Bfc,16,100,0.902633731,0.955602881,0.860697548,0.999294093,0,inf
30,bfc_human.wgsim_raw_rl_100_cov_32_1_20.corrected.fastq,run.bfc.sh,20,5367847,9044758,404048,21531,109010,0,0,14947194,6891270,1487110567,561623,23415,132525,0,0,0,1494719400,Bfc,32,100,0.924643625,0.981131995,0.906861939,0.999519935,0,inf
31,bfc_human.wgsim_raw_rl_100_cov_32_1_22.corrected.fastq,run.bfc.sh,22,5441899,9042641,340841,19034,102779,0,0,14947194,6979651,1487116752,475969,20688,126340,0,0,0,1494719400,Bfc,32,100,0.936159702,0.982220636,0.919214096,0.999583201,0,inf
32,bfc_human.wgsim_raw_rl_100_cov_32_1_24.corrected.fastq,run.bfc.sh,24,5504422,9040697,285956,17033,99086,0,0,14947194,7053737,1487119802,404003,18568,123290,0,0,0,1494719400,Bfc,32,100,0.94582769,0.982821578,0.929295872,0.999634807,0,inf
33,bfc_human.wgsim_raw_rl_100_cov_32_1_26.corrected.fastq,run.bfc.sh,26,5555978,9038328,240937,15294,96657,0,0,14947194,7115308,1487121918,344255,16745,121174,0,0,0,1494719400,Bfc,32,100,0.953850514,0.983255123,0.937606399,0.999677415,0,inf
34,bfc_human.wgsim_raw_rl_100_cov_32_1_28.corrected.fastq,run.bfc.sh,28,5599883,9035673,202311,13888,95439,0,0,14947194,7167250,1487123270,293879,15179,119822,0,0,0,1494719400,Bfc,32,100,0.960611993,0.983556907,0.944552493,0.99971307,0,inf
35,bfc_human.wgsim_raw_rl_100_cov_32_1_30.corrected.fastq,run.bfc.sh,30,5635916,9032993,171262,12787,94236,0,0,14947194,7210398,1487125007,251991,13919,118085,0,0,0,1494719400,Bfc,32,100,0.96623186,0.983886843,0.950407839,0.999743099,0,inf
36,bless_human.wgsim_raw_rl_100_cov_1_1_20.corrected.fastq,run.bless.sh,20,1089,297547,140004,42,26357,2059,438762,467098,7417,36905865,174741,606,104537,16323,9452554,50436,46712479,Bless,1,100,0.040717399,0.057820186,-0.622772538,0.791077279,0.203435789,0.005335701
37,bless_human.wgsim_raw_rl_100_cov_1_1_22.corrected.fastq,run.bless.sh,22,879,300311,139325,35,24637,1911,441226,467098,6728,36231094,172723,577,97341,15795,10134971,53172,46712401,Bless,1,100,0.037492129,0.056130281,-0.592964096,0.776648538,0.218103604,0.005246389
38,bless_human.wgsim_raw_rl_100_cov_1_1_24.corrected.fastq,run.bless.sh,24,734,304509,138005,23,21850,1977,444873,467098,6254,35401209,169408,561,95603,15030,10967487,56977,46712529,Bless,1,100,0.035602464,0.053504667,-0.594203641,0.758912101,0.236006575,0.005195083
39,bless_human.wgsim_raw_rl_100_cov_1_1_26.corrected.fastq,run.bless.sh,26,684,308816,136008,23,19258,2309,447418,467098,5835,34530830,165545,516,85962,15824,11846904,61304,46712720,Bless,1,100,0.034047147,0.054218043,-0.559872797,0.740313327,0.254924312,0.005174685
40,bless_human.wgsim_raw_rl_100_cov_1_1_28.corrected.fastq,run.bless.sh,28,519,313832,134277,17,16255,2198,451133,467098,4780,33615865,162300,468,79848,15818,12767628,65652,46712359,Bless,1,100,0.02860905,0.047587759,-0.543966962,0.720750663,0.274729863,0.005142067
41,bless_human.wgsim_raw_rl_100_cov_1_1_30.corrected.fastq,run.bless.sh,30,539,318114,131586,18,14931,1910,452585,467098,4587,32742395,158085,419,69987,12700,13653943,70109,46712225,Bless,1,100,0.028197846,0.052558609,-0.48010721,0.702090403,0.293800006,0.005134707
42,bless_human.wgsim_raw_rl_100_cov_2_1_20.corrected.fastq,run.bless.sh,20,2376,594637,278360,128,54452,4245,873870,934198,15383,73601552,347327,1222,205166,37326,19114701,102328,93425005,Bless,2,100,0.042411293,0.059652933,-0.626144854,0.788842941,0.205694707,0.005353367
43,bless_human.wgsim_raw_rl_100_cov_2_1_22.corrected.fastq,run.bless.sh,22,2015,599810,277346,106,51070,3851,878858,934198,14386,72367760,343905,1180,193643,32299,20364608,106789,93424570,Bless,2,100,0.04015172,0.059859858,-0.590458594,0.775652241,0.219122197,0.005243852
44,bless_human.wgsim_raw_rl_100_cov_2_1_24.corrected.fastq,run.bless.sh,24,1987,607733,273453,102,47154,3769,882642,934198,13909,70764700,336514,1063,178300,33111,21982186,114774,93424557,Bless,2,100,0.039692029,0.061729984,-0.563610265,0.758533636,0.236521967,0.005221228
45,bless_human.wgsim_raw_rl_100_cov_2_1_26.corrected.fastq,run.bless.sh,26,1909,617080,269297,86,42371,3455,887214,934198,13154,69083914,328914,944,161317,29784,23682946,123248,93424221,Bless,2,100,0.038454342,0.064399892,-0.520209432,0.740582502,0.254818223,0.005204082
46,bless_human.wgsim_raw_rl_100_cov_2_1_28.corrected.fastq,run.bless.sh,28,1727,625424,265547,69,37709,3722,893883,934198,11905,67351680,321665,881,139681,29589,25437269,131809,93424479,Bless,2,100,0.03568966,0.065709949,-0.47176005,0.722067286,0.273687135,0.005181728
47,bless_human.wgsim_raw_rl_100_cov_2_1_30.corrected.fastq,run.bless.sh,30,1237,633662,262539,59,33039,3662,902142,934198,10260,65537400,315089,902,143706,25373,27252063,140009,93424802,Bless,2,100,0.031535367,0.057210088,-0.488149649,0.702661794,0.293199144,0.005137556
48,bless_human.wgsim_raw_rl_100_cov_4_1_20.corrected.fastq,run.bless.sh,20,507297,1255515,83416,257,20885,1028,297517,1868398,648828,176682313,101309,825,49310,7762,9167403,183855,186841605,Bless,4,100,0.864946003,0.919150021,0.788863901,0.950033636,0.05004912,0.020055298
49,bless_human.wgsim_raw_rl_100_cov_4_1_22.corrected.fastq,run.bless.sh,22,500957,1270499,75405,253,20334,950,322626,1868398,641604,175925086,92019,740,46749,6768,9928096,200455,186841517,Bless,4,100,0.874569091,0.923010526,0.801620178,0.946022746,0.054209317,0.020190679
50,bless_human.wgsim_raw_rl_100_cov_4_1_24.corrected.fastq,run.bless.sh,24,490766,1286320,70038,228,20152,894,350259,1868398,629512,175065668,86226,731,46593,6267,10788065,218348,186841410,Bless,4,100,0.879528543,0.922534922,0.805674702,0.941444097,0.058907782,0.020239774
51,bless_human.wgsim_raw_rl_100_cov_4_1_26.corrected.fastq,run.bless.sh,26,477890,1303263,65999,217,20092,937,381065,1868398,614158,174091408,82103,766,47283,6603,11761446,237790,186841557,Bless,4,100,0.882080139,0.919337648,0.804686748,0.936238152,0.064221452,0.020217752
52,bless_human.wgsim_raw_rl_100_cov_4_1_28.corrected.fastq,run.bless.sh,28,462856,1321635,62952,222,19836,897,414591,1868398,596218,173029591,79169,738,47147,6056,12823968,258692,186841579,Bless,4,100,0.882779799,0.918076256,0.804005703,0.930555914,0.070020068,0.020172539
53,bless_human.wgsim_raw_rl_100_cov_4_1_30.corrected.fastq,run.bless.sh,30,3894,1263675,520694,131,73376,6628,1789968,1868398,24237,131329821,626799,1652,270506,55267,54257716,282129,186848127,Bless,4,100,0.037228356,0.069246593,-0.463163327,0.704062152,0.291893988,0.005199795
54,bless_human.wgsim_raw_rl_100_cov_8_1_20.corrected.fastq,run.bless.sh,20,1230165,2324890,161043,189,19415,1096,147583,3736798,1565954,367012200,192454,619,47774,7599,4744839,110187,373681626,Bless,8,100,0.890552136,0.965847112,0.859061719,0.986633654,0.012992413,0.023222495
55,bless_human.wgsim_raw_rl_100_cov_8_1_22.corrected.fastq,run.bless.sh,22,1252260,2326251,138148,197,18992,950,145402,3736798,1593834,367102003,165262,599,45612,5583,4659003,109519,373681415,Bless,8,100,0.906052882,0.968878968,0.876949865,0.986947468,0.012760929,0.023506961
56,bless_human.wgsim_raw_rl_100_cov_8_1_24.corrected.fastq,run.bless.sh,24,1266501,2329377,121018,205,18783,914,147209,3736798,1611977,367066549,145134,564,45001,5743,4694900,111543,373681411,Bless,8,100,0.917401917,0.96948135,0.888522694,0.986906487,0.012862409,0.023758334
57,bless_human.wgsim_raw_rl_100_cov_8_1_26.corrected.fastq,run.bless.sh,26,1275455,2334100,107431,196,18683,933,152394,3736798,1623696,366927441,129320,563,44947,5998,4833865,115635,373681465,Bless,8,100,0.926229994,0.969578554,0.897168651,0.986576146,0.013245238,0.023921851
58,bless_human.wgsim_raw_rl_100_cov_8_1_28.corrected.fastq,run.bless.sh,28,1280222,2340627,96134,227,18693,895,160873,3736798,1630407,366689067,116137,604,44334,5453,5073459,122066,373681527,Bless,8,100,0.933504681,0.970368303,0.904998672,0.985972817,0.013903617,0.024059719
59,bless_human.wgsim_raw_rl_100_cov_8_1_30.corrected.fastq,run.bless.sh,30,1280351,2349353,87259,231,18777,827,173186,3736798,1631037,366323681,106144,620,44389,4876,5439211,131413,373681371,Bless,8,100,0.93889871,0.970680866,0.910539547,0.985021441,0.014907417,0.024160306
60,bless_human.wgsim_raw_rl_100_cov_16_1_20.corrected.fastq,run.bless.sh,20,2607146,4620134,202181,301,41606,2228,208768,7473596,3309166,736711339,260564,1179,104514,15675,6796693,163982,747363112,Bless,16,100,0.927007365,0.964952885,0.893338432,0.990392621,0.009313645,0.024126733
61,bless_human.wgsim_raw_rl_100_cov_16_1_22.corrected.fastq,run.bless.sh,22,2655724,4613635,161346,334,40495,2062,190316,7473596,3371922,737307993,210963,1159,99094,13499,6207625,150847,747363102,Bless,16,100,0.941119238,0.967687612,0.909694004,0.991257718,0.008507875,0.024300276
62,bless_human.wgsim_raw_rl_100_cov_16_1_24.corrected.fastq,run.bless.sh,24,2684857,4604784,151471,215,30441,1828,166529,7473596,3405440,738001581,195392,954,82684,11675,5532045,133105,747362876,Bless,16,100,0.945736985,0.973038737,0.919532208,0.992207551,0.007580187,0.024060723
63,bless_human.wgsim_raw_rl_100_cov_16_1_26.corrected.fastq,run.bless.sh,26,2717871,4599922,124320,210,29430,1843,152362,7473596,3447041,738465402,163627,915,81646,11795,5069275,123308,747363009,Bless,16,100,0.954682347,0.973607831,0.928803202,0.992870751,0.006947873,0.024324583
64,bless_human.wgsim_raw_rl_100_cov_16_1_28.corrected.fastq,run.bless.sh,28,2745183,4596032,101724,235,28746,1676,140048,7473596,3481603,738886530,137211,878,79883,10914,4650808,115199,747363026,Bless,16,100,0.962083987,0.974583753,0.936993722,0.993469778,0.006377098,0.024769674
65,bless_human.wgsim_raw_rl_100_cov_16_1_30.corrected.fastq,run.bless.sh,30,2767297,4592803,83817,267,27790,1622,130699,7473596,3510180,739223102,115651,887,77739,10005,4317271,108173,747363008,Bless,16,100,0.968103588,0.975612603,0.943903894,0.993949115,0.005921412,0.025055874
66,bless_human.wgsim_raw_rl_100_cov_32_1_20.corrected.fastq,run.bless.sh,20,5248789,9231592,389420,332,72330,4731,383447,14947194,6656110,1474474614,506583,2277,200680,33382,12541839,311338,1494726823,Bless,32,100,0.929274785,0.966029585,0.896596853,0.991110397,0.008599014,0.024823951
67,bless_human.wgsim_raw_rl_100_cov_32_1_22.corrected.fastq,run.bless.sh,22,5352178,9214359,307967,326,67973,4391,335959,14947194,6787519,1475989591,408913,2038,188729,28389,11043531,277838,1494726548,Bless,32,100,0.94317837,0.969003676,0.913008141,0.99219003,0.007574207,0.025158439
68,bless_human.wgsim_raw_rl_100_cov_32_1_24.corrected.fastq,run.bless.sh,24,5429643,9201226,246463,381,65233,4248,300622,14947194,6885142,1477146533,335879,2079,184097,26723,9893224,253208,1494726885,Bless,32,100,0.953485941,0.970290145,0.924290623,0.993012923,0.006788151,0.025594083
69,bless_human.wgsim_raw_rl_100_cov_32_1_26.corrected.fastq,run.bless.sh,26,5491603,9187536,206657,274,57093,4031,265578,14947194,6960803,1478246607,286587,1863,170762,25173,8808037,227055,1494726887,Bless,32,100,0.960456523,0.972622304,0.933421273,0.993782253,0.006044644,0.025778161
70,bless_human.wgsim_raw_rl_100_cov_32_1_28.corrected.fastq,run.bless.sh,28,5547370,9176500,165291,278,53880,3875,237003,14947194,7030869,1479213300,236971,1785,163302,23554,7850406,206683,1494726870,Bless,32,100,0.967394577,0.97411151,0.9416846,0.994462425,0.005390342,0.026327683
71,bless_human.wgsim_raw_rl_100_cov_32_1_30.corrected.fastq,run.bless.sh,30,5594803,9166056,131270,283,51039,3743,211404,14947194,7090607,1480092661,195671,1720,156732,21771,6979373,188310,1494726845,Bless,32,100,0.973145274,0.975443624,0.948646758,0.99507857,0.004795313,0.026980934
72,coral_human.wgsim_raw_rl_100_cov_1_1_20.corrected.fastq,run.coral.sh,20,22204,280214,159701,14,4155,810,7,467098,32371,46468040,200797,32,8271,1050,11,0,46710572,Coral,1,100,0.138831229,0.776431929,0.098855761,0.995500783,2.35E-07,0
73,coral_human.wgsim_raw_rl_100_cov_1_1_22.corrected.fastq,run.coral.sh,22,22735,279852,158962,17,4673,859,8,467098,33159,46466637,200003,38,9656,1146,9,0,46710648,Coral,1,100,0.142214426,0.754282205,0.095886122,0.995485997,1.93E-07,0
74,coral_human.wgsim_raw_rl_100_cov_1_1_24.corrected.fastq,run.coral.sh,24,22819,279505,158676,17,5131,950,9,467098,33406,46465523,199749,45,10739,1255,10,0,46710727,Coral,1,100,0.143278077,0.735814978,0.091835903,0.995465752,2.14E-07,0
75,coral_human.wgsim_raw_rl_100_cov_1_1_26.corrected.fastq,run.coral.sh,26,22609,279293,158743,15,5460,978,10,467098,33139,46464907,200008,53,11335,1289,11,0,46710742,Coral,1,100,0.142137793,0.724143959,0.087991696,0.995446529,2.35E-07,0
76,coral_human.wgsim_raw_rl_100_cov_1_1_28.corrected.fastq,run.coral.sh,28,22254,279129,159053,12,5616,1034,12,467098,32564,46464564,200587,49,11660,1375,13,0,46710812,Coral,1,100,0.139669141,0.714138468,0.083761168,0.995425385,2.78E-07,0
77,coral_human.wgsim_raw_rl_100_cov_1_1_30.corrected.fastq,run.coral.sh,30,21750,279101,159613,11,5603,1020,9,467098,31699,46464580,201455,46,11686,1357,10,0,46710833,Coral,1,100,0.13595735,0.708484198,0.080015784,0.995406761,2.14E-07,0
78,coral_human.wgsim_raw_rl_100_cov_2_1_20.corrected.fastq,run.coral.sh,20,130820,557114,229845,54,13182,3183,36,934198,183363,92928217,282745,141,24395,4143,33,10,93423047,Coral,2,100,0.39339166,0.865323901,0.332165507,0.996666165,4.60E-07,0.303030303
79,coral_human.wgsim_raw_rl_100_cov_2_1_22.corrected.fastq,run.coral.sh,22,133737,556203,226313,60,14537,3348,35,934198,187655,92925242,278442,151,27329,4319,33,11,93423182,Coral,2,100,0.402609328,0.855688249,0.334709299,0.996678832,4.71E-07,0.333333333
80,coral_human.wgsim_raw_rl_100_cov_2_1_24.corrected.fastq,run.coral.sh,24,134748,555181,224791,64,15889,3525,38,934198,189074,92922044,277004,171,30471,4603,38,10,93423415,Coral,2,100,0.405670296,0.843523029,0.330416797,0.996657294,5.14E-07,0.263157895
81,coral_human.wgsim_raw_rl_100_cov_2_1_26.corrected.fastq,run.coral.sh,26,134718,554331,224386,72,16935,3756,49,934198,189006,92919159,277040,201,33299,4948,50,12,93423715,Coral,2,100,0.405552242,0.831698591,0.323485235,0.996622506,6.64E-07,0.24
82,coral_human.wgsim_raw_rl_100_cov_2_1_28.corrected.fastq,run.coral.sh,28,133209,553858,225732,72,17387,3940,51,934198,186710,92918165,279337,201,34244,5209,55,11,93423932,Coral,2,100,0.40062483,0.82555502,0.315970278,0.996584965,7.06E-07,0.2
83,coral_human.wgsim_raw_rl_100_cov_2_1_30.corrected.fastq,run.coral.sh,30,130725,553472,228299,67,17724,3911,54,934198,182670,92917098,283388,192,35258,5142,55,10,93423813,Coral,2,100,0.391946925,0.818890931,0.305262435,0.996531558,6.96E-07,0.181818182
84,coral_human.wgsim_raw_rl_100_cov_4_1_20.corrected.fastq,run.coral.sh,20,508263,1104397,207448,146,38022,10122,114,1868398,683651,185839160,250812,332,63878,12701,110,22,186850666,Coral,4,100,0.73159772,0.899268642,0.64964798,0.998245481,7.06E-07,0.2
85,coral_human.wgsim_raw_rl_100_cov_4_1_22.corrected.fastq,run.coral.sh,22,522028,1101596,191772,167,42127,10708,136,1868398,702937,185830366,231468,391,72599,13466,136,21,186851384,Coral,4,100,0.752283004,0.890919161,0.660176262,0.998297791,8.40E-07,0.154411765
86,coral_human.wgsim_raw_rl_100_cov_4_1_24.corrected.fastq,run.coral.sh,24,529910,1099649,182425,170,45151,11093,128,1868398,714170,185824179,220205,423,78691,13899,125,19,186851711,Coral,4,100,0.764329097,0.885232287,0.66523612,0.998323039,7.71E-07,0.152
87,coral_human.wgsim_raw_rl_100_cov_4_1_26.corrected.fastq,run.coral.sh,26,534530,1098237,176983,177,46938,11533,153,1868398,720318,185820229,214017,459,82527,14417,157,23,186852147,Coral,4,100,0.7709419,0.881379533,0.667184682,0.998332494,9.63E-07,0.146496815
88,coral_human.wgsim_raw_rl_100_cov_4_1_28.corrected.fastq,run.coral.sh,28,534784,1097151,176110,167,48171,12015,153,1868398,720748,185816742,213577,465,85848,15271,159,26,186852836,Coral,4,100,0.771410376,0.876964278,0.663183582,0.998312469,9.90E-07,0.163522013
89,coral_human.wgsim_raw_rl_100_cov_4_1_30.corrected.fastq,run.coral.sh,30,531947,1096632,178928,176,48472,12243,145,1868398,716057,185815555,218258,476,87005,15578,145,25,186853099,Coral,4,100,0.766397842,0.874690951,0.656602966,0.9982796,9.10E-07,0.172413793
90,coral_human.wgsim_raw_rl_100_cov_8_1_20.corrected.fastq,run.coral.sh,20,1225688,2193615,192051,342,96215,28887,310,3736798,1627593,371650589,240782,777,155462,37011,301,61,373712576,Coral,8,100,0.871127584,0.894249439,0.768111327,0.998837788,9.69E-07,0.202657807
91,coral_human.wgsim_raw_rl_100_cov_8_1_22.corrected.fastq,run.coral.sh,22,1259903,2188923,154150,377,103223,30222,346,3736798,1674914,371637270,193380,853,168591,38293,338,66,373713705,Coral,8,100,0.896493807,0.890060463,0.785759629,0.998925768,1.08E-06,0.195266272
92,coral_human.wgsim_raw_rl_100_cov_8_1_24.corrected.fastq,run.coral.sh,24,1286107,2183759,124039,412,110866,31615,371,3736798,1712134,371620644,156065,949,184723,40025,364,67,373714971,Coral,8,100,0.916462325,0.883964021,0.796160366,0.998977493,1.15E-06,0.184065934
93,coral_human.wgsim_raw_rl_100_cov_8_1_26.corrected.fastq,run.coral.sh,26,1306790,2179726,100596,414,115837,33435,363,3736798,1740949,371609814,127193,1005,195588,42683,360,69,373717661,Coral,8,100,0.931914705,0.879613686,0.804370332,0.999018433,1.15E-06,0.191666667
94,coral_human.wgsim_raw_rl_100_cov_8_1_28.corrected.fastq,run.coral.sh,28,1321022,2177694,84800,441,118451,34390,395,3736798,1759883,371603931,108215,1042,201063,44119,394,74,373718721,Coral,8,100,0.942072097,0.877718677,0.810825235,0.999050534,1.25E-06,0.187817259
95,coral_human.wgsim_raw_rl_100_cov_8_1_30.corrected.fastq,run.coral.sh,30,1328695,2176500,76642,430,120368,34163,385,3736798,1768366,371600017,99709,1067,204987,44080,404,73,373718703,Coral,8,100,0.946624734,0.876542616,0.813296575,0.999062806,1.28E-06,0.180693069
