,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitivity,Base Precision,Base Gain,Base Accuracy,Trim Percent,Trim Efficiency
0,bfc_human.wgsim_raw_rl_100_cov_1_1_20.corrected.fastq,run.bfc.sh,20,6229,248327,157119,205,55218,0,0,467098,18596,46358139,213516,1088,118461,0,0,0,46709800,Bfc,1,100,0.080116495,0.135680775,-0.430244882,0.992869483,0,inf
1,bfc_human.wgsim_raw_rl_100_cov_1_1_22.corrected.fastq,run.bfc.sh,22,5937,252946,160555,157,47503,0,0,467098,17454,46371410,214821,925,105190,0,0,0,46709800,Bfc,1,100,0.075143687,0.142314341,-0.37772468,0.993129151,0,inf
2,bfc_human.wgsim_raw_rl_100_cov_1_1_24.corrected.fastq,run.bfc.sh,24,5702,255561,162732,146,42957,0,0,467098,16556,46380556,215804,840,96044,0,0,0,46709800,Bfc,1,100,0.071251506,0.147033748,-0.342089861,0.99330573,0,inf
3,bfc_human.wgsim_raw_rl_100_cov_1_1_26.corrected.fastq,run.bfc.sh,26,5706,257775,163946,139,39532,0,0,467098,15815,46387948,216657,728,88652,0,0,0,46709800,Bfc,1,100,0.068029698,0.15138752,-0.313315152,0.99344812,0,inf
4,bfc_human.wgsim_raw_rl_100_cov_1_1_28.corrected.fastq,run.bfc.sh,28,5264,260306,165887,107,35534,0,0,467098,14678,46396116,217880,642,80484,0,0,0,46709800,Bfc,1,100,0.063115438,0.15424224,-0.28296597,0.993598645,0,inf
5,bfc_human.wgsim_raw_rl_100_cov_1_1_30.corrected.fastq,run.bfc.sh,30,4948,262844,167723,88,31495,0,0,467098,13411,46405184,219240,549,71416,0,0,0,46709800,Bfc,1,100,0.057644283,0.158098247,-0.249321946,0.993765655,0,inf
6,bfc_human.wgsim_raw_rl_100_cov_2_1_20.corrected.fastq,run.bfc.sh,20,36904,496165,287351,642,113136,0,0,934198,72450,92733875,391254,2556,219665,0,0,0,93419800,Bfc,2,100,0.156241913,0.24801876,-0.317476235,0.993433137,0,inf
7,bfc_human.wgsim_raw_rl_100_cov_2_1_22.corrected.fastq,run.bfc.sh,22,34929,505642,295978,532,97117,0,0,934198,68440,92758211,395614,2206,195329,0,0,0,93419800,Bfc,2,100,0.147482836,0.25946946,-0.27343585,0.993650714,0,inf
8,bfc_human.wgsim_raw_rl_100_cov_2_1_24.corrected.fastq,run.bfc.sh,24,33456,511213,301241,490,87798,0,0,934198,65014,92774754,399311,1935,178786,0,0,0,93419800,Bfc,2,100,0.140018306,0.266669401,-0.245026652,0.993791124,0,inf
9,bfc_human.wgsim_raw_rl_100_cov_2_1_26.corrected.fastq,run.bfc.sh,26,32586,515338,305342,409,80523,0,0,934198,62553,92789394,402012,1695,164146,0,0,0,93419800,Bfc,2,100,0.134648542,0.275929757,-0.218684145,0.993921492,0,inf
